N,extraction,value
1,1,-0.586466
2,1,-2.09846
10,1,-1.80199
100,1,0.190364
1,2,-1.53865
2,2,-0.533328
10,2,-0.459208
100,2,-0.618556
1,3,1.59537
2,3,4.67552
10,3,1.75541
100,3,0.943638
1,4,3.79968
2,4,2.14242
10,4,-0.041346
100,4,-2.04383
1,5,-0.0675933
2,5,0.0518301
10,5,-2.31525
100,5,-2.0921
1,6,-5.52135
2,6,-2.71768
10,6,-1.0365
100,6,-0.314697
1,7,-0.226593
2,7,25.6009
10,7,5.13638
100,7,0.78457
1,8,-0.102461
2,8,-0.298434
10,8,4.03667
100,8,-0.75589
1,9,-0.116727
2,9,-0.080884
10,9,2.92006
100,9,-0.525613
1,10,0.437156
2,10,-0.280194
10,10,-0.667835
100,10,-0.34253
1,11,-6.53431
2,11,-3.50018
10,11,0.677406
100,11,-0.775613
1,12,1.05468
2,12,0.502358
10,12,-0.628285
100,12,-1.47263
1,13,-0.759075
2,13,2.14555
10,13,0.591001
100,13,-22.2326
1,14,-0.517704
2,14,0.793115
10,14,0.274661
100,14,-0.0211742
1,15,2.02026
2,15,0.323575
10,15,-7.32971
100,15,-0.841177
1,16,-1.4596
2,16,-0.83914
10,16,0.231773
100,16,0.0596555
1,17,1.24892
2,17,0.268671
10,17,1.00674
100,17,-0.127338
1,18,1.60908
2,18,0.88326
10,18,0.932029
100,18,0.921167
1,19,-0.54624
2,19,1.14146
10,19,-2.30099
100,19,-4.65743
1,20,-0.267839
2,20,-0.7839
10,20,0.084827
100,20,-2.5223
1,21,0.802077
2,21,-0.110779
10,21,-0.0365736
100,21,-0.21859
1,22,-2.41402
2,22,-0.768522
10,22,0.498515
100,22,-1.44504
1,23,0.889731
2,23,-0.0773348
10,23,-0.143655
100,23,-0.391924
1,24,2.23484
2,24,1.63376
10,24,0.453493
100,24,-2.93265
1,25,-0.0754669
2,25,-1.1095
10,25,0.904138
100,25,1.3681
1,26,0.17406
2,26,0.202661
10,26,1.02905
100,26,-0.930251
1,27,2.46372
2,27,0.410136
10,27,-0.420414
100,27,-0.397631
1,28,1.20744
2,28,1.09416
10,28,3.40554
100,28,0.486766
1,29,-1.13505
2,29,35.8775
10,29,7.6376
100,29,0.833033
1,30,4.16383
2,30,0.236106
10,30,2.76825
100,30,-7.20668
1,31,0.568836
2,31,1.86634
10,31,7.8665
100,31,0.915213
1,32,0.922307
2,32,2.14212
10,32,1.94871
100,32,-1.97296
1,33,0.20119
2,33,1.80509
10,33,-0.059302
100,33,0.542449
1,34,-0.55533
2,34,-0.00267121
10,34,-3.29544
100,34,-6.57925
1,35,3.82563
2,35,2.12978
10,35,0.860065
100,35,-0.529547
1,36,0.657811
2,36,1.1177
10,36,0.197499
100,36,1.28076
1,37,0.473587
2,37,11.8081
10,37,2.55403
100,37,2.96578
1,38,-0.09686
2,38,-1.06039
10,38,-1.77794
100,38,0.295503
1,39,1.44607
2,39,1.15828
10,39,4.55853
100,39,-1.77179
