N,extraction,value
1,1,1.77244
2,1,1.16567
10,1,0.971026
100,1,1.10752
1,2,0.243608
2,2,1.29276
10,2,1.19239
100,2,1.10698
1,3,0.748422
2,3,0.560568
10,3,0.739889
100,3,0.837275
1,4,0.932572
2,4,0.832499
10,4,1.23657
100,4,0.924553
1,5,1.5414
2,5,1.60658
10,5,1.11114
100,5,1.01411
1,6,1.5561
2,6,1.04886
10,6,0.822457
100,6,1.0851
1,7,0.219373
2,7,2.52757
10,7,1.66547
100,7,1.00726
1,8,0.0425004
2,8,0.359419
10,8,0.975596
100,8,1.12853
1,9,0.911376
2,9,0.708639
10,9,0.880778
100,9,0.928605
1,10,2.92636
2,10,2.09579
10,10,0.864282
100,10,0.911643
1,11,0.467764
2,11,0.889191
10,11,0.466721
100,11,0.977282
1,12,0.204278
2,12,1.22635
10,12,0.979173
100,12,1.08533
1,13,5.37325
2,13,3.80068
10,13,1.7173
100,13,0.957826
1,14,0.0766345
2,14,0.172689
10,14,0.601698
100,14,0.944839
1,15,1.63434
2,15,1.06174
10,15,0.987067
100,15,1.0182
1,16,1.86534
2,16,1.84324
10,16,1.49595
100,16,1.17451
1,17,0.0395336
2,17,0.0701593
10,17,0.679865
100,17,0.753918
1,18,1.09762
2,18,0.55562
10,18,1.50634
100,18,1.03201
1,19,0.100288
2,19,0.322556
10,19,0.567421
100,19,0.918681
1,20,0.516955
2,20,0.593239
10,20,0.989603
100,20,0.747226
1,21,0.0458466
2,21,0.797067
10,21,0.645931
100,21,0.953919
1,22,0.136814
2,22,0.385546
10,22,1.25277
100,22,1.08534
1,23,0.477618
2,23,0.614934
10,23,0.751329
100,23,1.05837
1,24,0.44887
2,24,0.660789
10,24,0.800767
100,24,1.00203
1,25,0.00969122
2,25,0.0689716
10,25,1.5319
100,25,1.04283
1,26,0.0720549
2,26,0.584986
10,26,0.979476
100,26,1.06561
1,27,0.686117
2,27,1.13371
10,27,1.05833
100,27,1.08229
1,28,0.493919
2,28,0.544949
10,28,0.841256
100,28,0.825662
1,29,0.760961
2,29,0.742242
10,29,1.03097
100,29,0.968065
1,30,0.115037
2,30,0.0979616
10,30,0.780623
100,30,0.989912
1,31,1.08476
2,31,0.737984
10,31,0.765523
100,31,0.806014
1,32,2.09408
2,32,1.419
10,32,1.01258
100,32,1.06115
1,33,0.275705
2,33,0.163752
10,33,1.17617
100,33,0.938677
1,34,0.183593
2,34,1.06282
10,34,1.27885
100,34,1.02054
1,35,1.03396
2,35,0.765746
10,35,0.74957
100,35,0.983036
1,36,3.84166
2,36,2.15288
10,36,1.60943
100,36,1.28869
1,37,1.24467
2,37,0.843917
10,37,0.622634
100,37,0.850413
1,38,0.318815
2,38,0.621291
10,38,0.789188
100,38,1.03324
1,39,0.574688
2,39,0.331393
10,39,0.494266
100,39,0.860815
1,40,0.182107
2,40,0.198557
10,40,0.614478
100,40,1.01995
1,41,2.28702
2,41,1.15001
10,41,1.46656
100,41,1.03071
1,42,1.92043
2,42,1.45882
10,42,0.910014
100,42,0.995576
1,43,0.567274
2,43,0.572981
10,43,0.730095
100,43,1.06885
1,44,0.324085
2,44,1.13364
10,44,1.07983
100,44,0.89197
1,45,0.0530998
2,45,0.305449
10,45,1.02624
100,45,0.991185
1,46,0.775767
2,46,1.05585
10,46,0.706257
100,46,1.08001
1,47,0.10283
2,47,0.0992905
10,47,1.19232
100,47,1.15901
1,48,0.060933
2,48,0.289954
10,48,0.685083
100,48,1.00786
1,49,0.157457
2,49,0.218344
10,49,1.24998
100,49,0.961008
1,50,0.620741
2,50,0.624623
10,50,0.618954
100,50,0.777756
1,51,0.155846
2,51,0.343993
10,51,1.34962
100,51,1.1911
1,52,0.25524
2,52,0.167851
10,52,1.39377
100,52,1.00558
1,53,1.61231
2,53,0.933654
10,53,0.807498
100,53,0.86611
1,54,0.0533387
2,54,1.09694
10,54,0.777582
100,54,0.84937
1,55,0.231036
2,55,0.200762
10,55,0.771036
100,55,0.792173
1,56,6.34987
2,56,4.05201
10,56,1.16639
100,56,1.03902
1,57,1.22687
2,57,1.13885
10,57,0.893132
100,57,1.04168
1,58,0.40977
2,58,1.09642
10,58,0.99271
100,58,1.02919
1,59,0.011919
2,59,0.464567
10,59,0.670924
100,59,0.877316
1,60,0.175508
2,60,0.293696
10,60,1.38037
100,60,1.18175
1,61,0.795745
2,61,0.512684
10,61,1.04633
100,61,0.922146
1,62,1.34765
2,62,1.30085
10,62,1.53974
100,62,1.00604
1,63,0.0593246
2,63,0.132749
10,63,1.0128
100,63,0.925807
1,64,0.929068
2,64,0.854559
10,64,0.758822
100,64,0.953368
1,65,0.559893
2,65,0.514974
10,65,0.933282
100,65,1.23309
1,66,0.48516
2,66,0.936107
10,66,1.19916
100,66,1.11119
1,67,1.52513
2,67,1.31078
10,67,1.64412
100,67,1.03973
1,68,0.477756
2,68,0.74618
10,68,0.879897
100,68,0.937353
1,69,1.56371
2,69,0.987973
10,69,0.888459
100,69,0.95907
1,70,2.15459
2,70,1.7612
10,70,1.43353
100,70,1.02869
1,71,0.276045
2,71,0.815011
10,71,1.43446
100,71,1.15781
1,72,0.275587
2,72,0.60508
10,72,1.11839
100,72,0.940495
1,73,1.85737
2,73,1.14902
10,73,0.951813
100,73,1.0729
1,74,1.04276
2,74,0.746022
10,74,1.68158
100,74,1.06085
1,75,0.326972
2,75,0.281441
10,75,0.514734
100,75,0.959739
1,76,1.20105
2,76,0.734067
10,76,0.512059
100,76,1.10211
1,77,0.668065
2,77,0.890026
10,77,0.840413
100,77,1.03984
1,78,1.12515
2,78,1.64092
10,78,0.790852
100,78,0.93401
1,79,0.228189
2,79,0.576779
10,79,1.11184
100,79,1.06521
1,80,0.842894
2,80,0.906737
10,80,0.837215
100,80,1.08866
1,81,1.31934
2,81,1.77439
10,81,0.943095
100,81,0.878704
1,82,1.96073
2,82,1.31408
10,82,0.8942
100,82,0.961651
1,83,3.29069
2,83,1.84834
10,83,0.922106
100,83,0.880911
1,84,0.0201933
2,84,0.125516
10,84,1.24256
100,84,0.887202
1,85,0.991454
2,85,1.61555
10,85,1.63702
100,85,1.12579
1,86,1.51613
2,86,0.759153
10,86,1.19908
100,86,1.04402
1,87,1.67497
2,87,1.04022
10,87,0.75543
100,87,0.935259
1,88,0.12792
2,88,0.229626
10,88,0.701002
100,88,0.893839
1,89,1.15775
2,89,0.692202
10,89,1.27691
100,89,1.01092
1,90,0.00904262
2,90,0.108263
10,90,0.450141
100,90,1.15246
1,91,0.686257
2,91,0.45445
10,91,0.941125
100,91,1.02566
1,92,2.20673
2,92,1.10994
10,92,0.902327
100,92,0.993001
1,93,1.59723
2,93,1.93315
10,93,1.24402
100,93,1.10986
1,94,2.32702
2,94,1.50307
10,94,0.94412
100,94,0.991364
1,95,2.47896
2,95,2.14384
10,95,1.11341
100,95,1.23635
