Block,prog_val,prog_val2,error
1,0.0832638,0.00693286,0
2,0.0838018,0.00702303,0.000538018
3,0.0834983,0.00697234,0.000434297
4,0.0834716,0.0069678,0.00030825
5,0.083479,0.00696896,0.000238881
6,0.083751,0.00701479,0.000334725
7,0.083762,0.00701655,0.000283108
8,0.0836932,0.00700501,0.000254628
9,0.0836221,0.00699309,0.00023557
10,0.0835406,0.00697949,0.000225906
11,0.0834496,0.00696434,0.00022366
12,0.0834267,0.00696049,0.000205454
13,0.0834814,0.0069696,0.000196727
14,0.0833753,0.00695201,0.000210783
15,0.0835257,0.00697739,0.000247244
16,0.0835141,0.00697541,0.000231563
17,0.083478,0.00696935,0.0002205
18,0.0834615,0.00696656,0.000208542
19,0.0834306,0.00696139,0.000199662
20,0.0835041,0.00697371,0.000203151
21,0.0835327,0.00697848,0.00019535
22,0.0835172,0.00697586,0.000186904
23,0.0835551,0.00698218,0.000182561
24,0.0835772,0.00698587,0.00017619
25,0.0835666,0.00698406,0.000169332
26,0.0835296,0.00697788,0.000166846
27,0.0835318,0.00697823,0.000160563
28,0.0835403,0.00697963,0.000154957
29,0.0835542,0.00698193,0.000150164
30,0.0836178,0.00699267,0.000158411
31,0.0835775,0.00698596,0.000158419
32,0.0835369,0.00697919,0.000158689
33,0.0835282,0.00697772,0.000154048
34,0.0835291,0.00697785,0.000149451
35,0.0835224,0.00697671,0.000145275
36,0.0835452,0.00698052,0.000143014
37,0.083499,0.00697285,0.000146582
38,0.0834776,0.00696929,0.000144255
39,0.083458,0.006966,0.000141874
40,0.0834464,0.00696405,0.000138767
41,0.0834263,0.0069607,0.000136821
42,0.0834348,0.00696209,0.000133788
43,0.0834389,0.00696277,0.000130706
44,0.0834348,0.00696207,0.000127767
45,0.0834224,0.00696,0.000125506
46,0.0834092,0.00695778,0.000123459
47,0.0833847,0.00695371,0.000123253
48,0.0833905,0.00695466,0.000120795
49,0.0833933,0.00695511,0.000118337
50,0.0834033,0.00695678,0.000116381
51,0.0833936,0.00695515,0.000114493
52,0.0833979,0.00695586,0.000112353
53,0.0833839,0.00695351,0.000111103
54,0.083367,0.0069507,0.00011033
55,0.0833907,0.00695467,0.000110864
56,0.0834022,0.00695659,0.000109481
57,0.0833859,0.00695388,0.000108773
58,0.0834037,0.00695684,0.00010834
59,0.0833993,0.00695611,0.000106575
60,0.0833938,0.00695517,0.000104932
61,0.0834035,0.00695679,0.000103654
62,0.0833957,0.00695548,0.000102267
63,0.0833884,0.00695426,0.000100892
64,0.0834056,0.00695714,0.000100788
65,0.0834162,0.00695891,9.97896e-05
66,0.0834016,0.00695647,9.93531e-05
67,0.0833988,0.006956,9.78973e-05
68,0.083399,0.00695601,9.6447e-05
69,0.0833994,0.00695608,9.50401e-05
70,0.0833965,0.00695558,9.37191e-05
71,0.0833865,0.00695392,9.29246e-05
72,0.0833905,0.00695457,9.17114e-05
73,0.0833751,0.00695202,9.17439e-05
74,0.0833748,0.00695195,9.04964e-05
75,0.0833837,0.00695344,8.97315e-05
76,0.0834002,0.00695621,9.00714e-05
77,0.0834041,0.00695685,8.8979e-05
78,0.0833928,0.00695497,8.85544e-05
79,0.0833895,0.0069544,8.74909e-05
80,0.083389,0.00695431,8.63919e-05
81,0.0833747,0.00695193,8.6507e-05
82,0.0833692,0.00695102,8.56188e-05
83,0.0833722,0.0069515,8.46317e-05
84,0.0833663,0.00695053,8.3822e-05
85,0.0833714,0.00695136,8.2984e-05
86,0.0833833,0.00695337,8.28836e-05
87,0.0833755,0.00695206,8.22961e-05
88,0.0833924,0.00695489,8.30835e-05
89,0.0834067,0.0069573,8.33877e-05
90,0.0834106,0.00695793,8.25456e-05
91,0.0834047,0.00695694,8.18483e-05
92,0.083418,0.00695917,8.2041e-05
93,0.0834014,0.00695642,8.2837e-05
94,0.0834001,0.0069562,8.19608e-05
95,0.0833944,0.00695525,8.12942e-05
96,0.0833962,0.00695555,8.04643e-05
97,0.0834068,0.00695731,8.03272e-05
98,0.0834116,0.00695811,7.96483e-05
99,0.0834091,0.00695769,7.88798e-05
100,0.0834056,0.0069571,7.8165e-05
