N,Chi2_value
1,118.34
2,97.96
3,98.52
4,77.62
5,106.42
6,93.26
7,96.8
8,113.86
9,98.06
10,100.76
11,105.24
12,69.2
13,76.52
14,84.38
15,101.04
16,110.3
17,87.86
18,85.2
19,93.92
20,87.76
21,91.86
22,100.02
23,76.86
24,107.6
25,77.5
26,106.92
27,125.9
28,117.38
29,103.8
30,113.84
31,112.8
32,76.74
33,91.3
34,120.8
35,86.62
36,92.7
37,83.24
38,101.94
39,108.96
40,103.66
41,83.74
42,74.58
43,123.32
44,87.58
45,96.06
46,89.06
47,115.52
48,94.1
49,95.82
50,103.76
51,95.76
52,101.02
53,114.5
54,93.82
55,101.42
56,96.22
57,77.24
58,79.38
59,97.16
60,97.72
61,96.28
62,115.16
63,105.98
64,97.44
65,120.86
66,129.36
67,134.76
68,97.52
69,99.32
70,120.22
71,75.8
72,78.16
73,79.92
74,87.38
75,106.7
76,114.28
77,105.44
78,136.72
79,95.3
80,86.54
81,103.28
82,110.64
83,77.22
84,135.66
85,113.5
86,137.98
87,90.54
88,83.92
89,86.84
90,107.08
91,112.46
92,78.58
93,106.98
94,108.3
95,111.04
96,85.08
97,139.78
98,87.22
99,98.9
100,86.9
