N,Chi2_value
1,118.34
2,97.96
3,98.52
4,77.62
5,106.42
6,93.26
7,96.8
8,113.86
9,98.06
10,100.76
11,105.24
12,69.2
13,76.52
14,84.38
15,101.04
16,110.3
17,87.86
18,85.2
19,93.92
20,87.76
21,91.86
22,100.02
23,76.86
24,107.6
25,77.5
26,106.92
27,125.9
28,117.38
29,103.8
30,113.84
31,112.8
32,76.74
33,91.3
34,120.8
35,86.62
36,92.7
37,83.24
38,101.94
39,108.96
40,103.66
41,83.74
42,74.58
43,123.32
44,87.58
45,96.06
46,89.06
47,115.52
48,94.1
49,95.82
50,103.76
51,95.76
52,101.02
53,114.5
54,93.82
55,101.42
56,96.22
57,77.24
58,79.38
59,97.16
60,97.72
61,96.28
62,115.16
63,105.98
64,97.44
65,120.86
66,129.36
67,134.76
68,97.52
69,99.32
70,120.22
71,75.8
72,78.16
73,79.92
74,87.38
75,106.7
76,114.28
77,105.44
78,136.72
79,95.3
80,86.54
81,103.28
82,110.64
83,77.22
84,135.66
85,113.5
86,137.98
87,90.54
88,83.92
89,86.84
90,107.08
91,112.46
92,78.58
93,106.98
94,108.3
95,111.04
96,85.08
97,139.78
98,87.22
99,98.9
100,86.9
101,100.66
102,80.76
103,84.32
104,89.84
105,96.12
106,91.62
107,98.6
108,93.04
109,120.3
110,92.16
111,106.14
112,103.04
113,109.94
114,77.9
115,117.4
116,97.22
117,103.82
118,92.02
119,84.84
120,119.92
121,96.76
122,77.24
123,113.24
124,114.02
125,113.78
126,120.38
127,90.78
128,90.8
129,117.88
130,130.32
131,97.28
132,76.96
133,89.9
134,113.58
135,100.52
136,92.1
137,90.12
138,112.34
139,104.96
140,78.84
141,120.98
142,89.62
143,94.72
144,107.32
145,95.28
146,107.52
147,105.94
148,111.16
149,94.76
150,109.4
151,125.26
152,100.32
153,89.62
154,94.34
155,81.6
156,102.24
157,99.02
158,110.52
159,94.34
160,102.14
161,105.76
162,82.48
163,108.16
164,106.24
165,105.98
166,100.84
167,100.86
168,82.68
169,97.24
170,101.86
171,84.78
172,123.68
173,85.68
174,94.78
175,99.46
176,119.92
177,102.04
178,95.44
179,122.96
180,122.98
181,103.54
182,89.8
183,83.54
184,92.36
185,82.22
186,88.78
187,88.5
188,103.48
189,111.3
190,109.48
191,90.4
192,88.02
193,94.8
194,95.2
195,84.1
196,89.42
197,112.1
198,95.44
199,104.26
200,111.52
201,101.52
202,100.54
203,101.96
204,91
205,107.14
206,91.94
207,97.06
208,108.12
209,88.66
210,89.64
211,79.44
212,117.24
213,114.96
214,98.66
215,97.38
216,114.92
217,70.76
218,114.66
219,81.58
220,94.46
221,93.16
222,80.74
223,142.12
224,116.74
225,114.36
226,86.68
227,114.96
228,121.46
229,83.32
230,104
231,117.06
232,93.82
233,87.56
234,86.46
235,111.78
236,102.4
237,98.04
238,77.94
239,107.42
240,98.02
241,111
242,97.26
243,82.3
244,98.34
245,128.7
246,103.36
247,94.08
248,113.48
249,109.62
250,83.76
251,102.72
252,90.28
253,108.54
254,97.06
255,88.84
256,113.4
257,89.2
258,114.1
259,106.9
260,72.46
261,87.88
262,93.54
263,100.04
264,95.62
265,77.78
266,82.72
267,84.52
268,98.94
269,101.24
270,91.64
271,126.22
272,94.58
273,100.64
274,119.46
275,120.76
276,99.44
277,101.14
278,105.46
279,114.8
280,109.84
281,102.64
282,91.34
283,74.68
284,82.78
285,105.22
286,110.82
287,133.46
288,121.74
289,77.92
290,95.62
291,108.52
292,109.2
293,97.66
294,90.58
295,112.48
296,78.24
297,131.84
298,97.8
299,94.22
300,88.48
301,102.7
302,103.36
303,80.86
304,69.2
305,89.1
306,113.56
307,114.82
308,102.76
309,114.58
310,115.14
311,81.2
312,85.62
313,126.78
314,96.66
315,121.04
316,85.56
317,73.76
318,123.92
319,77.14
320,83.78
321,97.84
322,75.22
323,117.08
324,105.6
325,96.02
326,67.4
327,138.5
328,101.68
329,104.64
330,94.52
331,95.9
332,74.06
333,68.78
334,84.14
335,76.58
336,102.7
337,92.48
338,110.28
339,101.62
340,88.5
341,110.5
342,87.4
343,103.12
344,106.06
345,108.4
346,104.04
347,117.56
348,107.58
349,89.96
350,98.76
351,92.22
352,90.24
353,102.94
354,106.52
355,89.66
356,90.28
357,102.34
358,95.88
359,129.76
360,98
361,89.26
362,115.08
363,110.66
364,91.56
365,85.72
366,95.56
367,82.56
368,95.52
369,99.8
370,89.7
371,107.22
372,93.18
373,108.72
374,94.56
375,112.3
376,107.04
377,105.76
378,107.7
379,95.26
380,102.76
381,88
382,94
383,126.18
384,91.48
385,117.46
386,102.64
387,117.98
388,97.1
389,84.46
390,109.62
391,73.18
392,97.76
393,91.52
394,106.16
395,72.22
396,97.22
397,115.34
398,96.12
399,91.66
400,88.24
401,107.3
402,83.88
403,104.8
404,100.6
405,112.62
406,104.42
407,92.52
408,101.58
409,92.66
410,99.34
411,99.2
412,110.52
413,95.9
414,89.88
415,101.66
416,103.34
417,98.38
418,93.86
419,111.08
420,84.16
421,107.4
422,108.82
423,110.92
424,107.04
425,90.92
426,111.92
427,80.16
428,88.68
429,107.5
430,108.76
431,89.7
432,96.76
433,95.28
434,96.72
435,114.66
436,84.78
437,102.94
438,86.22
439,92.78
440,104.52
441,104.38
442,94.78
443,88.2
444,87.32
445,93.12
446,93.62
447,100.38
448,103.26
449,90.86
450,83.26
451,73.74
452,88.66
453,125.44
454,96.22
455,103.7
456,73.7
457,79.26
458,102.62
459,126.48
460,92.4
461,92.26
462,107.06
463,110.52
464,100.14
465,86
466,103.46
467,112.86
468,89.54
469,88.42
470,94.96
471,97.96
472,135.66
473,81.32
474,94.12
475,112.64
476,92.88
477,91.42
478,107.9
479,134.8
480,74.44
481,129.44
482,91.14
483,102.18
484,99.44
485,105.16
486,99.76
487,116.6
488,115.78
489,103.52
490,90.72
491,101.5
492,70.66
493,120.72
494,122.38
495,98.78
496,95.14
497,101.76
498,101.68
499,88.62
500,70.54
501,102.16
502,113.04
503,124.42
504,115.4
505,97.52
506,110.72
507,119.84
508,89.46
509,152.18
510,108.42
511,112
512,107.12
513,100.86
514,120.44
515,85.9
516,99.78
517,71.44
518,121.34
519,93.44
520,89.28
521,104.42
522,84.92
523,112.9
524,94.8
525,88.36
526,83.08
527,111.24
528,67.24
529,102.1
530,97.3
531,100.18
532,107.52
533,70.24
534,115.74
535,101.96
536,106.74
537,101.98
538,89.32
539,93.82
540,106.8
541,116.66
542,95.18
543,89.42
544,85.76
545,77.46
546,103.2
547,96.22
548,116.58
549,102.78
550,94.42
551,81.52
552,98.14
553,82.92
554,134.04
555,92.9
556,90.8
557,86.5
558,98.3
559,118.62
560,82.5
561,80.18
562,86.34
563,79.1
564,89.26
565,101.88
566,114.5
567,102.6
568,118.34
569,116.04
570,97.9
571,108.12
572,101.64
573,103.26
574,91.74
575,101.1
576,102.22
577,90.18
578,106.6
579,84.28
580,93.44
581,109.92
582,98.8
583,82.24
584,91.38
585,98.32
586,98.76
587,67.66
588,87.94
589,102.62
590,93.6
591,101.06
592,108.82
593,78.7
594,89.34
595,105.4
596,125.34
597,78.26
598,70.26
599,87.48
600,89.88
601,104.98
602,118.58
603,108.72
604,97.56
605,99.32
606,160.72
607,79.66
608,95.44
609,88.7
610,106.18
611,92.16
612,79.62
613,116.64
614,97.92
615,105.56
616,111.36
617,96.08
618,95.32
619,104.4
620,114.52
621,108.5
622,98.42
623,104.46
624,84.56
625,104.04
626,83.96
627,72.46
628,95.5
629,101.66
630,72.92
631,88.58
632,93.9
633,75.68
634,97.98
635,119.46
636,94.9
637,92.94
638,94.36
639,107.06
640,113.42
641,117.88
642,91.02
