Block,Tot_throws,Progressive_val,Error
1,10000,3.15916,0
2,20000,3.14712,0.0120447
3,30000,3.15215,0.00858647
4,40000,3.15972,0.00969902
5,50000,3.15979,0.00751317
6,60000,3.15311,0.00906688
7,70000,3.16057,0.0106898
8,80000,3.15719,0.00985466
9,90000,3.1575,0.00869668
10,100000,3.16237,0.00917741
11,110000,3.15829,0.00925282
12,120000,3.15531,0.00895695
13,130000,3.14899,0.0103783
14,140000,3.14738,0.00974257
15,150000,3.14757,0.00907179
16,160000,3.14552,0.00873024
17,170000,3.14616,0.00822538
18,180000,3.14506,0.00783277
19,190000,3.14458,0.00742467
20,200000,3.14376,0.00709085
21,210000,3.14579,0.00704319
22,220000,3.14623,0.0067299
23,230000,3.14598,0.00643538
24,240000,3.14562,0.00617219
25,250000,3.14295,0.00649457
26,260000,3.14249,0.00625627
27,270000,3.14138,0.00612242
28,280000,3.14142,0.00589988
29,290000,3.14125,0.00569538
30,300000,3.1434,0.00590523
31,310000,3.14241,0.00579654
32,320000,3.14154,0.00567843
33,330000,3.14038,0.00562444
34,340000,3.14023,0.00545857
35,350000,3.14087,0.00533849
36,360000,3.14063,0.00519357
37,370000,3.14123,0.00508635
38,380000,3.14061,0.00498949
39,390000,3.14039,0.00486469
40,400000,3.14165,0.00490525
41,410000,3.14055,0.00490905
42,420000,3.14112,0.00482441
43,430000,3.13989,0.00486698
44,440000,3.14104,0.00489114
45,450000,3.14165,0.0048201
46,460000,3.14179,0.00471621
47,470000,3.14077,0.00472651
48,480000,3.1414,0.00467012
49,490000,3.14177,0.00458853
50,500000,3.14154,0.00450154
51,510000,3.14199,0.00443487
52,520000,3.14208,0.00434965
53,530000,3.14181,0.004275
54,540000,3.14161,0.00419981
55,550000,3.14083,0.00419633
56,560000,3.14166,0.00420293
57,570000,3.14252,0.00421743
58,580000,3.14139,0.00429632
59,590000,3.1417,0.00423442
60,600000,3.1425,0.00424054
61,610000,3.14267,0.00417393
62,620000,3.14202,0.0041579
63,630000,3.14132,0.0041511
64,640000,3.14204,0.00414943
65,650000,3.14181,0.00409169
66,660000,3.14162,0.00403347
67,670000,3.14214,0.00400638
68,680000,3.14217,0.00394709
69,690000,3.1425,0.00390393
70,700000,3.14304,0.00388528
71,710000,3.14317,0.00383222
72,720000,3.1433,0.00378114
73,730000,3.14242,0.00383313
74,740000,3.14261,0.00378611
75,750000,3.14251,0.00373673
76,760000,3.14227,0.003695
77,770000,3.14247,0.00365227
78,780000,3.14208,0.00362671
79,790000,3.14182,0.00359007
80,800000,3.14126,0.00358738
81,810000,3.14099,0.00355362
82,820000,3.14081,0.00351436
83,830000,3.1406,0.00347831
84,840000,3.14016,0.00346442
85,850000,3.13999,0.00342786
86,860000,3.14097,0.00352717
87,870000,3.14149,0.00352557
88,880000,3.14151,0.00348531
89,890000,3.14208,0.00349374
90,900000,3.14235,0.00346506
91,910000,3.1416,0.00350896
92,920000,3.14152,0.00347148
93,930000,3.14173,0.00344068
94,940000,3.1421,0.00342329
95,950000,3.14235,0.00339635
96,960000,3.14272,0.00338081
97,970000,3.14249,0.00335331
98,980000,3.14236,0.00332167
99,990000,3.1419,0.00331897
100,1000000,3.14245,0.00333029
