N,extraction,value
1,1,0.122649
2,1,0.299882
10,1,0.46755
100,1,0.476146
1,2,0.240384
2,2,0.215986
10,2,0.548215
100,2,0.516963
1,3,0.673405
2,3,0.467308
10,3,0.592284
100,3,0.562328
1,4,0.219829
2,4,0.560147
10,4,0.46383
100,4,0.514191
1,5,0.682553
2,5,0.625544
10,5,0.519634
100,5,0.489201
1,6,0.605289
2,6,0.46517
10,6,0.586701
100,6,0.489206
1,7,0.299975
2,7,0.190361
10,7,0.471965
100,7,0.4959
1,8,0.579637
2,8,0.555852
10,8,0.605765
100,8,0.516198
1,9,0.110752
2,9,0.0897748
10,9,0.420654
100,9,0.514877
1,10,0.799183
2,10,0.621485
10,10,0.667084
100,10,0.481078
1,11,0.123748
2,11,0.30878
10,11,0.367556
100,11,0.485194
1,12,0.831477
2,12,0.766063
10,12,0.510777
100,12,0.482741
1,13,0.908635
2,13,0.895029
10,13,0.687394
100,13,0.531751
1,14,0.241553
2,14,0.519426
10,14,0.568877
100,14,0.490263
1,15,0.881353
2,15,0.925449
10,15,0.631091
100,15,0.520462
1,16,0.326608
2,16,0.409347
10,16,0.524141
100,16,0.516042
1,17,0.738013
2,17,0.433787
10,17,0.390043
100,17,0.49935
1,18,0.499122
2,18,0.494547
10,18,0.529782
100,18,0.534868
1,19,0.0372262
2,19,0.299102
10,19,0.421325
100,19,0.515601
1,20,0.318411
2,20,0.358655
10,20,0.390147
100,20,0.538938
1,21,0.930886
2,21,0.595192
10,21,0.633835
100,21,0.488538
1,22,0.170621
2,22,0.565104
10,22,0.502332
100,22,0.488808
1,23,0.043374
2,23,0.400956
10,23,0.435379
100,23,0.468543
1,24,0.597157
2,24,0.572959
10,24,0.458731
100,24,0.450274
1,25,0.49921
2,25,0.571697
10,25,0.540689
100,25,0.48191
1,26,0.27155
2,26,0.613693
10,26,0.510529
100,26,0.507203
1,27,0.0991408
2,27,0.471358
10,27,0.340381
100,27,0.481642
1,28,0.624767
2,28,0.528891
10,28,0.392123
100,28,0.520291
1,29,0.64466
2,29,0.665701
10,29,0.630851
100,29,0.484179
1,30,0.118947
2,30,0.0688957
10,30,0.306489
100,30,0.501765
1,31,0.410974
2,31,0.57642
10,31,0.605105
100,31,0.522069
1,32,0.169585
2,32,0.152389
10,32,0.471483
100,32,0.526018
1,33,0.768396
2,33,0.596191
10,33,0.504532
100,33,0.512571
1,34,0.71615
2,34,0.586914
10,34,0.527078
100,34,0.476188
1,35,0.952189
2,35,0.664663
10,35,0.631611
100,35,0.512202
1,36,0.441138
2,36,0.250331
10,36,0.503543
100,36,0.466664
1,37,0.980832
2,37,0.805382
10,37,0.523553
100,37,0.497213
1,38,0.637567
2,38,0.733214
10,38,0.450555
100,38,0.511541
1,39,0.722736
2,39,0.623657
10,39,0.586887
100,39,0.540013
1,40,0.724905
2,40,0.442181
10,40,0.427249
100,40,0.529005
1,41,0.111395
2,41,0.265359
10,41,0.492979
100,41,0.521522
1,42,0.413439
2,42,0.664166
10,42,0.453211
100,42,0.501658
1,43,0.508966
2,43,0.336661
10,43,0.43449
100,43,0.509464
1,44,0.51708
2,44,0.591626
10,44,0.5204
100,44,0.48278
1,45,0.218298
2,45,0.284715
10,45,0.442769
100,45,0.502599
1,46,0.414605
2,46,0.308686
10,46,0.366013
100,46,0.418528
1,47,0.143393
2,47,0.239265
10,47,0.466186
100,47,0.520893
1,48,0.15934
2,48,0.23822
10,48,0.606289
100,48,0.506075
1,49,0.598302
2,49,0.315196
10,49,0.309406
100,49,0.491619
1,50,0.237271
2,50,0.549874
10,50,0.531241
100,50,0.507684
1,51,0.264464
2,51,0.376028
10,51,0.633591
100,51,0.531406
1,52,0.973608
2,52,0.529022
10,52,0.460342
100,52,0.47072
1,53,0.29648
2,53,0.258336
10,53,0.517547
100,53,0.544219
1,54,0.58777
2,54,0.406659
10,54,0.45913
100,54,0.483599
1,55,0.576322
2,55,0.457121
10,55,0.579808
100,55,0.485272
1,56,0.896821
2,56,0.650237
10,56,0.416764
100,56,0.527677
1,57,0.115986
2,57,0.272103
10,57,0.461656
100,57,0.470891
1,58,0.667333
2,58,0.715433
10,58,0.584511
100,58,0.505071
1,59,0.608573
2,59,0.414968
10,59,0.471075
100,59,0.464304
1,60,0.615696
2,60,0.758857
10,60,0.475173
100,60,0.482427
1,61,0.127819
2,61,0.0775363
10,61,0.38765
100,61,0.487373
1,62,0.0568535
2,62,0.311697
10,62,0.323451
100,62,0.460614
1,63,0.97605
2,63,0.960884
10,63,0.628399
100,63,0.51826
1,64,0.201491
2,64,0.414302
10,64,0.407245
100,64,0.510367
1,65,0.680588
2,65,0.765387
10,65,0.474539
100,65,0.455037
1,66,0.10165
2,66,0.211701
10,66,0.529894
100,66,0.513854
1,67,0.138581
2,67,0.141717
10,67,0.359199
100,67,0.495227
1,68,0.244779
2,68,0.510061
10,68,0.463352
100,68,0.502197
1,69,0.91028
