N  Half_pop_ave        L
0 40.7201 33.636
0 38.4283 33.281
0 36.2317 31.6243
0 34.4553 26.6028
0 31.7841 24.8431
0 29.4609 24.8431
0 28.8706 23.158
0 27.5867 22.9814
0 26.3106 22.9044
0 25.76 19.8269
0 25.0032 19.6754
0 23.0082 18.7618
0 23.077 18.7618
0 21.77 17.843
0 21.2622 17.843
0 21.2843 17.843
0 21.4291 17.843
0 20.3505 17.5349
0 19.895 17.1245
0 19.6397 16.8283
0 19.1256 16.5104
0 18.6518 16.5104
0 18.5749 15.7829
0 18.366 15.7829
0 17.9591 15.7829
0 17.9791 15.7829
0 17.5099 15.4468
0 17.0467 15.4468
0 16.9801 15.1971
0 17.0452 15.1971
0 17.114 15.1971
0 16.5508 15.1971
0 16.7807 15.1971
0 16.4361 14.8929
0 16.5039 14.8857
0 16.1374 14.8857
0 16.1516 14.8857
0 15.3991 14.6986
0 15.3145 14.3277
0 14.8348 14.3277
0 14.6155 12.5319
0 14.546 11.8045
0 14.5789 11.8045
0 14.2806 11.8045
0 14.3124 11.8045
0 14.3438 11.8045
0 13.7042 11.8045
0 13.8245 11.8045
0 13.881 11.8045
0 13.5134 11.4493
0 13.5934 11.5396
0 13.4043 11.5396
0 13.4494 11.5396
0 12.6467 11.1981
0 12.6467 11.1981
0 12.7135 11.1981
0 12.8239 11.1981
0 12.8946 11.1981
0 12.9566 11.1981
0 13.0748 11.1981
0 12.9783 10.4448
0 12.3867 10.4448
0 11.6606 10.3989
0 11.8217 10.3989
0 12.2922 10.3989
0 12.4065 10.3989
0 11.7007 9.9728
0 11.1414 9.9728
0 10.9842 9.77049
0 11.1353 9.77049
0 10.7407 9.77049
0 10.6178 9.77049
0 10.6666 9.77049
0 10.6395 9.77049
0 10.384 9.77049
0 10.871 9.77049
0 10.8472 9.77049
0 11.5103 9.77049
0 11.635 9.77049
0 11.2507 9.77049
0 10.1705 9.72689
0 9.81308 9.72689
0 9.84675 9.69374
0 9.91936 9.3733
0 9.99201 9.3733
0 9.9227 9.06371
0 9.82233 8.66651
0 9.91088 8.66651
0 10.0607 8.66651
0 10.0759 8.66651
0 9.91817 8.66651
0 9.97254 8.66651
0 10.0208 8.66651
0 10.0797 8.66651
0 10.0436 8.66651
0 10.0458 8.66651
0 9.44293 8.66651
0 9.70884 8.66651
0 9.98356 8.66651
0 10.0467 8.66651
0 9.81215 7.75523
0 9.45955 7.75523
0 9.46638 7.75523
0 9.4691 7.75523
0 9.29445 7.75523
0 9.33729 7.75523
0 9.40346 7.75523
0 9.11225 7.75523
0 9.16142 7.75523
0 8.68949 7.75523
0 8.9946 7.75523
0 8.4187 7.75523
0 8.13464 7.75523
0 8.24198 7.75523
0 7.94327 7.75523
0 8.05959 7.75523
0 7.92331 7.75517
0 8.13673 7.75517
0 8.18946 7.75517
0 8.01934 7.75517
0 7.95275 7.55466
0 7.87682 7.30857
0 7.85131 7.30857
0 7.95273 7.30857
0 8.13268 7.30857
0 8.06846 7.30857
0 8.10204 7.30857
0 8.28532 7.30857
0 8.33801 7.30857
0 9.1641 7.30857
0 9.20609 7.30857
0 9.32451 7.30857
0 9.34642 7.30857
0 9.02748 7.30857
0 9.3497 7.30857
0 9.87415 7.30857
0 9.87795 7.30857
0 9.94366 7.30857
0 10.0138 7.30857
0 10.1141 7.30857
0 9.28401 7.30857
0 9.49884 7.30857
0 8.83477 7.30857
0 8.70023 7.30857
0 8.21102 7.30857
0 8.30678 7.27213
0 8.87121 7.27213
0 8.51103 7.27213
0 8.19819 7.27213
0 8.33104 7.27213
0 8.40761 7.27213
0 9.14961 7.22671
0 9.34421 7.22671
0 9.34221 7.22671
0 9.4309 7.22671
0 8.81753 7.22671
0 8.40707 7.22671
0 8.37165 7.22671
0 8.25633 7.10806
0 8.26408 7.10806
0 8.17558 6.26484
0 8.46901 6.26484
0 8.65365 6.26484
0 8.5636 6.28473
0 8.66847 6.28473
0 9.40424 6.28473
0 9.71514 6.28473
0 9.63592 6.28473
0 9.37006 6.28473
0 8.77017 6.26484
0 8.8475 6.28473
0 8.72883 6.28473
0 8.00807 6.26484
0 7.91278 6.26484
0 7.58579 6.26484
0 7.63394 6.26484
0 7.81495 6.26484
0 7.68914 6.26484
0 7.82028 6.26484
0 8.26822 6.26484
0 8.18137 6.26484
0 8.177 6.26484
0 7.7229 6.26484
0 8.16146 6.26484
0 8.17861 6.26484
0 7.69286 6.26484
0 8.02702 6.26484
0 8.15402 6.26484
0 8.29834 6.26484
0 8.45287 6.26484
0 7.3638 6.26484
0 7.59689 6.26484
0 7.62781 6.26484
0 7.48331 6.26484
0 6.70296 6.26484
0 6.71132 6.26484
0 6.74027 6.26484
0 6.81211 6.26484
0 6.93882 6.26484
0 6.97193 6.26484
