N  Half_pop_ave        L
0 17.3423 14.0718
0 16.405 13.7282
0 15.6107 13.5322
0 14.9613 11.9147
0 14.3309 12.24
0 13.7236 12.24
0 13.4651 11.8979
0 13.2829 11.5663
0 12.9202 11.5622
0 12.6945 10.9577
0 12.4621 11.0858
0 11.9468 10.714
0 11.9668 10.714
0 11.8041 10.2704
0 11.811 10.2704
0 11.8134 10.2704
0 11.575 10.2704
0 11.1668 10.2021
0 10.9813 10.0864
0 10.7691 9.61712
0 10.4029 9.61712
0 10.4126 9.61712
0 10.4399 9.61712
0 10.4527 9.61712
0 10.299 9.44406
0 10.0675 9.44406
0 10.0726 9.44406
0 9.90923 9.25423
0 9.83455 9.15048
0 9.71619 8.96585
0 9.59 8.73604
0 9.48368 8.60385
0 9.42256 8.60385
0 9.42453 8.60385
0 9.16925 8.55351
0 9.21092 8.55351
0 9.18837 8.37531
0 9.20244 8.37531
0 9.22215 8.37531
0 9.24071 8.37531
0 9.06172 7.23462
0 8.84197 7.14365
0 8.39013 7.14365
0 8.12431 7.03229
0 7.92737 7.03229
0 7.44034 7.03229
0 7.31589 7.03229
0 7.25034 6.95559
0 7.20528 6.95559
0 7.20841 6.95559
0 7.23674 6.81307
0 7.26401 6.81307
0 7.44975 6.81307
0 7.44107 6.81307
0 7.18861 6.81307
0 7.26058 6.81307
0 7.27941 6.81307
0 7.28564 6.77264
0 7.10948 6.77264
0 7.03071 6.77264
0 6.97488 6.24888
0 7.04259 6.52738
0 7.22002 6.48564
0 6.91897 6.26664
0 6.74126 6.20829
0 6.66713 6.12633
0 6.68446 6.12633
0 6.67145 6.07756
0 6.72353 6.07756
0 6.68941 6.07756
0 6.58997 6.07756
0 6.52955 6.07756
0 6.56268 6.07756
0 6.57829 6.07756
0 6.3476 6.07756
0 6.37188 6.07756
0 6.38605 6.07756
0 6.50557 6.07756
0 6.65875 6.07756
0 6.65074 6.07756
0 6.2061 5.97702
0 6.24496 5.97702
0 6.26204 5.97702
0 6.28337 5.97702
0 6.30944 5.97702
0 6.34476 5.97702
0 6.37329 5.97702
0 6.23317 5.97702
0 6.2624 5.97702
0 6.13467 5.97702
0 6.28247 5.97702
0 6.29892 5.97702
0 6.33412 5.97702
0 6.34102 5.97702
0 6.3478 5.97702
0 6.36184 5.97702
0 6.20641 5.96835
0 6.26515 5.96835
0 6.19491 5.95893
0 6.20846 5.95893
0 6.20896 5.85381
0 6.237 5.85381
0 6.24722 5.85381
0 6.26664 5.85381
0 6.33783 5.80292
0 6.31711 5.80292
0 6.32711 5.80292
0 6.31335 5.80292
0 6.3355 5.80292
0 6.36213 5.80292
0 6.44723 5.80292
0 6.2561 5.80292
0 6.18482 5.80292
0 6.2368 5.80292
0 6.24916 5.80292
0 6.26695 5.80292
0 6.30401 5.80292
0 6.20022 5.80292
0 6.14486 5.80292
0 6.16705 5.80292
0 5.99342 5.68389
0 6.08992 5.68389
0 6.02077 5.68389
0 5.96309 5.68389
0 6.02157 5.68389
0 6.05614 5.68389
0 6.08041 5.68389
0 6.13006 5.68389
0 6.12269 5.68389
0 6.13649 5.68389
0 6.0868 5.68389
0 5.9217 5.6765
0 5.93632 5.6765
0 5.90174 5.6765
0 5.94422 5.6765
0 5.86786 5.6765
0 5.88346 5.6765
0 5.9129 5.6765
0 5.75999 5.6765
0 5.78162 5.6765
0 5.74134 5.53543
0 5.90635 5.53543
0 5.8139 5.53543
0 5.86606 5.53543
0 5.81859 5.49566
0 5.8443 5.46269
0 5.70005 5.46269
0 5.89752 5.46269
0 5.65669 5.46269
0 5.76674 5.46269
0 5.66584 5.46269
0 5.79473 5.46269
0 5.60172 5.40584
0 5.5676 5.40584
0 5.66343 5.40584
0 5.68339 5.40584
0 5.60891 5.40584
0 5.62506 5.40584
0 5.63285 5.40584
0 5.66091 5.40584
0 5.6395 5.20164
0 5.52711 5.19426
0 5.55012 5.19426
0 5.50768 5.19426
0 5.505 5.19426
0 5.52126 5.19426
0 5.49864 5.15374
0 5.34961 5.15374
0 5.46696 5.15374
0 5.35154 5.15374
0 5.29227 5.13858
0 5.33538 5.13858
0 5.35796 5.13858
0 5.52707 5.13858
0 5.48029 5.13858
0 5.5604 5.13858
0 5.37734 5.13858
0 5.36762 5.13858
0 5.16525 5.13858
0 5.2991 5.13858
0 5.33888 5.13858
0 5.33909 5.13858
0 5.31154 5.13858
0 5.34946 5.13858
0 5.37719 5.13858
0 5.46535 5.13858
0 5.51089 5.13858
0 5.67719 5.13858
0 5.73857 5.13858
0 5.79399 5.13858
0 5.70426 5.13858
0 5.56532 5.13858
0 5.82314 5.13858
0 5.58291 5.13858
0 5.6076 5.13858
0 5.49721 5.13858
0 5.37343 5.13858
0 5.37343 5.13858
0 5.47569 5.13858
0 5.58011 5.13858
