N  Half_pop_ave        L
0 494.148 456.241
1 479.375 445.714
2 465.132 421.264
3 452.993 416.146
4 441.479 388.93
5 441.6 388.93
6 426.801 388.93
7 426.88 388.93
8 414.214 383.602
9 403.844 373.845
10 395.983 370.833
11 395.983 370.833
12 395.928 370.833
13 393.045 367.005
14 386.554 366.205
15 379.433 361.271
16 375.11 359.458
17 375.129 359.458
18 370.084 348.444
19 369.958 348.444
20 363.777 344.454
21 359.626 334.304
22 349.719 324.484
23 349.782 324.484
24 342.927 324.243
25 335.17 323.039
26 331.628 318.637
27 329.394 316.598
28 329.493 316.598
29 326.293 315.094
30 325.175 314.965
31 323.297 312.127
32 320.639 309.172
33 318.658 305.973
34 316.167 303.241
35 313.332 297.209
36 310.207 292.349
37 307.248 292.349
38 306.981 292.349
39 307.031 292.349
40 302.745 280.694
41 303.013 280.694
42 297.619 280.191
43 297.775 280.191
44 294.179 276.172
45 290.186 276.172
46 290.365 276.172
47 290.381 276.172
48 287.97 274.696
49 284.1 274.696
50 281.243 256.419
51 281.838 254.98
52 281.616 253.179
53 281.668 253.179
54 276.08 247.287
55 270.917 247.287
56 265.881 245.856
57 266.121 245.856
58 262.155 243.461
59 262.249 243.461
60 262.358 243.461
61 262.988 245.306
62 259.573 244.224
63 259.851 244.224
64 255.436 242.781
65 255.484 242.781
66 251.869 241.447
67 250.216 237.324
68 249.676 237.324
69 248.92 229.703
70 246.166 229.703
71 243.519 229.703
72 244.057 229.703
73 244.156 229.703
74 238.796 229.703
75 238.898 229.703
76 237.451 229.512
77 237.555 229.512
78 237.61 229.512
79 236.489 228.053
80 235.497 226.913
81 235.327 225.892
82 235.669 225.892
83 231.901 224.221
84 231.984 224.221
85 231.129 224.221
86 230.458 223.18
87 230.677 223.18
88 229.588 217.137
89 227.92 215.696
90 224.568 214.862
91 223.146 213.731
92 223.172 213.731
93 223.275 213.731
94 220.39 209.639
95 219.815 208.198
96 217.755 208.198
97 217.809 208.198
98 216.156 208.107
99 216.156 208.107
100 214.594 205.119
101 216.601 205.119
102 218.686 206.827
103 218.686 206.827
104 217.121 206.614
105 215.293 204.226
106 211.833 202.978
107 212.196 202.978
108 212.307 202.978
109 212.021 202.978
110 212.021 202.978
111 212.16 202.978
112 211.545 202.648
113 212.277 201.474
114 212.485 201.474
115 212.656 201.474
116 209.41 198.304
117 208.567 200.07
118 208.653 197.469
119 208.751 197.469
120 207.438 196.545
121 206.134 196.193
122 204.162 194.02
123 202.673 193.668
124 202.616 193.668
125 203.564 193.313
126 203.565 193.313
127 201.61 193.313
128 200.74 191.724
129 199.977 191.566
130 199.265 189.092
131 198.378 187.212
132 198.582 187.212
133 196.847 184.454
134 193.251 183.315
135 192.636 180.286
136 190.87 175.632
137 191.09 175.632
138 187.679 173.077
139 185.7 173.077
140 183.591 173.077
141 182.947 173.077
142 181.114 170.866
143 177.619 169.02
144 175.291 167.193
145 174.565 166.693
146 173.278 166.693
147 173.406 166.693
148 173.484 166.693
149 173.884 166.693
150 172.155 166.693
151 172.293 166.693
152 172.049 166.152
153 170.749 166.152
154 170.593 166.152
155 168.99 165.866
156 169.03 165.061
157 169.179 165.061
158 169.272 165.061
159 170.652 165.061
160 170.206 163.81
161 170.26 163.81
162 170.438 163.81
163 170.573 163.81
164 170.873 163.081
165 170.933 163.081
166 171.142 161.88
167 171.197 161.88
168 168.723 161.88
169 169.019 161.88
170 169.124 161.88
171 168.466 160.306
172 167.256 160.306
173 167.436 160.306
174 166.764 160.306
175 165.661 159.642
176 165.667 159.642
177 165.678 159.642
178 163.796 157.727
179 163.098 157.365
180 163.382 157.365
181 164.07 157.005
182 163.702 157.005
183 162.257 156.505
184 161.768 155.52
185 161.474 155.52
186 160.402 155.02
187 160.447 155.02
188 160.606 155.02
189 160.726 155.02
190 160.819 155.02
191 160.651 154.504
192 160.074 154.504
193 157.831 154.504
194 158.634 154.121
195 158.437 153.606
196 158.062 153.606
197 157.431 153.606
198 157.501 153.606
199 157.626 153.606
200 157.2 145.925
201 156.648 145.733
202 156.792 145.733
203 157.348 144.836
204 156.729 144.836
205 158.732 144.836
206 155.745 144.836
207 153.131 144.554
208 150.867 144.554
209 149.242 142.719
210 146.384 142.436
211 145.793 142.436
212 145.702 142.436
213 145.061 142.436
214 145.323 142.436
215 146.168 142.436
216 146.473 142.436
217 146.283 142.436
218 146.308 142.436
219 147.178 142.436
220 146.235 142.436
221 146.416 142.436
222 145.828 142.436
223 145.716 141.91
224 145.14 141.91
225 144.858 141.91
226 146.905 141.856
227 146.695 141.634
228 145.494 141.634
229 145.514 141.634
230 146.404 140.813
231 145.446 140.591
232 145.569 140.591
233 146.057 140.591
234 144.422 140.591
235 144.642 140.591
236 144.217 140.591
237 144.263 140.591
238 142.034 140.134
239 142.24 140.134
240 142.243 140.134
241 141.859 140.134
242 141.934 140.134
243 141.479 140.134
244 142.083 140.134
245 142.351 140.134
246 142.45 137.848
247 142.45 137.848
248 142.693 137.848
249 142.353 137.848
250 142.093 135.319
251 142.119 135.319
252 142.847 135.722
253 142.565 135.722
254 142.702 135.722
255 142.781 135.722
256 142.822 135.722
257 142.805 135.722
258 143.782 135.722
259 141.687 134.669
260 141.276 133.762
261 141.046 133.762
262 139.78 133.762
263 137.828 132.699
264 137.533 132.699
265 138.416 132.067
266 139.355 131.442
267 138.84 131.442
268 138.917 129.537
269 138.971 129.537
270 137.765 129.537
271 137.816 129.537
272 136.361 129.537
273 136.785 129.537
274 136.942 129.537
275 135.075 129.513
276 134.672 128.586
277 134.28 128.586
278 132.514 128.586
279 132.778 128.586
280 132.778 128.586
281 132.99 128.586
282 133.432 128.308
283 131.977 128.308
284 132.221 128.308
285 132.314 128.308
286 132.338 128.308
287 132.677 128.308
288 131.973 128.308
289 132.636 128.285
290 132.658 128.285
291 132.898 128.285
292 131.401 128.285
293 131.624 128.285
294 130.285 127.95
295 130.309 127.95
296 129.895 127.95
297 129.723 127.485
298 129.848 127.485
299 130.068 127.485
300 129.963 127.485
301 129.7 127.485
302 130.261 127.485
303 130.059 127.123
304 130.292 127.123
305 130.567 127.123
306 128.634 127.123
307 129.505 126.788
308 129.766 126.788
309 129.86 126.788
310 130.858 126.788
311 130.526 126.788
312 131.117 126.788
313 130.681 126.788
314 129.819 126.788
315 130.04 126.788
316 129.921 126.788
317 130.041 126.788
318 129.81 126.788
319 128.752 126.788
320 128.79 126.412
321 129.249 125.718
322 128.667 125.718
323 128.446 125.718
324 128.609 125.718
325 128.194 125.419
326 127.935 125.419
327 126.7 125.419
328 126.755 125.419
329 126.755 125.419
330 127.446 124.753
331 127.821 124.753
332 128.185 124.753
333 129.605 124.753
334 129.706 124.753
335 127.396 124.204
336 128.577 124.204
337 128.822 124.204
338 127.895 124.05
339 128.025 123.96
340 128.225 123.21
341 126.309 123.057
342 125.784 122.52
343 125.854 122.52
344 126.131 122.367
345 124.566 122.367
346 124.566 122.367
347 124.725 122.367
348 124.094 122.367
349 124.094 122.367
350 124.527 116.066
351 124.694 116.066
352 125.079 116.066
353 125.286 116.066
354 123.944 113.779
355 124.907 113.779
356 124.907 113.779
357 121.702 113.779
358 120.129 113.779
359 119.599 113.779
360 118.569 113.779
361 117.495 113.779
362 117.589 113.779
363 117.694 113.779
364 118.057 113.779
365 116.507 113.779
366 116.578 113.779
367 116.712 113.779
368 116.197 113.779
369 116.362 113.779
370 115.047 113.779
371 115.56 113.779
372 116.076 112.659
373 115.329 112.659
374 113.831 112.659
375 113.525 112.659
376 114.488 112.659
377 114.577 112.659
378 114.614 112.659
379 114.264 112.659
380 113.61 112.659
381 113.67 112.659
382 114.153 112.659
383 113.946 112.659
384 114.622 112.659
385 113.28 112.465
386 114.738 112.453
387 114.86 112.453
388 115.028 112.453
389 115.064 112.453
390 115.087 112.453
391 114.758 112.453
392 114.019 112.407
393 113.89 112.407
394 114.119 112.368
395 115.118 112.322
396 115.055 112.322
397 114.639 111.93
398 114.721 111.93
399 114.82 111.93
400 114.075 108.775
401 112.82 108.775
402 114.249 108.775
403 112.478 108.223
404 112.3 107.925
405 112.54 107.925
406 112.642 107.925
407 112.692 107.925
408 112.889 107.925
409 112.991 107.925
410 113.825 107.925
411 112.274 107.925
412 111.64 107.925
413 111.068 107.925
414 111.209 107.925
415 111.277 107.925
416 111.367 107.925
417 110.208 107.925
418 110.074 107.925
419 109.738 107.925
420 109.738 107.925
421 109.886 107.925
422 109.69 107.925
423 110.631 107.925
424 110.019 107.839
425 110.236 107.839
426 109.339 107.839
427 110.277 107.839
428 110.083 107.839
429 110.341 107.839
430 110.663 107.429
431 109.071 107.195
432 108.048 107.195
433 107.827 107.195
434 108.065 107.195
435 108.53 107.195
436 108.618 107.195
437 108.832 107.195
438 108.924 107.195
439 108.094 107.123
440 108.895 107.123
441 108.818 107.123
442 108.237 107.123
443 108.103 107.123
444 109.799 107.123
445 110.312 107.123
446 110.727 107.123
447 110.539 107.123
448 110.701 107.123
449 109.26 107.123
450 109.084 101.974
451 109.342 100.941
452 109.362 100.941
453 108.836 100.908
454 107.035 100.296
455 106.112 100.908
456 106.475 100.908
457 105.308 100.296
458 105.569 100.296
459 104.333 100.263
460 103.327 100.263
461 103.901 100.263
462 104.034 100.263
463 102.902 100.263
464 103.103 100.263
465 103.215 99.9986
466 103.219 99.9986
467 102.989 99.9986
468 101.636 99.9986
469 101.141 99.7515
470 100.69 99.7515
471 100.832 99.7515
472 100.46 99.7515
473 100.504 99.4078
474 101.288 99.1701
475 101.293 99.1701
476 101.354 99.1701
477 101.113 99.1701
478 102.729 99.1701
479 102.828 99.1701
480 103.08 99.1701
481 102.621 99.1701
482 102.683 99.1701
483 103.004 99.0214
484 103.072 99.0214
485 103.203 99.0214
486 104.286 99.0214
487 104.513 99.0214
488 104.486 98.8728
489 104.657 98.8728
490 104.812 98.8728
491 104.919 98.8728
492 106.145 98.8728
493 106.189 98.8728
494 105.166 98.8728
495 105.268 98.8728
496 104.553 98.8728
497 103.995 98.8728
498 105.897 98.8728
499 105.989 98.8728
500 105.629 98.8728
501 105.659 98.8728
502 104.505 98.8728
503 105.123 98.8728
504 105.198 98.8728
505 104.985 98.8728
506 102.455 98.8728
507 101.391 98.8728
508 100.305 98.8728
509 100.79 98.8728
510 101.844 98.8728
511 101.347 98.8728
512 101.591 98.8728
513 103.347 98.8728
514 103.213 98.8728
515 105.609 98.8728
516 103.472 98.8728
517 103.098 98.8728
518 103.135 98.8728
519 102.604 98.8728
520 102.748 98.8728
521 102.486 98.8632
522 102.873 98.8632
523 103.068 98.8632
524 103.284 98.8632
525 101.98 98.7742
526 101.435 98.7664
527 100.987 98.7664
528 101.132 98.7664
529 101.319 98.7664
530 101.441 98.7664
531 101.791 98.7664
532 102.285 98.7664
533 101.482 98.7664
534 100.498 98.7664
535 98.9608 98.7664
536 99.0273 98.7664
537 100.524 98.7664
538 100.526 98.7664
539 100.645 98.7664
540 100.884 98.7578
541 101.185 98.7578
542 102.437 98.7578
543 101.849 98.7578
544 101.512 98.7578
545 101.074 98.7578
546 102.182 98.7578
547 102.24 98.7578
548 101.855 98.4665
549 101.566 98.4665
550 101.175 95.1273
551 101.386 95.1273
552 103.55 95.1176
553 102.073 95.1176
554 102.269 95.1176
555 102.659 95.1176
556 102.866 95.1176
557 101.504 95.1176
558 101.688 95.1176
559 101.895 95.1176
560 102.077 95.1176
561 100.328 95.1176
562 100.328 95.1176
563 98.6469 95.1176
564 99.6559 94.8359
565 99.6952 94.8359
566 99.6952 94.8359
567 97.5913 94.8263
568 98.0756 94.8263
569 96.5678 94.8263
570 96.4629 94.8263
571 97.9407 94.3274
572 96.2129 94.3274
573 96.8861 94.3274
574 97.342 94.3274
575 97.381 94.3274
576 97.096 94.3274
577 97.2133 94.3274
578 97.4194 93.8421
579 95.9581 93.8421
580 95.9704 93.8421
581 97.6679 93.8421
582 97.0832 93.8421
583 96.7061 93.8421
584 95.8546 93.8421
585 96.4236 93.8421
586 95.4708 93.8421
587 96.1795 93.8421
588 97.587 93.8421
589 97.3591 93.8421
590 96.24 93.8421
591 96.6362 93.8421
592 95.8744 93.7076
593 96.1966 93.7076
594 95.935 93.4835
595 96.1745 93.349
596 96.4923 93.349
597 96.1285 93.349
598 96.7882 93.349
599 97.072 93.349
600 96.3112 93.224
601 95.9143 92.6043
602 95.1343 92.223
603 95.1389 92.223
604 95.2536 92.223
605 96.3983 92.223
606 95.6257 92.223
607 95.761 92.1053
608 95.9581 92.1053
609 96.2023 92.1053
610 94.7128 92.1053
611 94.9687 92.1053
612 95.1487 92.1053
613 95.1561 92.1053
614 95.2973 92.0948
615 95.6803 92.0948
616 96.2799 92.1052
617 95.17 91.9875
618 94.4871 91.9875
619 94.6443 91.9875
620 93.794 91.772
621 94.3074 91.772
622 94.3444 91.772
623 93.9855 91.772
624 94.0654 91.772
625 94.1038 91.7399
626 94.1134 91.7399
627 95.3499 91.7399
628 95.9207 91.7399
629 96.2091 91.7399
630 95.6189 91.7399
631 95.137 91.7399
632 94.0718 91.7399
633 93.5624 91.7399
634 93.0713 91.7399
635 93.6753 91.7399
636 93.2083 91.7399
637 93.6459 91.7399
638 93.8441 91.7399
639 93.9309 91.7399
640 94.6737 91.7399
641 93.8283 91.7399
642 94.1277 91.7399
643 92.8658 91.7399
644 92.7512 91.7399
645 93.8541 91.7399
646 94.034 91.7399
647 92.9436 91.7399
648 92.6062 91.7399
649 92.7781 91.7399
650 92.5452 90.6897
651 93.3343 90.6897
652 92.6795 90.4643
653 94.6521 90.4643
654 94.6645 90.4643
655 94.7861 90.4643
656 95.0252 90.4643
657 93.1145 90.4621
658 93.1145 90.4621
659 93.3007 90.4621
660 93.4479 90.4621
661 92.4772 90.333
662 92.6499 90.333
663 93.1185 90.333
664 92.6942 90.333
665 92.8695 90.333
666 93.0937 90.333
667 93.2385 90.333
668 93.3174 90.333
669 92.8892 90.333
670 92.2645 90.333
671 92.2087 90.333
672 92.1008 90.333
673 92.9399 90.333
674 93.8232 90.333
675 92.9857 90.333
676 91.8992 90.333
677 91.243 90.333
678 91.4572 90.333
679 91.3414 90.333
680 91.2229 90.333
681 91.927 90.333
682 91.63 90.333
683 93.0065 90.333
684 93.1305 90.333
685 93.3792 90.333
686 93.4781 90.333
687 92.9764 90.333
688 91.3799 90.333
689 90.8101 90.333
690 90.945 90.333
691 90.945 90.333
692 91.6224 90.149
693 90.8619 90.149
694 91.8333 90.149
695 91.8592 90.149
696 92.0625 90.149
697 92.7002 90.149
698 93.3392 90.149
699 93.7602 90.149
700 93.665 89.0135
701 93.6636 88.9651
702 92.4239 88.9651
703 90.9309 88.9651
704 90.6551 88.6993
705 90.4295 88.6993
706 90.4635 88.6993
707 90.2847 88.6993
708 90.4428 88.6993
709 90.6913 88.6993
710 90.9671 88.6993
711 90.9086 88.6993
712 90.1049 88.6993
713 90.0045 88.6993
714 89.8409 88.6993
715 89.9245 88.6993
716 90.1603 88.6993
717 91.4872 88.6993
718 91.4872 88.6993
719 91.5333 88.6993
720 91.6496 88.6993
721 91.1951 88.6993
722 91.892 88.6993
723 92.0055 88.6993
724 92.4236 88.6993
725 92.3897 88.4048
726 92.2798 88.4048
727 92.9091 88.4048
728 90.782 88.4048
729 90.6174 88.4048
730 89.13 88.4048
731 90.3019 88.4048
732 89.5862 88.4048
733 90.5675 88.4048
734 91.5497 88.4048
735 91.5689 88.4048
