N  Half_pop_ave        L
0 489.701 428.732
1 466.645 413.256
2 466.533 413.256
3 454.938 412.753
4 454.933 412.753
5 443.601 397.676
6 426.609 386.106
7 417.113 378.271
8 405.999 378.482
9 400.447 370.507
10 391.272 362.391
11 385.771 355.855
12 386.065 355.855
13 379.151 350.38
14 368.961 349.114
15 368.991 349.114
16 364.592 344.742
17 362.512 344.108
18 357.912 336.433
19 358.061 340.06
20 351.084 334.42
21 349.544 328.197
22 344.606 312.013
23 340.193 312.013
24 340.289 312.013
25 340.417 312.013
26 340.583 312.013
27 338.53 312.013
28 334.166 305.565
29 334.517 305.565
30 334.67 305.565
31 334.661 305.565
32 334.658 305.565
33 330.496 303.075
34 325.813 302.326
35 321.081 301.304
36 321.209 301.304
37 315.909 298.674
38 313.982 292.234
39 311.663 292.234
40 311.652 292.234
41 305.103 289.515
42 301.293 289.003
43 298.277 280.668
44 295.771 278.428
45 290.702 274.822
46 285.815 271.755
47 283.554 270.265
48 281.744 270.265
49 278.357 268.925
50 277.018 267.269
51 277.274 267.269
52 277.393 267.269
53 275.522 265.929
54 275.681 265.929
55 275.723 265.929
56 273.699 261.237
57 271.711 261.237
58 268.773 259.796
59 265.643 257.858
60 264.584 254.88
61 264.682 254.88
62 261.657 254.229
63 260.689 250.285
64 259.361 250.285
65 259.592 250.285
66 258.29 250.285
67 258.336 250.285
68 257.649 249.728
69 256.942 245.465
70 255.289 245.107
71 254.045 239.678
72 254.12 239.678
73 251.804 239.678
74 251.905 239.678
75 249.842 239.678
76 249.839 239.678
77 249.839 239.678
78 250.279 239.678
79 247.609 238.901
80 246.311 235.943
81 244.12 234.793
82 244.321 234.793
83 242.55 227.19
84 240.724 224.811
85 240.919 224.811
86 238.823 222.292
87 235.413 222.537
88 232.304 219.769
89 232.341 219.769
90 231.098 219.769
91 231.249 219.769
92 231.467 219.769
93 230.357 219.769
94 230.253 219.406
95 230.468 219.406
96 226.672 219.133
97 226.781 219.133
98 227.461 219.133
99 227.461 219.133
100 225 217.245
101 225.168 216.876
102 226.691 216.876
103 226.829 215.285
104 225.94 214.738
105 224.191 212.798
106 221.601 211.741
107 219.038 211.355
108 219.19 211.355
109 219.458 211.355
110 217.583 209.631
111 216.238 205.708
112 216.254 205.708
113 216.453 205.708
114 216.784 205.708
115 214.988 205.708
116 213.189 201.1
117 213.386 201.1
118 213.628 201.1
119 213.1 199.726
120 213.1 199.726
121 213.186 199.726
122 210.746 199.411
123 208.584 198.037
124 208.726 198.037
125 206.877 197.417
126 203.474 196.497
127 203.617 196.497
128 202.225 196.281
129 200.013 196.018
130 200.116 196.018
131 200.247 195.506
132 198.856 194.331
133 198.889 194.331
134 197.842 192.77
135 199.444 192.77
136 198.987 192.77
137 197.283 190.798
138 197.359 190.798
139 197.861 189.049
140 198.111 189.049
141 199.279 189.049
142 199.303 189.049
143 198.793 188.622
144 198.447 188.622
145 195.493 188.622
146 195.599 188.622
147 195.67 188.622
148 195.993 188.622
149 196.784 187.28
150 195.709 187.186
151 195.807 187.186
152 194.464 187.186
153 196.811 187.186
154 197.44 186.207
155 196.836 186.207
156 197.106 186.207
157 196.621 186.207
158 195.367 183.936
159 195.775 183.936
160 194.037 182.88
161 194.925 182.88
162 194.371 182.88
163 193.78 181.965
164 192.165 181.965
165 192.238 181.965
166 188.564 181.965
167 186.858 181.614
168 185.065 180.204
169 184.59 179.068
170 183.857 179.004
171 183.26 177.129
172 181.884 175.994
173 181.977 175.994
174 181.366 175.994
175 181.254 175.994
176 179.477 175.994
177 178.546 175.994
178 178.551 175.994
179 178.337 175.581
180 178.945 175.405
181 178.695 173.966
182 179.468 173.958
183 179.547 173.958
184 179.472 173.958
185 179.504 173.958
186 181.145 173.958
187 180.482 173.958
188 180.696 173.958
189 179.24 173.958
190 178.95 173.958
191 178.119 172.409
192 178.474 172.409
193 178.052 172.162
194 177.213 172.162
195 176.688 172.162
196 176.46 170.464
197 176.179 170.216
198 176.463 168.811
199 176.463 168.811
200 173.578 167.621
201 173.141 167.621
202 173.131 167.621
203 171.356 166.842
204 170.733 166.594
205 170.883 166.594
206 170.928 166.594
207 171.3 166.31
208 170.948 164.487
209 170.529 163.709
210 170.566 163.709
211 171.914 163.709
212 172.149 163.709
213 170.526 163.709
214 170.286 163.709
215 168.803 163.709
216 168.699 161.958
217 168.878 161.958
218 167.379 160.748
