n_step r error
0 0 0
1 1 -nan
2 1.41579 0.00392367
3 1.73849 0.00553458
4 2.01063 0.00659822
5 2.25157 0.00763946
6 2.45752 0.00870513
7 2.64232 0.00923099
8 2.82892 0.0093972
9 2.99882 0.0107133
10 3.16706 0.0112851
11 3.32177 0.0135017
12 3.47349 0.0147216
13 3.61446 0.0159047
14 3.75243 0.0167535
15 3.88265 0.0181215
16 4.01585 0.0179874
17 4.14774 0.0182985
18 4.27115 0.0182997
19 4.38798 0.0191947
20 4.49849 0.0197922
21 4.60671 0.0210218
22 4.70653 0.0195317
23 4.80457 0.0195124
24 4.91562 0.0199709
25 5.00825 0.0203142
26 5.11307 0.0197251
27 5.19994 0.0197643
28 5.29973 0.0189356
29 5.39001 0.0188113
30 5.48821 0.0176995
31 5.57857 0.0183042
32 5.65951 0.0191117
33 5.7524 0.0205304
34 5.84027 0.0209759
35 5.92342 0.0210006
36 6.01033 0.0206582
37 6.09008 0.0214264
38 6.17485 0.0218826
39 6.26018 0.0220004
40 6.34089 0.0232515
41 6.42357 0.0226966
42 6.49817 0.0221739
43 6.56967 0.0229749
44 6.64701 0.0233653
45 6.72277 0.0236001
46 6.80028 0.0232265
47 6.86839 0.0230318
48 6.94254 0.0232165
49 7.01814 0.0240939
50 7.08819 0.0237535
51 7.15445 0.0226843
52 7.22466 0.0231814
53 7.29139 0.023019
54 7.36512 0.0228827
55 7.42298 0.022127
56 7.4888 0.0229572
57 7.55966 0.0242046
58 7.62492 0.0243636
59 7.69501 0.0246998
60 7.75531 0.0249369
61 7.82303 0.0249818
62 7.8819 0.0249351
63 7.94236 0.0255046
64 8.00028 0.0266947
65 8.06071 0.0279606
66 8.13165 0.0282373
67 8.19509 0.0286913
68 8.26262 0.0289039
69 8.32484 0.0292988
70 8.38189 0.029988
71 8.44225 0.0296931
72 8.49874 0.0291808
73 8.55705 0.0302274
74 8.62651 0.0313455
75 8.68019 0.0322267
76 8.74569 0.0332307
77 8.8005 0.0328814
78 8.85372 0.032285
79 8.90843 0.0322873
80 8.96787 0.0330671
81 9.02162 0.0336591
82 9.08597 0.0341426
83 9.14905 0.0349641
84 9.20406 0.0353629
85 9.25163 0.0353375
86 9.30232 0.0350959
87 9.36416 0.0346211
88 9.41451 0.0346636
89 9.47163 0.0337543
90 9.52463 0.033638
91 9.57581 0.0336526
92 9.62334 0.0337717
93 9.67527 0.033677
94 9.72169 0.0337278
95 9.77246 0.0340691
96 9.81613 0.0330699
97 9.86683 0.0338555
98 9.91591 0.0342904
99 9.96726 0.0339774
