Block,Integral,Value2,Error
1,0.999536,0.999072,0
2,0.986215,0.972798,0.0133203
3,0.992647,0.98555,0.0100257
4,0.990822,0.981889,0.00732047
5,0.989725,0.979689,0.0057756
6,0.989656,0.97953,0.00471626
7,0.991649,0.983486,0.00445633
8,0.992898,0.985962,0.00405648
9,0.993611,0.98737,0.00364788
10,0.994663,0.989461,0.00342823
11,0.994845,0.989813,0.00310626
12,0.996309,0.992744,0.00319121
13,0.996518,0.993153,0.00294294
14,0.996358,0.992827,0.00272932
15,0.996063,0.992233,0.00255794
16,0.996753,0.993609,0.00249005
17,0.99654,0.99318,0.00234865
18,0.99778,0.995675,0.00253808
19,0.998221,0.996552,0.00244085
20,0.99782,0.995749,0.00235003
21,0.998558,0.997228,0.00235395
22,0.998379,0.996868,0.00225147
23,0.998293,0.996691,0.00215308
24,0.99842,0.99694,0.0020653
25,0.998483,0.997064,0.00198199
26,0.997943,0.995987,0.00197956
27,0.997504,0.995114,0.00195458
28,0.997367,0.994837,0.00188851
29,0.998171,0.996457,0.00199193
30,0.999297,0.99874,0.0022297
31,0.999162,0.998465,0.00216081
32,0.999101,0.998338,0.0020931
33,0.999584,0.999308,0.0020855
34,0.999259,0.998657,0.00204921
35,0.999346,0.998828,0.00199172
36,0.999269,0.998671,0.00193714
37,0.999339,0.998806,0.00188534
38,0.999734,0.999599,0.00187718
39,0.999274,0.998683,0.00188561
40,0.999216,0.998564,0.00183877
41,0.998794,0.997726,0.00184223
42,0.998973,0.998081,0.0018067
43,0.999052,0.998235,0.00176592
44,0.998246,0.996651,0.00190417
45,0.998824,0.997817,0.00194911
46,0.998556,0.99728,0.00192506
47,0.998847,0.997862,0.00190603
48,0.999067,0.998301,0.00187884
49,0.999046,0.998256,0.00184021
50,0.999116,0.998393,0.00180438
51,0.999269,0.998696,0.00177525
52,0.99946,0.999077,0.00175122
53,0.999897,0.999958,0.00177264
54,1.00052,1.00121,0.0018464
55,1.00079,1.00175,0.00183241
56,1.00095,1.00209,0.00180732
57,1.0014,1.003,0.00183095
58,1.00156,1.00331,0.0018061
59,1.0017,1.00358,0.00178028
60,1.00168,1.00355,0.0017504
61,1.00164,1.00347,0.00172193
62,1.00171,1.0036,0.00169533
63,1.00174,1.00366,0.00166851
64,1.00183,1.00383,0.00164434
65,1.00176,1.00368,0.00162042
66,1.00156,1.00329,0.00160776
67,1.00157,1.00331,0.00158363
68,1.00154,1.00325,0.00156042
69,1.00153,1.00322,0.00153773
70,1.00142,1.00301,0.00151924
71,1.00147,1.00309,0.00149832
72,1.00151,1.00317,0.00147794
73,1.00178,1.00373,0.00148376
74,1.00164,1.00344,0.00147059
75,1.00168,1.00351,0.00145127
76,1.00153,1.00321,0.0014397
77,1.00148,1.00312,0.00142154
78,1.00154,1.00324,0.00140439
79,1.00154,1.00323,0.0013865
80,1.00143,1.00301,0.00137331
81,1.00128,1.00271,0.00136487
82,1.0011,1.00235,0.00135965
83,1.00144,1.00303,0.00138418
84,1.00145,1.00306,0.00136771
85,1.00145,1.00306,0.00135152
86,1.0014,1.00294,0.00133688
87,1.00119,1.00254,0.00133694
88,1.00147,1.00311,0.00135154
89,1.00164,1.00344,0.00134624
90,1.00175,1.00367,0.00133601
91,1.00152,1.00321,0.00134092
92,1.00139,1.00295,0.00133278
93,1.00118,1.00253,0.0013347
94,1.0012,1.00257,0.00132056
95,1.00125,1.00266,0.00130745
96,1.00148,1.00313,0.00131409
97,1.00145,1.00307,0.00130076
98,1.0015,1.00316,0.00128835
99,1.00161,1.00338,0.00127974
100,1.00152,1.0032,0.00126995
