BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1           3           3           0
           2     2.71727     2.17932     0.58031
           3     2.21273     1.69874    0.551038
           4     2.06223     1.40294     0.48623
           5     2.02407     1.20332    0.428006
           6     2.01478     1.05873     0.38031
           7      1.9758    0.947806    0.341774
           8     1.97653    0.860213    0.310074
           9     1.98372    0.789124    0.283653
          10     1.97014    0.729913    0.261395
          11     2.01234    0.680189    0.242315
          12     2.03524     0.63764    0.225827
          13     2.03752    0.600647    0.211464
          14      1.9897    0.567895    0.198879
          15      2.0133    0.538983     0.18771
          16     2.01661    0.513174    0.177744
          17     2.00278    0.489918    0.168803
          18     1.99071    0.468844    0.160735
          19     2.06342    0.449884     0.15339
          20     2.03345    0.432473    0.146705
          21     1.97709    0.416363    0.140601
          22     2.02059    0.401612    0.134981
          23     1.96427    0.387864    0.129811
          24     1.95674      0.3751    0.125028
          25     2.01847    0.363325     0.12058
          26     2.01373     0.35233    0.116443
          27     1.96992    0.341983    0.112589
          28     2.02473    0.332352    0.108979
          29     1.97958    0.323245    0.105601
          30     1.95561    0.314644     0.10243
          31     1.94966    0.306523   0.0994476
          32     1.95685    0.298855   0.0966351
          33     2.01355    0.291647   0.0939751
          34     2.00284    0.284802   0.0914601
          35     1.96041    0.278265   0.0890803
          36     1.97653    0.272061   0.0868216
          37      2.0238    0.266186   0.0846736
          38     2.04034    0.260594   0.0826298
          39     1.96883    0.255207   0.0806865
          40      1.9535    0.250047   0.0788341
          41     1.98027    0.245127   0.0770648
          42     1.95488    0.240399   0.0753748
          43     1.92143    0.235847   0.0737592
          44     1.93026    0.231484   0.0722118
          45     1.92626    0.227291   0.0707287
          46     1.97964    0.223286   0.0693044
          47     1.99675    0.219439   0.0679365
          48     1.98825     0.21573   0.0666224
          49     1.99021    0.212156   0.0653585
          50     1.99149     0.20871   0.0641421
