VELOCITY:     AVE_POFV:    PROG_AVE:        ERROR:
    0.133333           0           0           0
         0.4           0           0           0
    0.666667           0           0           0
    0.933333           0           0           0
         1.2           0           0           0
     1.46667           0           0           0
     1.73333           0           0           0
           2           0           0           0
     2.26667    0.583333    0.583333           0
     2.53333    0.416667    0.416667           0
         2.8           0           0           0
     3.06667           0           0           0
     3.33333           0           0           0
         3.6           0           0           0
     3.86667           0           0           0
     4.13333           0           0           0
         4.4           0           0           0
     4.66667           0           0           0
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333 0.000259259 6.48148e-05  4.5831e-05
         0.4  0.00422222  0.00105556  0.00074639
    0.666667  0.00548148  0.00137037 0.000968998
    0.933333   0.0132963  0.00332407  0.00235048
         1.2   0.0230741  0.00576852  0.00407896
     1.46667   0.0405556   0.0101389  0.00716928
     1.73333   0.0787593   0.0196898   0.0139228
           2    0.108648    0.027162   0.0192065
     2.26667    0.181648    0.337079    0.174128
     2.53333    0.228389    0.265431     0.10694
         2.8    0.143148    0.035787   0.0253053
     3.06667   0.0887037   0.0221759   0.0156807
     3.33333   0.0531667   0.0132917  0.00939863
         3.6   0.0102778  0.00256944  0.00181687
     3.86667   0.0102963  0.00257407  0.00182015
     4.13333  0.00668519   0.0016713  0.00118178
         4.4       0.002      0.0005 0.000353553
     4.66667       0.001     0.00025 0.000176777
     4.93333 0.000388889 9.72222e-05 6.87465e-05
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00685185 0.000804527 0.000604745
         0.4   0.0218519  0.00313169  0.00176668
    0.666667   0.0213148  0.00328189  0.00168916
    0.933333   0.0404259  0.00670782  0.00317625
         1.2   0.0635926   0.0109115  0.00500283
     1.46667    0.103593   0.0182695  0.00818019
     1.73333    0.116778   0.0261019   0.0106566
           2    0.115148   0.0309023   0.0131635
     2.26667    0.109815    0.236921    0.141999
     2.53333   0.0883333    0.186769   0.0959578
         2.8   0.0836296   0.0331502    0.017007
     3.06667   0.0682963   0.0223724   0.0104551
     3.33333   0.0662222   0.0162191  0.00670619
         3.6   0.0435926  0.00655658  0.00347352
     3.86667   0.0213889  0.00409259  0.00173484
     4.13333   0.0122037  0.00247016  0.00102283
         4.4  0.00842593  0.00126955 0.000671087
     4.66667  0.00407407 0.000619342 0.000323776
     4.93333  0.00298148 0.000396091 0.000248291
         5.2  0.00105556 0.000117284 9.57619e-05
     5.46667 0.000425926 4.73251e-05 3.86408e-05
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333   0.0037037 0.000834877 0.000454319
         0.4    0.021537  0.00369483  0.00141191
    0.666667   0.0244074  0.00398688  0.00140631
    0.933333   0.0672407  0.00923341  0.00323401
         1.2   0.0813704   0.0132693  0.00427173
     1.46667    0.108037   0.0204545  0.00642031
     1.73333    0.105056   0.0261424  0.00799251
           2   0.0964259   0.0292033  0.00998162
     2.26667    0.115685    0.184921    0.115629
     2.53333    0.115685    0.147307   0.0796703
         2.8    0.112852   0.0319159      0.0128
     3.06667   0.0500926   0.0199101  0.00812608
     3.33333   0.0421852   0.0148009  0.00517743
         3.6   0.0318889  0.00691049   0.0026231
     3.86667   0.0128519  0.00387269    0.001315
     4.13333  0.00172222  0.00196026 0.000885142
         4.4  0.00909259  0.00152045 0.000548215
     4.66667 0.000166667 0.000474923 0.000273148
     4.93333           0 0.000297068 0.000205016
         5.2           0  8.7963e-05 7.61782e-05
     5.46667           0 3.54938e-05 3.07386e-05
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333 0.000666667 0.000694568 0.000384512
         0.4   0.0192593  0.00372623  0.00112988
    0.666667   0.0330556  0.00451173  0.00121906
    0.933333   0.0649815  0.00998599  0.00267334
         1.2   0.0882407   0.0141451  0.00350601
     1.46667    0.112759    0.020874  0.00514994
     1.73333    0.113444   0.0254517  0.00642378
           2     0.14237   0.0290575  0.00798637
     2.26667    0.125389    0.152952   0.0968215
     2.53333    0.106056    0.122088     0.06761
         2.8    0.088463   0.0290712   0.0105513
     3.06667   0.0448519   0.0177222  0.00678903
     3.33333      0.0265   0.0129007  0.00447708
         3.6   0.0203148  0.00634099  0.00215942
     3.86667  0.00438889   0.0032737  0.00118056
     4.13333  0.00359259  0.00171191 0.000742136
         4.4  0.00566667  0.00144302 0.000444005
     4.66667           0 0.000379938 0.000234453
     4.93333           0 0.000237654 0.000172407
         5.2           0 7.03704e-05 6.29412e-05
     5.46667           0 2.83951e-05 2.53973e-05
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00301852 0.000662654 0.000321748
         0.4    0.013963  0.00349306 0.000965327
    0.666667   0.0248889  0.00445113  0.00101739
    0.933333   0.0654259    0.010139  0.00223216
         1.2   0.0963889    0.014465  0.00293624
     1.46667    0.121111   0.0207592  0.00429289
     1.73333    0.157648   0.0255888  0.00535461
           2    0.140037   0.0281045  0.00671192
     2.26667     0.12613    0.130964   0.0831439
     2.53333   0.0823148    0.104026   0.0587046
         2.8   0.0628704   0.0259724  0.00923662
     3.06667   0.0354259   0.0157525  0.00593637
     3.33333   0.0450556   0.0120022  0.00382002
         3.6   0.0128889  0.00564218  0.00190924
     3.86667  0.00357407  0.00282737  0.00106484
     4.13333      0.0025  0.00149604 0.000649085
         4.4  0.00675926  0.00139028 0.000373124
     4.66667           0 0.000316615 0.000203749
     4.93333           0 0.000198045 0.000148152
         5.2           0  5.8642e-05 5.35326e-05
     5.46667           0 2.36626e-05 2.16009e-05
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333   0.0012963 0.000594444 0.000282922
         0.4   0.0111111   0.0032208 0.000864962
    0.666667   0.0158704  0.00413914  0.00091864
    0.933333   0.0495926   0.0097027  0.00195546
         1.2     0.11863   0.0148196   0.0025381
     1.46667       0.124   0.0203242  0.00370159
     1.73333    0.155185   0.0251003   0.0046119
           2    0.117278    0.026483  0.00594572
     2.26667    0.133907    0.114988    0.072785
     2.53333   0.0809815    0.090818   0.0517828
         2.8   0.0873889   0.0240455   0.0081156
     3.06667   0.0547037   0.0146186  0.00519549
     3.33333   0.0311667   0.0109236  0.00342317
         3.6  0.00574074  0.00495331  0.00175638
     3.86667  0.00137037  0.00245142 0.000976828
     4.13333   0.0102778  0.00149207 0.000556371
         4.4      0.0015  0.00122228 0.000355636
     4.66667           0 0.000271384 0.000179593
     4.93333           0 0.000169753 0.000129661
         5.2           0 5.02646e-05 4.65359e-05
     5.46667           0 2.02822e-05 1.87777e-05
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00105556 0.000536632 0.000253394
         0.4  0.00857407  0.00295217 0.000797466
    0.666667   0.0285185  0.00406735 0.000806611
    0.933333   0.0512593  0.00929079  0.00175388
         1.2    0.126963   0.0149509  0.00222423
     1.46667    0.131574   0.0198395  0.00327047
     1.73333    0.132889   0.0240392   0.0041557
           2    0.135333   0.0252872  0.00532139
     2.26667   0.0876852    0.101984    0.064838
     2.53333   0.0957593    0.080962   0.0462384
         2.8    0.105019   0.0226808  0.00721499
     3.06667   0.0289074   0.0132429  0.00472467
     3.33333   0.0437778   0.0102422  0.00306235
         3.6   0.0103519   0.0044959  0.00159528
     3.86667   0.0105185  0.00230935 0.000864995
     4.13333  0.00151852  0.00132929 0.000510082
         4.4 0.000296296  0.00107412 0.000340647
     4.66667           0 0.000237461 0.000160315
     4.93333           0 0.000148534 0.000115177
         5.2           0 4.39815e-05 4.11409e-05
     5.46667           0 1.77469e-05 1.66007e-05
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00037037 0.000481579 0.000231143
         0.4   0.0252037  0.00293531 0.000709037
    0.666667   0.0247593  0.00392109 0.000730127
    0.933333   0.0590185   0.0089871  0.00158507
         1.2    0.125981   0.0148451  0.00197961
     1.46667    0.144333    0.019417  0.00293425
     1.73333    0.149037   0.0232081  0.00377614
           2    0.114241   0.0238879  0.00491066
     2.26667      0.0755   0.0915847   0.0584618
     2.53333   0.0857407   0.0730247   0.0417765
         2.8   0.0852963   0.0212137  0.00656078
     3.06667   0.0475741   0.0123588  0.00428162
     3.33333   0.0323889  0.00950404  0.00280964
         3.6   0.0211667  0.00425767   0.0014357
     3.86667   0.0012037  0.00206761 0.000801951
     4.13333  0.00818519  0.00128264 0.000455534
         4.4           0 0.000954777 0.000323028
     4.66667           0 0.000211077 0.000144657
     4.93333           0  0.00013203 0.000103555
         5.2           0 3.90947e-05 3.68588e-05
     5.46667           0  1.5775e-05 1.48728e-05
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0 0.000433421 0.000212986
         0.4   0.0116852  0.00275863 0.000659779
    0.666667   0.0357037  0.00388602 0.000657956
    0.933333   0.0357778  0.00844617  0.00151606
         1.2    0.128722   0.0146478  0.00179145
     1.46667    0.141852   0.0188938  0.00268706
     1.73333    0.171574   0.0226031  0.00344666
           2     0.12513   0.0227504  0.00454943
     2.26667   0.0800926   0.0832271   0.0532097
     2.53333    0.103704   0.0667593   0.0380658
         2.8   0.0762407   0.0198547  0.00604381
     3.06667   0.0461852   0.0115848   0.0039228
     3.33333    0.022537    0.008779  0.00262056
         3.6  0.00668519  0.00389875  0.00133624
     3.86667  0.00612963  0.00192215 0.000734831
     4.13333  0.00798148  0.00123419 0.000412549
         4.4           0 0.000859299 0.000304509
     4.66667           0 0.000189969 0.000131723
     4.93333           0 0.000118827 9.40373e-05
         5.2           0 3.51852e-05 3.33796e-05
     5.46667           0 1.41975e-05  1.3469e-05
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333 0.000425926 0.000397539 0.000196623
         0.4   0.0178519  0.00265538 0.000607824
    0.666667   0.0397963  0.00386164 0.000598593
    0.933333   0.0588333  0.00816456  0.00140415
         1.2    0.144352   0.0145091  0.00163395
     1.46667   0.0975926   0.0179828  0.00259264
     1.73333    0.170037   0.0219535  0.00319395
           2    0.160481   0.0220085  0.00419591
     2.26667    0.065537   0.0762027   0.0488339
     2.53333   0.0787037   0.0613407   0.0349888
         2.8   0.0659074   0.0185945  0.00562424
     3.06667   0.0527407   0.0109675  0.00361442
     3.33333   0.0261852  0.00819732  0.00244603
         3.6   0.0131667  0.00365314  0.00123714
     3.86667   0.0072037  0.00180694 0.000676999
     4.13333  0.00118519  0.00113179 0.000387546
         4.4           0 0.000781181 0.000286671
     4.66667           0 0.000172699 0.000120875
     4.93333           0 0.000108025 8.61067e-05
         5.2           0 3.19865e-05  3.0498e-05
     5.46667           0 1.29068e-05 1.23062e-05
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00305556  0.00038563 0.000180598
         0.4    0.023037  0.00259408 0.000560255
    0.666667   0.0355185  0.00378649 0.000553407
    0.933333   0.0735185  0.00799473  0.00129737
         1.2   0.0966667   0.0139713  0.00158382
     1.46667    0.126019   0.0173593   0.0024504
     1.73333    0.146556   0.0211418  0.00302918
           2    0.145056   0.0211818  0.00392684
     2.26667   0.0882778   0.0704655   0.0451002
     2.53333   0.0769074   0.0567631   0.0323711
         2.8    0.104944   0.0177737   0.0052151
     3.06667   0.0431852   0.0103534  0.00336498
     3.33333   0.0328704  0.00774248  0.00228409
         3.6  0.00438889  0.00337919  0.00116398
     3.86667           0  0.00165636 0.000637108
     4.13333           0  0.00103747 0.000366547
         4.4           0 0.000716082 0.000270072
     4.66667           0 0.000158308 0.000111655
     4.93333           0 9.90226e-05 7.94003e-05
         5.2           0  2.9321e-05 2.80727e-05
     5.46667           0 1.18313e-05 1.13276e-05
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00461111 0.000383251 0.000166722
         0.4    0.021963  0.00252449 0.000521462
    0.666667   0.0472407  0.00377476 0.000510962
    0.933333   0.0877407  0.00789893   0.0012011
         1.2   0.0751296   0.0133412   0.0015824
     1.46667     0.13013    0.016794   0.0023262
     1.73333    0.154815   0.0204316  0.00287822
           2    0.114981   0.0202328  0.00373769
     2.26667    0.105259   0.0656679   0.0418853
     2.53333   0.0791481    0.052865   0.0301148
         2.8   0.0822593   0.0168932  0.00488769
     3.06667   0.0563519  0.00989046  0.00313782
     3.33333   0.0297037  0.00732266  0.00214663
         3.6  0.00709259  0.00316122  0.00109466
     3.86667  0.00135185  0.00153695 0.000599186
     4.13333  0.00151852 0.000966652 0.000345125
         4.4 0.000703704 0.000665163 0.000254052
     4.66667           0  0.00014613 0.000103728
     4.93333           0 9.14055e-05 7.36571e-05
         5.2           0 2.70655e-05 2.60037e-05
     5.46667           0 1.09212e-05 1.04927e-05
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00218519 0.000367025   0.0001556
         0.4   0.0161852  0.00242675  0.00049329
    0.666667   0.0613704  0.00381824 0.000476312
    0.933333   0.0994074   0.0078419  0.00111666
         1.2    0.105167   0.0129248  0.00152316
     1.46667    0.116426   0.0161884  0.00223748
     1.73333    0.134241   0.0196571  0.00277488
           2    0.128278    0.019442  0.00355337
     2.26667   0.0714815    0.061342   0.0391163
     2.53333   0.0798889   0.0494965   0.0281515
         2.8   0.0793148   0.0160912   0.0046039
     3.06667   0.0587407   0.0094837  0.00293994
     3.33333   0.0189074  0.00689608  0.00203524
         3.6   0.0087037  0.00297982  0.00103139
     3.86667   0.0180556  0.00151929 0.000556647
     4.13333  0.00164815 0.000906014 0.000325757
         4.4           0 0.000617651 0.000240307
     4.66667           0 0.000135692 9.68429e-05
     4.93333           0 8.48765e-05 6.86846e-05
         5.2           0 2.51323e-05 2.42181e-05
     5.46667           0 1.01411e-05  9.7722e-06
     5.73333           0           0           0
