VELOCITY:     AVE_POFV:    PROG_AVE:        ERROR:
    0.133333           0           0           0
         0.4           0           0           0
    0.666667           0           0           0
    0.933333           0           0           0
         1.2           0           0           0
     1.46667           0           0           0
     1.73333           0           0           0
           2           0           0           0
     2.26667    0.583333    0.583333           0
     2.53333    0.416667    0.416667           0
         2.8           0           0           0
     3.06667           0           0           0
     3.33333           0           0           0
         3.6           0           0           0
     3.86667           0           0           0
     4.13333           0           0           0
         4.4           0           0           0
     4.66667           0           0           0
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00287037 0.000717593 0.000507415
         0.4   0.0167176   0.0041794  0.00295528
    0.666667   0.0210648   0.0052662  0.00372377
    0.933333   0.0464861   0.0116215  0.00821766
         1.2   0.0640694   0.0160174    0.011326
     1.46667   0.0912361    0.022809   0.0161284
     1.73333    0.103509   0.0258773    0.018298
           2    0.115648    0.028912   0.0204439
     2.26667    0.133134     0.32495    0.182704
     2.53333    0.134616    0.241987    0.123517
         2.8    0.107023   0.0267558   0.0189192
     3.06667   0.0629861   0.0157465   0.0111345
     3.33333   0.0470185   0.0117546  0.00831178
         3.6   0.0265185  0.00662963  0.00468786
     3.86667   0.0122315  0.00305787  0.00216224
     4.13333  0.00605093  0.00151273  0.00106966
         4.4   0.0062963  0.00157407  0.00111304
     4.66667  0.00131019 0.000327546  0.00023161
     4.93333 0.000842593 0.000210648 0.000148951
         5.2 0.000263889 6.59722e-05 4.66494e-05
     5.46667 0.000106481 2.66204e-05 1.88234e-05
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00143519  0.00063786 0.000344484
         0.4    0.014713  0.00442104  0.00198004
    0.666667   0.0235093  0.00612294  0.00257919
    0.933333   0.0563241   0.0140059  0.00581408
         1.2    0.116991   0.0236772  0.00980449
     1.46667    0.130255   0.0296788   0.0121274
     1.73333     0.14869   0.0337726   0.0137973
           2    0.126722   0.0333549   0.0141038
     2.26667    0.105806     0.22839    0.145093
     2.53333   0.0861991    0.170903    0.100744
         2.8   0.0851435   0.0272976   0.0126206
     3.06667   0.0416528   0.0151258  0.00744027
     3.33333   0.0380972   0.0120694  0.00554714
         3.6    0.012537  0.00581276  0.00319562
     3.86667  0.00416667  0.00250154  0.00151137
     4.13333  0.00562037  0.00163297 0.000719835
         4.4  0.00213889  0.00128704 0.000778157
     4.66667           0 0.000218364 0.000178294
     4.93333           0 0.000140432 0.000114662
         5.2           0 4.39815e-05 3.59107e-05
     5.46667           0 1.77469e-05 1.44903e-05
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00202315 0.000604842  0.00025994
         0.4   0.0186343  0.00448042  0.00148592
    0.666667   0.0395648  0.00706501   0.0020994
    0.933333   0.0639676   0.0145024  0.00438171
         1.2    0.111218    0.024709  0.00740746
     1.46667    0.123898   0.0300027  0.00909987
     1.73333    0.160745   0.0353761   0.0104407
           2    0.136412    0.033542   0.0105791
     2.26667   0.0847917    0.176592    0.117703
     2.53333   0.0846157    0.133465   0.0822202
         2.8    0.082338   0.0256193  0.00957635
     3.06667   0.0496157   0.0144453  0.00561123
     3.33333   0.0278241   0.0107911  0.00430514
         3.6  0.00783333  0.00484915  0.00253784
     3.86667   0.0036713  0.00210561  0.00118425
     4.13333   0.0026713  0.00139169 0.000578905
         4.4 0.000175926 0.000976273 0.000642682
     4.66667           0 0.000163773 0.000141832
     4.93333           0 0.000105324 9.12133e-05
         5.2           0 3.29861e-05 2.85668e-05
     5.46667           0 1.33102e-05  1.1527e-05
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00190741  0.00056017 0.000211756
         0.4   0.0175046  0.00428452  0.00120158
    0.666667   0.0607083  0.00808034  0.00190932
    0.933333   0.0913194   0.0152547  0.00356936
         1.2    0.115602   0.0243913  0.00593278
     1.46667    0.103667   0.0281488  0.00746635
     1.73333     0.13537   0.0337157  0.00848358
           2    0.126051   0.0318756  0.00859349
     2.26667   0.0918241    0.144946   0.0983244
     2.53333   0.0829722    0.110091   0.0690187
         2.8   0.0798194   0.0236882  0.00785337
     3.06667       0.044   0.0133162  0.00460117
     3.33333   0.0171852  0.00932028  0.00368681
         3.6   0.0228426  0.00479302  0.00203089
     3.86667  0.00881481  0.00203708 0.000949383
     4.13333 0.000412037  0.00112983 0.000518978
         4.4           0 0.000781019 0.000542997
     4.66667           0 0.000131019 0.000117187
     4.93333           0 8.42593e-05 7.53638e-05
         5.2           0 2.63889e-05 2.36029e-05
     5.46667           0 1.06481e-05 9.52399e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00639815 0.000644534 0.000192537
         0.4   0.0212778  0.00416148   0.0010076
    0.666667   0.0626991  0.00847526  0.00163143
    0.933333     0.10125   0.0155248  0.00298467
         1.2    0.097375   0.0230309  0.00509756
     1.46667    0.113648   0.0266142  0.00637771
     1.73333    0.126921    0.031622  0.00732345
           2   0.0982824   0.0292931  0.00753932
     2.26667     0.11944    0.124106   0.0841165
     2.53333   0.0970231   0.0944377   0.0592641
         2.8   0.0584213    0.021363   0.0068801
     3.06667   0.0505046   0.0124998  0.00390608
     3.33333   0.0204259  0.00833428  0.00320147
         3.6   0.0176667  0.00448493  0.00171562
     3.86667  0.00866667  0.00193831 0.000796274
     4.13333           0 0.000941525 0.000465392
         4.4           0 0.000650849  0.00046784
     4.66667           0 0.000109182 9.96692e-05
     4.93333           0  7.0216e-05 6.40982e-05
         5.2           0 2.19907e-05 2.00747e-05
     5.46667           0 8.87346e-06 8.10032e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00330093 0.000619824  0.00016661
         0.4    0.014463  0.00386215 0.000907029
    0.666667    0.035037  0.00797955  0.00147175
    0.933333   0.0851111   0.0150439  0.00259673
         1.2    0.136278    0.022522  0.00439467
     1.46667    0.137264   0.0256135  0.00554457
     1.73333    0.117421   0.0295009  0.00657723
           2    0.157032   0.0283131  0.00652565
     2.26667    0.107713    0.108575   0.0735198
     2.53333   0.0569815   0.0821095   0.0520643
         2.8   0.0735741   0.0198127  0.00606939
     3.06667   0.0226806    0.011177  0.00356503
     3.33333    0.021088  0.00757404  0.00283295
         3.6   0.0185139  0.00422206  0.00149053
     3.86667  0.00566204  0.00177696 0.000698677
     4.13333  0.00647685 0.000939202 0.000398913
         4.4  0.00140278 0.000586498 0.000405407
     4.66667           0 9.35847e-05 8.66426e-05
     4.93333           0 6.01852e-05 5.57207e-05
         5.2           0 1.88492e-05  1.7451e-05
     5.46667           0 7.60582e-06 7.04162e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00319907 0.000592331 0.000148035
         0.4   0.0156343  0.00362367 0.000824406
    0.666667   0.0625324  0.00795917  0.00128793
    0.933333    0.102088   0.0147585  0.00228777
         1.2    0.110389   0.0214316  0.00397831
     1.46667    0.124069   0.0243504   0.0049933
     1.73333    0.110074   0.0275332  0.00604225
           2     0.13938   0.0269518  0.00585022
     2.26667     0.10194    0.096596   0.0652984
     2.53333   0.0655509   0.0728701   0.0463688
         2.8   0.0824074   0.0186237  0.00542592
     3.06667   0.0356343   0.0103366  0.00321692
     3.33333   0.0218194  0.00696821  0.00254278
         3.6  0.00961574  0.00384455  0.00135118
     3.86667   0.0120833  0.00174364 0.000612136
     4.13333  0.00358333 0.000877792 0.000353744
         4.4           0 0.000513186 0.000361299
     4.66667           0 8.18866e-05 7.65979e-05
     4.93333           0  5.2662e-05 4.92608e-05
         5.2           0 1.64931e-05 1.54278e-05
     5.46667           0 6.65509e-06 6.22527e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00253704 0.000557838 0.000135545
         0.4   0.0234491  0.00351053 0.000740527
    0.666667   0.0620417  0.00784077  0.00115025
    0.933333   0.0805231   0.0141128  0.00212274
         1.2    0.113245   0.0204484  0.00365575
     1.46667    0.121296   0.0231423  0.00458231
     1.73333    0.145782   0.0262737  0.00550059
           2    0.125676   0.0255087  0.00537523
     2.26667      0.1015   0.0871162   0.0587271
     2.53333   0.0757824    0.065709   0.0417661
         2.8   0.0358333   0.0169968  0.00506108
     3.06667   0.0506944  0.00981397  0.00290163
     3.33333    0.043338    0.006729  0.00227147
         3.6   0.0106343  0.00354866  0.00123302
     3.86667  0.00679167  0.00163375 0.000553897
     4.13333    0.000875 0.000791062 0.000324898
         4.4           0 0.000456165 0.000325623
     4.66667           0 7.27881e-05 6.86252e-05
     4.93333           0 4.68107e-05 4.41336e-05
         5.2           0 1.46605e-05  1.3822e-05
     5.46667           0 5.91564e-06 5.57732e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333 7.87037e-05 0.000502842  0.00013268
         0.4  0.00934259   0.0032529 0.000709875
    0.666667   0.0644259  0.00770095  0.00104369
    0.933333   0.0752269   0.0134538  0.00201016
         1.2    0.114421   0.0195477  0.00339931
     1.46667    0.134139   0.0221695  0.00422608
     1.73333     0.14125   0.0250589  0.00508292
           2    0.129787   0.0242557  0.00498161
     2.26667    0.108157   0.0794862   0.0533478
     2.53333   0.0971481   0.0601096   0.0379629
         2.8   0.0404398   0.0157015  0.00471781
     3.06667   0.0351019   0.0091836  0.00267907
     3.33333   0.0311574  0.00636768  0.00207287
         3.6   0.0108287  0.00330208   0.0011341
     3.86667  0.00544444  0.00152482 0.000509106
     4.13333  0.00152778 0.000727233 0.000298612
         4.4 0.000958333 0.000420132 0.000295048
     4.66667 0.000564815 7.11574e-05 6.17821e-05
     4.93333           0 4.21296e-05 3.99677e-05
         5.2           0 1.31944e-05 1.25173e-05
     5.46667           0 5.32407e-06 5.05086e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00264352 0.000478976 0.000122746
         0.4   0.0239028  0.00315473 0.000652095
    0.666667   0.0649074  0.00753729 0.000961556
    0.933333   0.0798611   0.0128907  0.00190465
         1.2    0.113255   0.0187067  0.00319264
     1.46667    0.141236   0.0213213  0.00392608
     1.73333    0.124657    0.023811  0.00477155
           2    0.109926   0.0229591  0.00469444
     2.26667   0.0843519   0.0729573   0.0488959
     2.53333    0.118921   0.0556279   0.0347753
         2.8    0.043875   0.0146367  0.00440744
     3.06667   0.0281481  0.00858135  0.00250229
     3.33333   0.0264722  0.00600758  0.00191545
         3.6   0.0226065  0.00318872  0.00103665
     3.86667   0.0107778  0.00147527 0.000465228
     4.13333  0.00348611 0.000689932 0.000273785
         4.4 0.000115741 0.000382895 0.000270565
     4.66667 0.000175926 6.61425e-05 5.63687e-05
     4.93333 0.000680556 4.39241e-05 3.63745e-05
         5.2           0 1.19949e-05 1.14367e-05
     5.46667           0 4.84007e-06 4.61482e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00743519 0.000490694 0.000113075
         0.4   0.0258519  0.00307136 0.000603059
    0.666667   0.0619028  0.00733906 0.000901628
    0.933333      0.0995   0.0125075  0.00178407
         1.2    0.119787   0.0179796  0.00300822
     1.46667    0.111532    0.020319  0.00372464
     1.73333    0.117963   0.0226459  0.00451392
           2    0.113681   0.0218353  0.00443571
     2.26667   0.0977176   0.0675561   0.0451185
     2.53333   0.0915231   0.0516278   0.0321066
         2.8   0.0572731   0.0138147  0.00411609
     3.06667   0.0318565  0.00808747    0.002342
     3.33333   0.0209306   0.0056523  0.00178847
         3.6   0.0249583  0.00309632 0.000954376
     3.86667   0.0029537  0.00137285 0.000437589
     4.13333  0.00420833 0.000661662 0.000252425
         4.4    0.001125   0.0003588 0.000249088
     4.66667   0.0087037 0.000121073 7.37281e-05
     4.93333  0.00109722 4.78833e-05 3.35581e-05
         5.2           0 1.09954e-05 1.05273e-05
     5.46667           0 4.43673e-06 4.24784e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00568519 0.000486589 0.000104451
         0.4   0.0240278  0.00297728 0.000563961
    0.666667   0.0819861  0.00725964 0.000835762
    0.933333   0.0849167   0.0120478  0.00170502
         1.2   0.0982454   0.0171779  0.00288167
     1.46667    0.128144   0.0195143    0.003524
     1.73333    0.113213   0.0215739  0.00429212
           2    0.103347   0.0207672  0.00422114
     2.26667    0.117481   0.0630546   0.0418718
     2.53333   0.0967778   0.0482291   0.0298162
         2.8   0.0552685   0.0130791  0.00386465
     3.06667   0.0281343  0.00763183  0.00220572
     3.33333   0.0146759  0.00530434   0.0016844
         3.6   0.0288056  0.00302859 0.000883363
     3.86667   0.0083287  0.00131652 0.000407537
     4.13333  0.00662037 0.000649939  0.00023328
         4.4  0.00340741 0.000351362 0.000230039
     4.66667 0.000935185 0.000117293 6.81536e-05
     4.93333           0    4.42e-05 3.11782e-05
         5.2           0 1.01496e-05 9.75139e-06
     5.46667           0 4.09544e-06 3.93477e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00166204 0.000460312 0.000100241
         0.4   0.0283565  0.00290929  0.00052776
    0.666667   0.0601574  0.00704802 0.000802409
    0.933333   0.0896296   0.0116446  0.00163022
         1.2    0.129444   0.0166113  0.00273097
     1.46667    0.135972   0.0188141  0.00334111
     1.73333    0.117287   0.0206313  0.00408773
           2   0.0881944   0.0197338  0.00404415
     2.26667    0.109917   0.0591115   0.0390662
     2.53333   0.0882824   0.0452346   0.0278364
         2.8   0.0617454   0.0124599  0.00363787
     3.06667   0.0315556  0.00724769  0.00208135
     3.33333   0.0234815  0.00504527  0.00158389
         3.6   0.0117546  0.00287223 0.000833988
     3.86667  0.00890278  0.00126791 0.000381316
     4.13333  0.00830093 0.000645866 0.000216652
         4.4  0.00535648 0.000353593 0.000213618
