BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.40896    -1.40896           0
           2    -1.52675    -1.08616    0.228248
           3     -1.3065   -0.869277    0.233483
           4   -0.953725   -0.711565    0.222079
           5   -0.708287   -0.597584    0.204836
           6    -0.61417   -0.515047    0.186586
           7   -0.652805   -0.454791    0.169381
           8   -0.630539   -0.407794    0.154591
           9   -0.567699   -0.369493     0.14208
          10   -0.506668    -0.33761      0.1314
          11   -0.437474   -0.310534    0.122213
          12   -0.455271   -0.287817     0.11412
          13   -0.462926   -0.268417    0.106978
          14   -0.440957   -0.251494    0.100666
          15   -0.439203    -0.23668   0.0950388
          16   -0.409445   -0.223487     0.09001
          17   -0.420384   -0.211795   0.0854712
          18   -0.474283   -0.201492   0.0813414
          19   -0.430603    -0.19208   0.0776029
          20   -0.398765   -0.183473   0.0741985
          21   -0.368711   -0.175573   0.0710846
          22   -0.363792   -0.168344   0.0682201
          23     -0.3901   -0.161762   0.0655707
          24   -0.375293   -0.155673   0.0631207
          25   -0.387648   -0.150067   0.0608443
          26    -0.37665   -0.144852   0.0587272
          27   -0.380857   -0.140009   0.0567514
          28   -0.364358   -0.135474   0.0549055
          29   -0.397566   -0.131275   0.0531725
          30   -0.371135   -0.127312   0.0515476
          31   -0.373455   -0.123593   0.0500187
          32   -0.406088   -0.120128   0.0485756
          33   -0.397115   -0.116852   0.0472139
          34   -0.374573   -0.113739   0.0459277
          35   -0.363882   -0.110787   0.0447103
          36   -0.394604   -0.108014   0.0435543
          37   -0.360291   -0.105358    0.042458
          38   -0.381747   -0.102849   0.0414147
          39   -0.440023   -0.100502   0.0404193
          40   -0.409239  -0.0982448   0.0394718
          41   -0.432013  -0.0961056    0.038567
          42   -0.420108  -0.0940555   0.0377032
          43   -0.437478  -0.0921048   0.0368768
          44   -0.450087   -0.090244   0.0360856
          45    -0.44689  -0.0884592   0.0353278
          46   -0.431416  -0.0867401   0.0346016
          47   -0.453762     -0.0851   0.0339043
          48   -0.466686  -0.0835296   0.0332343
          49   -0.411559  -0.0819963   0.0325914
          50   -0.411001  -0.0805208   0.0319729
          51   -0.397344  -0.0790947   0.0313778
          52   -0.388874  -0.0777175   0.0308046
          53   -0.374581  -0.0763845   0.0302522
          54   -0.401649  -0.0751077   0.0297189
          55   -0.403425  -0.0738755   0.0292041
          56   -0.393136  -0.0726816    0.028707
          57   -0.468275  -0.0715506   0.0282256
          58   -0.498921  -0.0704653   0.0277598
          59   -0.407177   -0.069388   0.0273102
          60   -0.385977  -0.0683387   0.0268752
          61   -0.387209  -0.0673225   0.0264538
          62    -0.35887    -0.06633   0.0260458
          63    -0.39978  -0.0653778   0.0256497
          64   -0.451503  -0.0644665   0.0252651
          65   -0.414075  -0.0635728   0.0248923
          66   -0.380503  -0.0626969   0.0245305
          67   -0.409157  -0.0618523   0.0241789
          68   -0.373764  -0.0610235   0.0238375
          69   -0.412478  -0.0602257   0.0235054
          70   -0.443526  -0.0594559   0.0231822
          71   -0.429299  -0.0587036   0.0228679
          72   -0.482518  -0.0579814   0.0225617
          73   -0.512493  -0.0572833   0.0222634
          74   -0.489319  -0.0565985   0.0219731
          75   -0.416625   -0.055918   0.0216907
          76   -0.418024  -0.0552546   0.0214154
          77    -0.42328  -0.0546084    0.021147
          78   -0.362331  -0.0539678   0.0208856
          79   -0.372596  -0.0533444   0.0206305
          80   -0.387379  -0.0527381   0.0203816
          81   -0.399179  -0.0521479   0.0201385
          82   -0.411538  -0.0515731   0.0199011
          83   -0.462288  -0.0510189    0.019669
          84   -0.440425  -0.0504739   0.0194424
          85   -0.380995  -0.0499328   0.0192212
          86   -0.343961  -0.0493987   0.0190051
          87   -0.338055  -0.0488756   0.0187939
          88   -0.383833  -0.0483698   0.0185871
          89    -0.40401  -0.0478773   0.0183848
          90   -0.370275   -0.047391    0.018187
          91   -0.326074  -0.0469096   0.0179935
          92   -0.351364  -0.0464412    0.017804
          93   -0.392019  -0.0459872   0.0176183
          94   -0.384107  -0.0455414   0.0174366
          95   -0.381123  -0.0451043   0.0172585
          96   -0.429061   -0.044681   0.0170839
          97   -0.493347  -0.0442728   0.0169127
          98   -0.476369  -0.0438707   0.0167449
          99   -0.404657  -0.0434688   0.0165805
         100   -0.398013  -0.0430739   0.0164194
