BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.40896    -1.40896           0
           2    -1.12382   -0.985432    0.299477
           3   -0.616303   -0.725433    0.291422
           4   -0.465585   -0.573173    0.255262
           5   -0.427497   -0.475639    0.222063
           6   -0.418091   -0.407979    0.195088
           7   -0.379208   -0.357435    0.173642
           8   -0.379858   -0.318691    0.156199
           9   -0.386948   -0.288058    0.141816
          10   -0.373337   -0.262986    0.129832
          11   -0.415756   -0.242514    0.119632
          12   -0.438641   -0.225351    0.110887
          13   -0.440856   -0.210625     0.10333
          14    -0.39295   -0.197585    0.096769
          15   -0.416621   -0.186264   0.0909775
          16   -0.419821   -0.176263   0.0858394
          17   -0.406057   -0.167299   0.0812567
          18   -0.393976   -0.159221   0.0771429
          19   -0.466959   -0.152134   0.0734075
          20   -0.436812    -0.14562   0.0700257
          21   -0.380371   -0.139548   0.0669538
          22   -0.423812    -0.13408   0.0641333
          23   -0.367465   -0.128945   0.0615501
          24   -0.359933   -0.124198   0.0591684
          25    -0.42191   -0.119905   0.0569572
          26   -0.417002    -0.11591   0.0549064
          27   -0.373384   -0.112129   0.0530029
          28    -0.42813   -0.108671   0.0512226
          29   -0.382893   -0.105379    0.049562
          30    -0.35884   -0.102265   0.0480076
          31   -0.352886  -0.0993331   0.0465484
          32   -0.360201  -0.0965807   0.0451751
          33   -0.416992  -0.0940369   0.0438777
          34   -0.406191  -0.0916225   0.0426536
          35   -0.363616  -0.0893015    0.041498
          36   -0.379877   -0.087114   0.0404029
          37   -0.427191  -0.0850716   0.0393625
          38   -0.443627  -0.0831401    0.038374
          39   -0.371877  -0.0812528   0.0374364
          40   -0.356702  -0.0794445   0.0365442
          41   -0.383635   -0.077735   0.0356928
          42   -0.358096  -0.0760872    0.034881
          43   -0.324662  -0.0744933   0.0341062
          44   -0.333441  -0.0729725    0.033365
          45   -0.329454  -0.0715136   0.0326554
          46   -0.382976  -0.0701399   0.0319744
          47        -0.4  -0.0688287   0.0313209
          48   -0.391716  -0.0675647   0.0306939
          49    -0.39344  -0.0663497   0.0300916
          50   -0.394652  -0.0651806   0.0295124
