BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.40896    -1.40896           0
           2    -1.41838    -1.05907    0.247405
           3     -1.4687   -0.869237    0.226338
           4    -1.56314   -0.749624    0.198864
           5     -1.6667   -0.666367    0.175657
           6    -1.57563   -0.599073    0.158748
           7    -1.06814    -0.53529    0.148331
           8    -1.32584   -0.489095    0.136794
           9    -1.64369   -0.455044    0.125761
          10    -1.61998   -0.425739     0.11655
          11    -1.69666   -0.401057    0.108536
          12    -1.69991   -0.379441    0.101621
          13     -1.5576    -0.35947   0.0957465
          14     -1.5552   -0.341728   0.0905363
          15    -1.56592   -0.325906    0.085872
          16    -1.53018   -0.311514   0.0817021
          17     -1.5012   -0.298384    0.077944
          18     -1.4637   -0.286325   0.0745408
          19    -1.39364   -0.275116   0.0714554
          20    -1.50258   -0.265116   0.0685787
          21    -1.52281   -0.255945   0.0659235
          22    -1.45709   -0.247321   0.0634885
          23    -1.38358   -0.239184   0.0612474
          24    -1.39883   -0.231646   0.0591574
          25    -1.41761   -0.224649   0.0572035
          26    -1.36859   -0.218033   0.0553846
          27    -1.32966   -0.211781    0.053685
          28    -1.27502   -0.205844   0.0520949
          29    -1.26883   -0.200255   0.0505975
          30    -1.17907    -0.19489   0.0491946
          31    -1.09288    -0.18974   0.0478764
          32    -1.08585   -0.184871   0.0466272
          33    -1.12858   -0.180305   0.0454372
          34    -1.12688   -0.175977   0.0443065
          35    -1.09068    -0.17184   0.0432334
          36    -1.04727   -0.167874   0.0422139
          37    -1.05109   -0.164105   0.0412409
          38    -1.05397   -0.160516   0.0403115
          39     -1.0104   -0.157065   0.0394253
          40   -0.986483   -0.153755   0.0385784
          41    -1.00927   -0.150605   0.0377658
          42    -1.00035   -0.147586   0.0369871
          43   -0.916739    -0.14465   0.0362433
          44   -0.876659   -0.141815   0.0355303
          45   -0.918833   -0.139117    0.034843
          46   -0.930619   -0.136533   0.0341812
          47   -0.932633    -0.13405    0.033544
          48   -0.909653   -0.131652   0.0329308
          49   -0.876592   -0.129331   0.0323405
          50   -0.839404    -0.12708   0.0317719
          51   -0.813505   -0.124901   0.0312235
          52   -0.825052   -0.122804   0.0306934
          53   -0.808549   -0.120775   0.0301813
          54   -0.774432   -0.118804   0.0296867
          55   -0.757069   -0.116894   0.0292083
          56   -0.761326   -0.115049   0.0287449
          57   -0.760055   -0.113265   0.0282959
          58   -0.744748   -0.111533    0.027861
          59   -0.711524   -0.109847   0.0274397
          60   -0.663656   -0.108201   0.0270318
          61   -0.654708   -0.106603   0.0266358
          62   -0.672343   -0.105059   0.0262509
          63    -0.66386   -0.103558   0.0258771
          64   -0.649134   -0.102099   0.0255139
          65    -0.64772   -0.100681   0.0251607
          66   -0.651145  -0.0993052   0.0248171
          67   -0.640377  -0.0979657   0.0244828
          68   -0.627389  -0.0966607   0.0241575
          69    -0.62134  -0.0953904   0.0238408
          70   -0.606018  -0.0941513   0.0235324
          71   -0.594723  -0.0929432   0.0232319
          72   -0.611647  -0.0917703   0.0229389
          73   -0.614554  -0.0906285    0.022653
          74   -0.608567   -0.089515   0.0223743
          75   -0.600055  -0.0884281   0.0221023
          76   -0.598221  -0.0873681   0.0218369
          77   -0.607645   -0.086336   0.0215777
          78   -0.615257  -0.0853302   0.0213245
          79   -0.605761  -0.0843472   0.0210772
          80   -0.578172  -0.0833832   0.0208358
          81    -0.61765  -0.0824479   0.0205995
          82   -0.645364  -0.0815384   0.0203684
          83   -0.642431  -0.0806493   0.0201424
          84   -0.641876  -0.0797801   0.0199213
          85   -0.661662  -0.0789331   0.0197049
          86   -0.654764  -0.0781038   0.0194933
          87    -0.63496    -0.07729   0.0192862
          88    -0.64142  -0.0764945   0.0190834
          89   -0.639411  -0.0757157   0.0188849
          90    -0.67826  -0.0749582   0.0186902
          91   -0.692767  -0.0742181   0.0184995
          92   -0.661884  -0.0734896   0.0183127
          93   -0.638644  -0.0727732   0.0181298
          94   -0.628107  -0.0720701   0.0179506
          95   -0.629776  -0.0713813   0.0177749
          96   -0.654479  -0.0707087   0.0176024
          97   -0.660171  -0.0700499   0.0174333
          98    -0.65141   -0.069403   0.0172674
          99   -0.657056   -0.068769   0.0171046
         100   -0.654948  -0.0681468   0.0169449
         101   -0.658938  -0.0675367   0.0167881
         102   -0.643125  -0.0669363   0.0166342
         103   -0.575708  -0.0663407   0.0164834
         104   -0.618171    -0.06576   0.0163351
         105   -0.637585  -0.0651916   0.0161894
         106    -0.65421  -0.0646348   0.0160463
         107   -0.658827  -0.0640882   0.0159056
         108   -0.655477   -0.063551   0.0157674
         109   -0.646918  -0.0630224   0.0156316
         110    -0.62581  -0.0625012   0.0154982
         111   -0.614701   -0.061988   0.0153671
         112   -0.632764   -0.061485   0.0152381
         113   -0.649008  -0.0609917   0.0151112
         114   -0.641967  -0.0605061   0.0149865
         115   -0.630454  -0.0600277   0.0148638
         116   -0.600974  -0.0595548   0.0147432
         117   -0.605809  -0.0590901   0.0146245
         118   -0.624641  -0.0586342   0.0145076
         119   -0.600926  -0.0581839   0.0143927
         120    -0.58425  -0.0577396   0.0142796
         121   -0.609195   -0.057304   0.0141683
         122   -0.599571  -0.0568746   0.0140586
         123   -0.556428   -0.056449   0.0139508
         124   -0.547557  -0.0560294   0.0138446
         125   -0.559204  -0.0556169     0.01374
         126   -0.581851  -0.0552122   0.0136369
         127   -0.578354  -0.0548133   0.0135353
         128   -0.549996  -0.0544186   0.0134353
         129    -0.55374    -0.05403   0.0133368
         130   -0.571677  -0.0536482   0.0132397
         131   -0.571149   -0.053272    0.013144
         132   -0.558885  -0.0529005   0.0130496
         133   -0.537769  -0.0525332   0.0129567
         134   -0.518011    -0.05217   0.0128651
         135   -0.539717  -0.0518131   0.0127747
         136   -0.555269  -0.0514622   0.0126856
         137   -0.540969  -0.0511154   0.0125978
         138   -0.533838   -0.050773   0.0125111
         139    -0.53051  -0.0504352   0.0124257
         140   -0.560228  -0.0501035   0.0123414
         141   -0.541802  -0.0497754   0.0122582
         142   -0.436377  -0.0494465   0.0121763
         143   -0.502733  -0.0491253   0.0120954
         144   -0.493351   -0.048808   0.0120155
         145   -0.477811  -0.0484941   0.0119368
         146   -0.497138  -0.0481853    0.011859
         147   -0.509932  -0.0478811   0.0117822
         148   -0.503973  -0.0475806   0.0117064
         149   -0.489753  -0.0472833   0.0116317
         150   -0.467841  -0.0469889   0.0115578
