BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1           2           2           0
           2     1.81152     1.45288    0.386873
           3     1.47515     1.13249    0.367359
           4     1.37482    0.935295    0.324154
           5     1.34938    0.802212    0.285337
           6     1.34319     0.70582     0.25354
           7      1.3172    0.631871    0.227849
           8     1.31769    0.573476    0.206716
           9     1.32248    0.526083    0.189102
          10     1.31343    0.486609    0.174263
          11     1.34156    0.453459    0.161543
          12     1.35683    0.425093    0.150551
          13     1.35835    0.400431    0.140976
          14     1.32647    0.378597    0.132586
          15      1.3422    0.359322     0.12514
          16     1.34441    0.342116    0.118496
          17     1.33519    0.326612    0.112535
          18     1.32714    0.312563    0.107157
          19     1.37561    0.299923     0.10226
          20     1.35564    0.288316   0.0978032
          21     1.31806    0.277575   0.0937338
          22     1.34706    0.267741   0.0899876
          23     1.30951    0.258576   0.0865406
          24     1.30449    0.250067    0.083352
          25     1.34565    0.242217   0.0803867
          26     1.34249    0.234887   0.0776284
          27     1.31328    0.227989   0.0750591
          28     1.34982    0.221568   0.0726525
          29     1.31972    0.215497   0.0704005
          30     1.30374    0.209762    0.068287
          31     1.29977    0.204348   0.0662984
          32     1.30457    0.199236   0.0644234
          33     1.34237    0.194432   0.0626501
          34     1.33523    0.189868   0.0609734
          35     1.30694     0.18551   0.0593868
          36     1.31769    0.181374   0.0578811
          37      1.3492    0.177457   0.0564491
          38     1.36023    0.173729   0.0550865
          39     1.31256    0.170138    0.053791
          40     1.30233    0.166698   0.0525561
          41     1.32018    0.163418   0.0513765
          42     1.30325    0.160266   0.0502499
          43     1.28095    0.157231   0.0491728
          44     1.28684    0.154323   0.0481412
          45     1.28417    0.151527   0.0471525
          46     1.31976    0.148857    0.046203
          47     1.33117    0.146293    0.045291
          48      1.3255     0.14382   0.0444149
          49     1.32681    0.141438   0.0435723
          50     1.32766     0.13914   0.0427614
