BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59104     1.59104           0
           2     1.59346     1.19389    0.280833
           3     1.59642    0.973305    0.259788
           4     1.59665    0.829769    0.231116
           5     1.59658    0.727679    0.206212
           6     1.59669    0.650751    0.185639
           7     1.59659     0.59037    0.168653
           8     1.59667    0.541522    0.154484
           9     1.59677    0.501066    0.142518
          10      1.5968    0.466928    0.132291
          11     1.59659    0.437675    0.123457
          12      1.5966    0.412289    0.115749
          13     1.59667    0.390022    0.108966
          14     1.59675     0.37031     0.10295
          15     1.59668    0.352719   0.0975783
          16     1.59679    0.336912   0.0927512
          17     1.59672    0.322618   0.0883898
          18     1.59674    0.309623   0.0844291
          19     1.59646     0.29775   0.0808161
          20     1.59664    0.286854   0.0775063
          21     1.59672    0.276815   0.0744628
          22     1.59678    0.267532   0.0716545
          23     1.59681    0.258918   0.0690548
          24      1.5968    0.250902   0.0666412
          25     1.59656    0.243421   0.0643941
          26     1.59673     0.23642   0.0622968
          27     1.59654    0.229854   0.0603345
          28      1.5966    0.223681   0.0584946
          29     1.59669    0.217867   0.0567658
          30     1.59677    0.212379   0.0551383
          31     1.59677    0.207189   0.0536033
          32     1.59665    0.202274   0.0521531
          33     1.59656    0.197611   0.0507807
          34     1.59665     0.19318   0.0494801
          35     1.59679    0.188964   0.0482457
          36     1.59665    0.184947   0.0470725
          37     1.59661    0.181114    0.045956
          38     1.59671    0.177454   0.0448921
          39     1.59696    0.173954   0.0438773
          40      1.5968    0.170603   0.0429081
          41     1.59663    0.167392   0.0419816
          42     1.59678    0.164311   0.0410949
          43     1.59677    0.161354   0.0402455
          44     1.59682    0.158512    0.039431
          45      1.5968    0.155778   0.0386494
          46     1.59666    0.153146   0.0378987
          47     1.59675     0.15061   0.0371771
          48     1.59654    0.148165   0.0364829
          49     1.59677    0.145807   0.0358145
          50     1.59684    0.143529   0.0351705
