BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0469652  -0.0469652           0
           2    -1.41838   -0.378077    0.234131
           3     -1.4687    -0.41524     0.15901
           4    -1.56314   -0.409126    0.119375
           5     -1.6667   -0.393969   0.0964572
           6    -1.57563   -0.372075   0.0828285
           7    -1.06814    -0.34072   0.0767013
           8    -1.32584   -0.318846   0.0701634
           9    -1.64369   -0.303711    0.063979
          10    -1.61998    -0.28954   0.0591297
          11    -1.69666    -0.27724   0.0550187
          12    -1.69991   -0.265942   0.0515809
          13     -1.5576   -0.254701   0.0488225
          14     -1.5552   -0.244443   0.0464004
          15    -1.56592   -0.235106   0.0442364
          16    -1.53018    -0.22639   0.0423217
          17     -1.5012   -0.218267   0.0406042
          18     -1.4637   -0.210659   0.0390547
          19    -1.39364   -0.203432   0.0376619
          20    -1.50258   -0.197017   0.0363211
          21    -1.52281   -0.191088    0.035072
          22    -1.45709   -0.185413   0.0339339
          23    -1.38358   -0.179967   0.0328926
          24    -1.39883   -0.174897   0.0319105
          25    -1.41761   -0.170169   0.0309823
          26    -1.36859   -0.165649   0.0301186
          27    -1.32966   -0.161337     0.02931
          28    -1.27502   -0.157202   0.0285536
          29    -1.26883    -0.15329   0.0278356
          30    -1.17907    -0.14949   0.0271659
          31    -1.09288   -0.145805   0.0265383
          32    -1.08585   -0.142309   0.0259382
          33    -1.12858   -0.139033   0.0253583
          34    -1.12688   -0.135919    0.024803
          35    -1.09068   -0.132926   0.0242742
          36    -1.04727   -0.130041   0.0237707
          37    -1.05109   -0.127294   0.0232864
          38    -1.05397   -0.124674   0.0228205
          39     -1.0104   -0.122142   0.0223754
          40   -0.986483   -0.119705   0.0219484
          41    -1.00927   -0.117386   0.0215352
          42    -1.00035   -0.115158   0.0211374
          43   -0.916739   -0.112976   0.0207582
          44   -0.876659   -0.110861   0.0203938
          45   -0.918833   -0.108851   0.0200394
          46   -0.930619   -0.106924   0.0196962
          47   -0.932633   -0.105072   0.0193641
          48   -0.909653   -0.103277   0.0190436
          49   -0.876592   -0.101535   0.0187345
          50   -0.839404    -0.09984   0.0184363
           1   -0.842113    -5.83411           0
           2    -0.87883    -3.13676     2.08735
           3   -0.911737    -2.19248     1.15845
           4   -0.933264    -1.70269    0.758263
           5   -0.930032    -1.39935    0.542555
           6   -0.917011     -1.1916     0.41043
           7   -0.874897    -1.03923    0.322274
           8   -0.923579   -0.923754    0.260483
           9    -1.00287   -0.833495    0.215336
          10    -1.00833   -0.760229    0.180909
          11   -0.985524   -0.699262    0.153847
          12    -1.01417   -0.648033    0.132222
          13    -1.05521   -0.604428    0.114636
          14    -1.04982   -0.566611    0.100016
          15    -1.04907     -0.5335   0.0876959
          16    -1.09379   -0.504428   0.0772463
          17    -1.12836   -0.478661   0.0682694
          18     -1.1267   -0.455546    0.060437
          19    -1.08367   -0.434572   0.0534929
          20     -1.0963   -0.415584   0.0473285
          21    -1.18661   -0.398485   0.0418722
          22    -1.27145   -0.382999   0.0369946
          23    -1.27653    -0.36876   0.0325307
          24    -1.33269   -0.355708   0.0284369
          25    -1.37212   -0.343676   0.0246223
          26    -1.41898   -0.332556   0.0210152
          27    -1.39583   -0.322154   0.0174737
          28    -1.38676   -0.312417   0.0138742
          29    -1.46117   -0.303382    0.010031
          30    -1.52656   -0.294965  0.00505444
          31     -1.4953   -0.287006  0.00611367
          32     -1.3919   -0.279397  0.00954855
          33    -1.47015    -0.27228   0.0116122
          34    -1.50134   -0.265571    0.013066
          35    -1.53367   -0.259235   0.0141457
          36    -1.56699   -0.253243   0.0149681
          37    -1.55188   -0.247532    0.015615
          38    -1.56623   -0.242103   0.0161204
          39    -1.70377   -0.237015   0.0164903
          40    -1.69444   -0.232149   0.0167807
          41    -1.61519   -0.227447   0.0170173
          42      -1.643   -0.222963   0.0171927
          43     -1.2854   -0.218473   0.0173693
          44     -1.0936   -0.214073   0.0175231
          45    -1.59692   -0.210104   0.0175773
          46    -1.66185   -0.206322   0.0175974
          47    -1.55577   -0.202637   0.0176047
          48    -1.46389   -0.199051   0.0175994
          49     -1.4167   -0.195578   0.0175795
          50    -1.41705   -0.192234   0.0175432
