BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1   0.0666667   0.0666667           0
           2     2.00569    0.534756    0.330989
           3     2.03815    0.582965    0.224143
           4     2.10029    0.568492    0.168574
           5      2.1702    0.541601    0.136987
           6     2.11831    0.510176    0.117705
           7      1.7808    0.473637     0.10641
           8     1.93097    0.444604   0.0969891
           9     2.15623    0.421823   0.0888475
          10     2.13884    0.401029   0.0823601
          11     2.19096    0.382679   0.0768899
          12     2.19524    0.366034   0.0722617
          13     2.10183    0.350314   0.0683915
          14     2.09635    0.335988   0.0649897
          15     2.10497    0.322944   0.0619522
          16     2.08196    0.310893   0.0592407
          17     2.06155    0.299738   0.0567964
          18     2.03875    0.289379   0.0545777
          19     1.98925    0.279658   0.0525636
          20     2.06024    0.270826    0.050672
          21     2.07744     0.26264   0.0489158
          22     2.03378    0.254904   0.0473001
          23      1.9845    0.247573   0.0458082
          24     1.99272    0.240717   0.0444097
          25     2.00681    0.234299   0.0430945
          26     1.97491    0.228209   0.0418651
          27     1.94889     0.22243   0.0407115
          28     1.91197    0.216925   0.0396279
          29      1.9084    0.211714   0.0386026
          30     1.85024    0.206713   0.0376384
          31     1.79147    0.201909   0.0367296
          32     1.78501    0.197342   0.0358645
          33     1.81372    0.193028   0.0350363
          34     1.81377    0.188919   0.0342458
          35     1.79027    0.184983   0.0334928
          36     1.76094    0.181204    0.032775
          37     1.76255    0.177594   0.0320874
          38     1.76541    0.174143    0.031428
          39     1.73725     0.17082   0.0307973
          40     1.71978    0.167624   0.0301928
          41     1.73507    0.164568   0.0296106
          42     1.73036     0.16163   0.0290509
          43     1.67608    0.158778    0.028515
          44     1.64654     0.15602       0.028
          45     1.67476     0.15338    0.027502
          46     1.68306    0.150841    0.027021
          47     1.68486    0.148394   0.0265567
          48     1.67006    0.146028   0.0261087
          49     1.64813    0.143734   0.0256764
          50     1.62356    0.141509   0.0252591
           1     1.62356     8.69899           0
           2     1.64813     4.76153     3.13978
           3     1.67006     3.35991     1.75264
           4     1.68486     2.62524     1.15024
           5     1.68306     2.16751    0.824103
           6     1.67476     1.85278    0.623765
           7     1.64654      1.6217    0.489986
           8     1.67608     1.44518    0.395665
           9     1.73036     1.30597    0.326293
          10     1.73507     1.19272    0.273307
          11     1.71978      1.0985    0.231653
          12     1.73725     1.01903    0.198246
          13     1.76541    0.951085    0.170958
          14     1.76255    0.892143    0.148238
          15     1.76094    0.840494    0.129045
          16     1.79027    0.794956    0.112658
          17     1.81377     0.75447   0.0984884
          18     1.81372    0.718153   0.0860608
          19     1.78501      0.6853    0.074999
          20     1.79147    0.655514   0.0650658
          21     1.85024    0.628494   0.0560775
          22      1.9084    0.603869   0.0478171
          23     1.91197    0.581228   0.0400207
          24     1.94889    0.560394   0.0324804
          25     1.97491    0.541138   0.0248256
          26     2.00681    0.523294    0.016237
          27     1.99272    0.506646    0.004734
          28      1.9845    0.491083     0.01595
          29     2.03378    0.476567   0.0209904
          30     2.07744     0.46299   0.0242881
          31     2.06024    0.450199    0.026661
          32     1.98925    0.438072   0.0284521
          33     2.03875     0.42667   0.0297874
          34     2.06155    0.415904   0.0307954
          35     2.08196    0.405721   0.0315543
          36     2.10497    0.396075   0.0321183
          37     2.09635    0.386901   0.0325339
          38     2.10183    0.378175   0.0328271
          39     2.19524    0.369922   0.0330067
          40     2.19096    0.362043   0.0331085
          41     2.13884    0.354485   0.0331524
          42     2.15623    0.347267   0.0331394
          43     1.93097    0.340236   0.0331063
          44      1.7808    0.333423   0.0330475
          45     2.11831     0.32706     0.03292
          46      2.1702    0.320975   0.0327618
          47     2.10029    0.315097   0.0325879
          48     2.03815    0.309417   0.0324002
          49     2.00569    0.303938   0.0321989
          50     2.00486    0.298661   0.0319844
