BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.09891     3.09891           0
           2     3.25879     3.17885    0.056526
           3     3.24824     3.20198   0.0421525
           4     3.21056     3.20412    0.031669
           5     3.22799      3.2089   0.0256923
           6     3.27507     3.21993   0.0236595
           7     3.32653     3.23515   0.0246989
           8      3.2798     3.24074   0.0222331
           9     3.28216     3.24534   0.0202336
          10     3.25714     3.24652   0.0182446
          11     3.32837     3.25396   0.0180398
          12     3.26374     3.25477   0.0165549
          13     3.28112      3.2568    0.015405
          14     3.29387     3.25945   0.0145304
          15     3.31844     3.26338   0.0140839
          16     3.30814     3.26618   0.0134786
          17     3.27557     3.26673   0.0126971
          18     3.24111     3.26531   0.0120712
          19     3.27619     3.26588   0.0114495
          20     3.25818      3.2655   0.0108835
          21     3.26009     3.26524   0.0103682
          22     3.27174     3.26553  0.00990117
          23     3.30162      3.2671  0.00959416
          24     3.27358     3.26737   0.0091982
          25     3.26245     3.26718  0.00883238
          26     3.28901     3.26802  0.00853251
          27      3.2708     3.26812  0.00821712
          28     3.31766     3.26989  0.00811193
          29     3.32596     3.27182  0.00805936
          30     3.28246     3.27218  0.00779851
          31     3.31267     3.27348  0.00765558
          32     3.28063     3.27371   0.0074196
          33     3.31215     3.27487  0.00728566
          34     3.32038     3.27621  0.00719329
          35     3.29569     3.27677  0.00700927
          36     3.31077     3.27771  0.00687791
          37     3.30265     3.27839  0.00672496
          38     3.29937     3.27894  0.00657063
          39     3.24543     3.27808  0.00645807
          40     3.27558     3.27802  0.00629692
          41     3.27013     3.27782  0.00614627
          42     3.32479     3.27894  0.00610079
          43     3.29733     3.27937  0.00597388
          44     3.29245     3.27967   0.0058455
          45     3.30193     3.28016  0.00573649
          46     3.31523     3.28092  0.00566223
          47     3.32914     3.28195  0.00563392
          48     3.30669     3.28246  0.00554007
          49     3.32803     3.28339  0.00550449
          50     3.33719     3.28447  0.00549853
          51     3.33484     3.28546  0.00547871
          52     3.30497     3.28583  0.00538618
          53     3.29324     3.28597  0.00528637
          54     3.32805     3.28675  0.00524559
          55     3.32908     3.28752  0.00520638
          56       3.297     3.28769  0.00511616
          57     3.28959     3.28772  0.00502651
          58     3.26537     3.28734   0.0049546
          59     3.28747     3.28734  0.00487063
          60     3.29624     3.28749  0.00479171
          61       3.267     3.28715  0.00472491
          62     3.27077     3.28689  0.00465608
          63     3.31997     3.28741   0.0046117
          64     3.27449     3.28721  0.00454406
          65     3.27782     3.28707  0.00447645
          66     3.26957      3.2868  0.00441647
          67     3.29047     3.28686   0.0043509
          68     3.27025     3.28661  0.00429376
          69     3.29043     3.28667  0.00423188
          70     3.30287      3.2869  0.00417776
          71     3.28376     3.28686  0.00411915
          72       3.293     3.28694  0.00406282
          73      3.2712     3.28673  0.00401289
          74     3.33747     3.28741  0.00401682
          75     3.26797     3.28715  0.00397162
          76     3.28997     3.28719  0.00391953
          77     3.29061     3.28723  0.00386888
          78     3.28975     3.28727  0.00381942
          79     3.30055     3.28743  0.00377477
          80     3.30273     3.28763  0.00373242
          81     3.25946     3.28728   0.0037025
          82     3.34597     3.28799  0.00372589
          83     3.31445     3.28831  0.00369461
          84     3.26737     3.28806  0.00365902
          85     3.24892      3.2876  0.00364484
          86     3.24189     3.28707  0.00364101
          87     3.23782      3.2865   0.0036429
          88     3.25567     3.28615  0.00361832
          89     3.32605      3.2866  0.00360532
          90     3.34397     3.28724  0.00362118
          91     3.28342      3.2872  0.00358163
          92     3.25871     3.28689  0.00355606
          93     3.27973     3.28681  0.00351865
          94     3.26478     3.28658  0.00348902
          95     3.29061     3.28662  0.00345255
          96     3.31515     3.28692  0.00342935
          97      3.2901     3.28695  0.00339416
          98     3.23507     3.28642  0.00340056
          99     3.24289     3.28598  0.00339451
         100     3.26293     3.28575  0.00336839
