VELOCITY:     AVE_POFV:        ERROR:
    0.133333           0           0           0
         0.4       0.815       0.815           0
    0.666667       2.807       2.807           0
    0.933333       4.653       4.653           0
         1.2       3.426       3.426           0
     1.46667      11.092      11.092           0
     1.73333      10.649      10.649           0
           2      17.078      17.078           0
     2.26667       8.289       8.289           0
     2.53333      16.562      16.562           0
         2.8       8.976       8.976           0
     3.06667       9.815       9.815           0
     3.33333        5.56        5.56           0
         3.6       3.984       3.984           0
     3.86667       1.481       1.481           0
     4.13333       0.813       0.813           0
         4.4           0           0           0
     4.66667           0           0           0
     4.93333           0           0           0
         5.2       0.655       0.655           0
     5.46667       0.345       0.345           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           1           1           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0           0           0
         0.4        0.14      0.4775    0.238649
    0.666667       2.081       2.444     0.25668
    0.933333       2.894      3.7735      0.6219
         1.2         5.1       4.263    0.591848
     1.46667      10.672      10.882    0.148492
     1.73333      11.699      11.174    0.371231
           2      13.641     15.3595     1.21516
     2.26667       11.41      9.8495     1.10344
     2.53333      14.054      15.308    0.886712
         2.8       9.514       9.245    0.190212
     3.06667       9.154      9.4845    0.233699
     3.33333       7.104       6.332    0.545886
         3.6       4.297      4.1405    0.110662
     3.86667       2.008      1.7445    0.186323
     4.13333       1.841       1.327    0.363453
         4.4       0.698       0.349     0.24678
     4.66667       0.201      0.1005   0.0710642
     4.93333       0.018       0.009  0.00636396
         5.2       0.011       0.333    0.227688
     5.46667       0.463       0.404   0.0417193
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333       0.367      0.6835    0.223799
         6.8       0.633      0.3165    0.223799
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0           0           0
         0.4        0.04    0.331667    0.198723
    0.666667       0.486     1.79133      0.5597
    0.933333       4.073     3.87333    0.422537
         1.2       8.549     5.69167     1.23143
     1.46667       8.073     9.94567    0.770896
     1.73333      10.614     10.9873    0.290654
           2      16.946     15.8883    0.917997
     2.26667       8.984       9.561    0.772421
     2.53333      14.119     14.9117     0.67392
         2.8       9.152       9.214    0.129309
     3.06667      10.522     9.83033    0.322501
     3.33333       4.335     5.66633    0.654102
         3.6       5.169     4.48333    0.289481
     3.86667       1.678     1.72233    0.125527
     4.13333       1.588       1.414      0.2525
         4.4       2.266       0.988    0.547066
     4.66667       0.304    0.168333    0.072884
     4.93333       0.136   0.0513333   0.0348244
         5.2       0.006       0.224    0.175959
     5.46667       0.009    0.272333    0.111045
     5.73333       0.011  0.00366667  0.00299382
           6       0.124   0.0413333   0.0337485
     6.26667       0.009       0.003  0.00244949
     6.53333       0.013        0.46    0.235716
         6.8       0.736    0.456333    0.187872
     7.06667       0.058   0.0193333   0.0157856
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0           0           0
         0.4       0.648     0.41075    0.164025
    0.666667       0.676      1.5125    0.484275
    0.933333       1.895     3.37875    0.532811
         1.2      10.327      6.8505     1.36387
     1.46667       9.818     9.91375    0.578832
     1.73333       9.093     10.5138    0.464468
           2      15.863      15.882     0.68852
     2.26667      10.131      9.7035    0.592315
     2.53333      13.916     14.6627     0.54949
         2.8      11.898       9.885     0.58914
     3.06667       7.967      9.3645    0.470377
     3.33333       4.377       5.344    0.564437
