BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.131724   -0.131724           0
           2   -0.291616    -0.21167   0.0565302
           3   -0.280978   -0.234773    0.042144
           4   -0.243346   -0.236916   0.0316624
           5   -0.260753   -0.241683   0.0256864
           6   -0.308035   -0.252742   0.0236664
           7   -0.359377   -0.267975   0.0247065
           8    -0.31268   -0.273563   0.0222411
           9   -0.315083   -0.278177   0.0202427
          10   -0.290022   -0.279361    0.018253
          11   -0.361328   -0.286813   0.0180507
          12   -0.296457   -0.287616   0.0165643
          13   -0.313938   -0.289641   0.0154134
          14   -0.326758   -0.292292   0.0145387
          15   -0.351145   -0.296216   0.0140889
          16   -0.341056   -0.299018   0.0134842
          17   -0.308404   -0.299571   0.0127023
          18   -0.273905   -0.298145   0.0120764
          19   -0.309103   -0.298721   0.0114546
          20   -0.291053   -0.298338   0.0108882
          21   -0.292785   -0.298074    0.010373
          22   -0.304603    -0.29837  0.00990571
          23   -0.334508   -0.299942  0.00959883
          24   -0.306345   -0.300208  0.00920258
          25   -0.295349   -0.300014  0.00883653
          26   -0.321999    -0.30086  0.00853703
          27   -0.303642   -0.300963  0.00822146
          28   -0.350608   -0.302736  0.00811678
          29   -0.358824    -0.30467  0.00806402
          30   -0.315144   -0.305019  0.00780278
          31   -0.345617   -0.306328  0.00766019
          32   -0.313377   -0.306549  0.00742397
          33   -0.345078   -0.307716  0.00729024
          34   -0.353324   -0.309058  0.00719817
          35   -0.328442   -0.309612  0.00701378
          36   -0.343582   -0.310555  0.00688214
          37   -0.335611   -0.311232  0.00672937
          38   -0.332206   -0.311784  0.00657488
          39   -0.278227   -0.310924  0.00646235
          40   -0.308487   -0.310863  0.00630108
          41   -0.303043   -0.310672  0.00615028
          42   -0.357652   -0.311791  0.00610471
          43   -0.330156   -0.312218  0.00597767
          44   -0.325362   -0.312517  0.00584927
          45   -0.334869   -0.313013  0.00574034
          46   -0.348155   -0.313777  0.00566616
          47   -0.362086   -0.314805  0.00563806
          48    -0.33981   -0.315326  0.00554461
          49   -0.361114   -0.316261  0.00550963
          50   -0.370144   -0.317338  0.00550383
          51   -0.367655   -0.318325  0.00548362
          52   -0.337879   -0.318701  0.00539105
          53   -0.326125   -0.318841  0.00529115
          54   -0.361144   -0.319624  0.00525084
          55    -0.36193   -0.320393   0.0052114
          56   -0.329954   -0.320564  0.00512114
          57   -0.322478   -0.320598   0.0050314
          58   -0.298288   -0.320213  0.00495934
          59   -0.320447   -0.320217  0.00487528
          60   -0.329056   -0.320364  0.00479625
          61   -0.299738   -0.320026  0.00472953
          62   -0.303724   -0.319763  0.00466055
          63   -0.352923    -0.32029   0.0046162
          64   -0.307305   -0.320087  0.00454853
          65   -0.310519    -0.31994  0.00448093
          66   -0.302481   -0.319675  0.00442084
          67   -0.323298   -0.319729  0.00435519
          68   -0.302979   -0.319483   0.0042981
          69    -0.32328   -0.319538  0.00423616
          70   -0.335729   -0.319769  0.00418195
          71   -0.316611   -0.319725  0.00412329
          72   -0.325939   -0.319811  0.00406693
          73   -0.304029   -0.319595  0.00401696
          74   -0.370348   -0.320281   0.0040208
          75   -0.300897   -0.320022  0.00397548
          76   -0.322924    -0.32006  0.00392336
          77    -0.32344   -0.320104  0.00387265
          78   -0.322693   -0.320137  0.00382314
          79   -0.333517   -0.320307   0.0037785
          80   -0.335521   -0.320497  0.00373605
          81   -0.292195   -0.320148  0.00370623
          82   -0.378899   -0.320864  0.00372964
          83   -0.347351   -0.321183  0.00369834
          84   -0.300328   -0.320935  0.00366263
          85   -0.281836   -0.320475  0.00364831
          86   -0.274748   -0.319943  0.00364443
          87   -0.270622   -0.319376  0.00364637
          88   -0.288608   -0.319027  0.00362165
          89   -0.359142   -0.319477   0.0036089
          90   -0.376905   -0.320115  0.00362477
          91   -0.316072   -0.320071  0.00358521
          92   -0.291663   -0.319762  0.00355951
          93   -0.312523   -0.319684  0.00352209
          94   -0.297591   -0.319449  0.00349245
          95   -0.323436   -0.319491  0.00345594
          96   -0.348084   -0.319789  0.00343275
          97   -0.322813    -0.31982  0.00339751
          98   -0.267917   -0.319291  0.00340387
          99   -0.275813   -0.318852   0.0033977
         100   -0.295793   -0.318621  0.00337154
