BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.06594     2.06594           0
           2     2.17252     2.11923    0.037684
           3      2.1655     2.13465   0.0281017
           4     2.14038     2.13608   0.0211127
           5     2.15199     2.13926   0.0171282
           6     2.18338     2.14662    0.015773
           7     2.21768     2.15677    0.016466
           8     2.18653     2.16049    0.014822
           9     2.18811     2.16356   0.0134891
          10     2.17143     2.16435   0.0121631
          11     2.21891     2.16931   0.0120265
          12     2.17583     2.16985   0.0110366
          13     2.18741      2.1712     0.01027
          14     2.19591     2.17297  0.00968692
          15      2.2123     2.17559  0.00938927
          16     2.20543     2.17745  0.00898576
          17     2.18372     2.17782  0.00846473
          18     2.16074     2.17687  0.00804748
          19     2.18412     2.17725  0.00763297
          20     2.17212       2.177  0.00725564
          21     2.17339     2.17683  0.00691216
          22     2.18116     2.17702  0.00660078
          23     2.20108     2.17807  0.00639611
          24     2.18239     2.17825  0.00613213
          25     2.17497     2.17812  0.00588825
          26     2.19268     2.17868  0.00568834
          27     2.18054     2.17875  0.00547808
          28     2.21178     2.17993  0.00540795
          29     2.21731     2.18121   0.0053729
          30     2.18831     2.18145  0.00519901
          31     2.20845     2.18232  0.00510372
          32     2.18709     2.18247   0.0049464
          33      2.2081     2.18325  0.00485711
          34     2.21359     2.18414  0.00479553
          35     2.19713     2.18451  0.00467285
          36     2.20718     2.18514  0.00458527
          37     2.20177     2.18559  0.00448331
          38     2.19958     2.18596  0.00438042
          39     2.16362     2.18539  0.00430538
          40     2.18372     2.18534  0.00419795
          41     2.18009     2.18522  0.00409752
          42     2.21652     2.18596   0.0040672
          43     2.19822     2.18625  0.00398259
          44     2.19496     2.18644    0.003897
          45     2.20128     2.18677  0.00382433
          46     2.21016     2.18728  0.00377482
          47     2.21943     2.18797  0.00375595
          48     2.20446     2.18831  0.00369338
          49     2.21869     2.18893  0.00366966
          50     2.22479     2.18965  0.00366569
          51     2.22323     2.19031  0.00365247
          52     2.20331     2.19056  0.00359079
          53     2.19549     2.19065  0.00352424
          54      2.2187     2.19117  0.00349706
          55     2.21939     2.19168  0.00347092
          56       2.198     2.19179  0.00341077
          57     2.19306     2.19182  0.00335101
          58     2.17691     2.19156  0.00330307
          59     2.19165     2.19156  0.00324708
          60     2.19749     2.19166  0.00319447
          61       2.178     2.19144  0.00314994
          62     2.18051     2.19126  0.00310406
          63     2.21332     2.19161  0.00307447
          64     2.18299     2.19148  0.00302938
          65     2.18521     2.19138   0.0029843
          66     2.17971      2.1912  0.00294432
          67     2.19365     2.19124   0.0029006
          68     2.18017     2.19108  0.00286251
          69     2.19362     2.19111  0.00282126
          70     2.20191     2.19127  0.00278517
          71     2.18917     2.19124   0.0027461
          72     2.19533     2.19129  0.00270855
          73      2.1808     2.19115  0.00267526
          74     2.22498     2.19161  0.00267788
          75     2.17865     2.19143  0.00264775
          76     2.19331     2.19146  0.00261302
          77     2.19374     2.19149  0.00257926
          78     2.19317     2.19151  0.00254628
          79     2.20037     2.19162  0.00251651
          80     2.20182     2.19175  0.00248828
          81     2.17297     2.19152  0.00246834
          82     2.23064       2.192  0.00248392
          83     2.20963     2.19221  0.00246307
          84     2.17825     2.19204  0.00243935
          85     2.16595     2.19174  0.00242989
          86     2.16126     2.19138  0.00242734
          87     2.15855       2.191   0.0024286
          88     2.17045     2.19077  0.00241221
          89     2.21737     2.19107  0.00240355
          90     2.22932     2.19149  0.00241412
          91     2.18895     2.19147  0.00238775
          92     2.17247     2.19126  0.00237071
          93     2.18649     2.19121  0.00234577
          94     2.17652     2.19105  0.00232601
          95     2.19374     2.19108   0.0023017
          96      2.2101     2.19128  0.00228624
          97      2.1934      2.1913  0.00226277
          98     2.15671     2.19095  0.00226704
          99     2.16193     2.19065  0.00226301
         100     2.17529      2.1905  0.00224559
