BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1           2           2           0
           2           2           2 5.16191e-08
           3           2           2 1.20445e-07
           4           2           2 2.13872e-07
           5           2           2 3.21534e-07
           6           2           2 4.42709e-07
           7           2           2 5.75248e-07
           8     2.00001           2 7.18431e-07
           9     2.00001           2 8.71658e-07
          10     2.00001           2 1.03406e-06
          11     2.00001           2 1.20526e-06
          12     2.00001     2.00001 1.38482e-06
          13     2.00002     2.00001 1.57241e-06
          14     2.00002     2.00001  1.7676e-06
          15     2.00002     2.00001 1.97014e-06
          16     2.00003     2.00001 2.17978e-06
          17     2.00003     2.00001 2.39627e-06
          18     2.00004     2.00001 2.61942e-06
          19     2.00004     2.00001 2.84905e-06
          20     2.00004     2.00002 3.08494e-06
          21     2.00005     2.00002 3.32695e-06
          22     2.00005     2.00002 3.57495e-06
          23     2.00006     2.00002 3.82877e-06
          24     2.00006     2.00002 4.08831e-06
          25     2.00007     2.00002 4.35344e-06
          26     2.00008     2.00003 4.62405e-06
          27     2.00008     2.00003 4.90004e-06
          28     2.00009     2.00003  5.1813e-06
          29      2.0001     2.00003 5.46774e-06
          30      2.0001     2.00003 5.75929e-06
          31     2.00011     2.00004 6.05585e-06
          32     2.00012     2.00004 6.35736e-06
          33     2.00012     2.00004 6.66373e-06
          34     2.00013     2.00004 6.97491e-06
          35     2.00014     2.00005 7.29083e-06
          36     2.00015     2.00005 7.61143e-06
          37     2.00016     2.00005 7.93664e-06
          38     2.00017     2.00006 8.26641e-06
          39     2.00018     2.00006  8.6007e-06
          40     2.00018     2.00006 8.93945e-06
          41     2.00019     2.00007 9.28261e-06
          42      2.0002     2.00007 9.63014e-06
          43     2.00021     2.00007 9.98205e-06
          44     2.00022     2.00008 1.03384e-05
          45     2.00024     2.00008 1.06992e-05
          46     2.00025     2.00008 1.10644e-05
          47     2.00026     2.00009  1.1434e-05
          48     2.00027     2.00009 1.18079e-05
          49     2.00028     2.00009 1.21862e-05
          50     2.00029      2.0001 1.25689e-05
          51      2.0003      2.0001 1.29558e-05
          52     2.00032     2.00011  1.3347e-05
          53     2.00033     2.00011 1.37424e-05
          54     2.00034     2.00011 1.41419e-05
          55     2.00036     2.00012 1.45456e-05
          56     2.00037     2.00012 1.49535e-05
          57     2.00038     2.00013 1.53656e-05
          58      2.0004     2.00013 1.57818e-05
          59     2.00041     2.00014 1.62022e-05
          60     2.00043     2.00014 1.66267e-05
          61     2.00044     2.00015 1.70552e-05
          62     2.00046     2.00015 1.74878e-05
          63     2.00047     2.00016 1.79244e-05
          64     2.00049     2.00016 1.83651e-05
          65      2.0005     2.00017 1.88098e-05
          66     2.00052     2.00017 1.92586e-05
          67     2.00053     2.00018 1.97115e-05
          68     2.00055     2.00018 2.01685e-05
          69     2.00057     2.00019 2.06295e-05
          70     2.00058      2.0002 2.10947e-05
          71      2.0006      2.0002 2.15638e-05
          72     2.00062     2.00021  2.2037e-05
          73     2.00064     2.00021 2.25142e-05
          74     2.00066     2.00022 2.29954e-05
          75     2.00068     2.00022 2.34806e-05
          76     2.00069     2.00023 2.39697e-05
          77     2.00071     2.00024 2.44628e-05
          78     2.00073     2.00024 2.49599e-05
          79     2.00075     2.00025  2.5461e-05
          80     2.00077     2.00026 2.59661e-05
          81     2.00079     2.00026 2.64751e-05
          82     2.00081     2.00027 2.69881e-05
          83     2.00083     2.00028 2.75053e-05
          84     2.00085     2.00028 2.80265e-05
          85     2.00088     2.00029 2.85518e-05
          86      2.0009      2.0003 2.90812e-05
          87     2.00092      2.0003 2.96146e-05
          88     2.00094     2.00031 3.01522e-05
          89     2.00097     2.00032 3.06938e-05
          90     2.00099     2.00033 3.12395e-05
          91     2.00101     2.00033 3.17892e-05
          92     2.00103     2.00034  3.2343e-05
          93     2.00106     2.00035 3.29009e-05
          94     2.00108     2.00036 3.34628e-05
          95     2.00111     2.00037 3.40288e-05
          96     2.00113     2.00037 3.45988e-05
          97     2.00116     2.00038 3.51729e-05
          98     2.00118     2.00039  3.5751e-05
          99     2.00121      2.0004 3.63332e-05
         100     2.00123     2.00041 3.69195e-05
         101     2.00126     2.00041 3.75099e-05
         102     2.00129     2.00042 3.81043e-05
         103     2.00131     2.00043 3.87027e-05
         104     2.00134     2.00044 3.93052e-05
         105     2.00137     2.00045 3.99117e-05
         106      2.0014     2.00046 4.05222e-05
         107     2.00142     2.00047 4.11367e-05
         108     2.00145     2.00048 4.17553e-05
         109     2.00148     2.00049 4.23779e-05
         110     2.00151     2.00049 4.30046e-05
         111     2.00154      2.0005 4.36354e-05
         112     2.00157     2.00051 4.42704e-05
         113      2.0016     2.00052 4.49094e-05
         114     2.00163     2.00053 4.55525e-05
         115     2.00166     2.00054 4.61997e-05
         116     2.00169     2.00055  4.6851e-05
         117     2.00172     2.00056 4.75064e-05
         118     2.00175     2.00057 4.81659e-05
         119     2.00179     2.00058 4.88295e-05
         120     2.00182     2.00059 4.94973e-05
         121     2.00185      2.0006 5.01692e-05
         122     2.00189     2.00061 5.08452e-05
         123     2.00192     2.00062 5.15254e-05
         124     2.00195     2.00064 5.22097e-05
         125     2.00199     2.00065 5.28983e-05
         126     2.00202     2.00066  5.3591e-05
         127     2.00206     2.00067  5.4288e-05
         128     2.00209     2.00068 5.49892e-05
         129     2.00213     2.00069 5.56946e-05
         130     2.00216      2.0007 5.64043e-05
         131      2.0022     2.00071 5.71183e-05
         132     2.00223     2.00072 5.78365e-05
         133     2.00227     2.00074  5.8559e-05
         134     2.00231     2.00075 5.92858e-05
         135     2.00235     2.00076  6.0017e-05
         136     2.00238     2.00077 6.07525e-05
         137     2.00242     2.00078 6.14923e-05
         138     2.00246      2.0008 6.22366e-05
         139      2.0025     2.00081 6.29852e-05
         140     2.00254     2.00082 6.37382e-05
         141     2.00258     2.00083 6.44956e-05
         142     2.00262     2.00085 6.52574e-05
         143     2.00266     2.00086 6.60236e-05
         144      2.0027     2.00087 6.67943e-05
         145     2.00274     2.00088 6.75695e-05
         146     2.00278      2.0009 6.83492e-05
         147     2.00283     2.00091 6.91333e-05
         148     2.00287     2.00092  6.9922e-05
         149     2.00291     2.00094 7.07152e-05
         150     2.00296     2.00095  7.1513e-05
         151       2.003     2.00096 7.23155e-05
