BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.96718     2.96718           0
           2     2.96717     2.96718 4.27619e-06
           3     2.96727     2.96721 2.49493e-05
           4     2.96722     2.96721 1.88838e-05
           5     2.96723     2.96721 1.57431e-05
           6     2.96704     2.96718 2.96797e-05
           7     2.96715     2.96718 2.58633e-05
           8     2.96712     2.96717 2.37044e-05
           9     2.96708     2.96716 2.31793e-05
          10     2.96712     2.96716 2.13158e-05
          11     2.96704     2.96715 2.17054e-05
          12     2.96728     2.96716 2.26924e-05
          13     2.96718     2.96716  2.1023e-05
          14     2.96711     2.96716 1.98143e-05
          15      2.9673     2.96717  2.0639e-05
          16     2.96709     2.96716  1.9949e-05
          17     2.96717     2.96716 1.87815e-05
          18     2.96721     2.96716 1.79084e-05
          19     2.96708     2.96716 1.74623e-05
          20     2.96712     2.96716 1.66782e-05
          21     2.96731     2.96717  1.7335e-05
          22     2.96714     2.96716 1.65978e-05
          23     2.96711     2.96716 1.60562e-05
          24     2.96724     2.96716 1.57117e-05
          25      2.9671     2.96716 1.52907e-05
          26     2.96701     2.96716  1.5731e-05
          27     2.96716     2.96716 1.51497e-05
          28     2.96706     2.96715 1.50309e-05
          29     2.96714     2.96715 1.45211e-05
          30     2.96732     2.96716 1.50686e-05
          31     2.96706     2.96715 1.49325e-05
          32     2.96725     2.96716 1.47805e-05
          33     2.96708     2.96716 1.45417e-05
          34     2.96706     2.96715 1.43883e-05
          35     2.96725     2.96716 1.42499e-05
          36     2.96718     2.96716 1.38772e-05
          37     2.96704     2.96715 1.38648e-05
          38     2.96717     2.96715 1.35063e-05
          39     2.96721     2.96715 1.32288e-05
          40     2.96709     2.96715 1.29988e-05
          41     2.96709     2.96715 1.27751e-05
          42     2.96713     2.96715 1.24781e-05
          43     2.96717     2.96715 1.21993e-05
          44     2.96708     2.96715 1.20158e-05
          45     2.96706     2.96715 1.19231e-05
          46     2.96708     2.96715 1.17571e-05
          47     2.96705     2.96714 1.16719e-05
          48     2.96688     2.96714 1.27029e-05
          49     2.96692     2.96713 1.32396e-05
          50     2.96704     2.96713 1.31024e-05
          51     2.96719     2.96713  1.2893e-05
          52     2.96709     2.96713 1.26757e-05
          53     2.96711     2.96713  1.2443e-05
          54     2.96691     2.96713 1.28734e-05
          55     2.96715     2.96713 1.26483e-05
          56     2.96704     2.96713 1.25119e-05
          57     2.96711     2.96713  1.2297e-05
          58     2.96708     2.96713 1.21115e-05
          59     2.96703     2.96712 1.20228e-05
          60     2.96718     2.96713 1.18628e-05
          61     2.96726     2.96713 1.18827e-05
          62     2.96705     2.96713 1.17597e-05
          63     2.96705     2.96713 1.16325e-05
          64     2.96718     2.96713 1.14835e-05
          65      2.9673     2.96713 1.16021e-05
          66     2.96709     2.96713 1.14429e-05
          67     2.96717     2.96713 1.12923e-05
          68     2.96728     2.96713  1.1332e-05
          69     2.96715     2.96713 1.11704e-05
          70     2.96714     2.96713 1.10121e-05
          71     2.96715     2.96713 1.08595e-05
          72     2.96706     2.96713 1.07512e-05
          73     2.96717     2.96713 1.06172e-05
          74     2.96712     2.96713 1.04741e-05
          75     2.96708     2.96713 1.03595e-05
          76     2.96705     2.96713 1.02817e-05
          77     2.96717     2.96713 1.01648e-05
          78     2.96706     2.96713 1.00724e-05
          79     2.96703     2.96713 1.00163e-05
          80     2.96721     2.96713 9.93967e-06
          81     2.96727     2.96713 9.96108e-06
          82     2.96707     2.96713 9.86927e-06
          83      2.9671     2.96713 9.75699e-06
          84     2.96704     2.96713 9.69479e-06
          85     2.96708     2.96713 9.59429e-06
          86     2.96714     2.96713 9.48358e-06
          87      2.9672     2.96713  9.4098e-06
          88     2.96707     2.96713 9.33008e-06
          89     2.96691     2.96713 9.54821e-06
          90     2.96707     2.96712 9.46293e-06
          91     2.96735     2.96713 9.67357e-06
          92     2.96705     2.96713 9.60952e-06
          93     2.96721     2.96713  9.5461e-06
          94     2.96719     2.96713 9.46719e-06
          95     2.96718     2.96713 9.38138e-06
          96     2.96707     2.96713 9.30531e-06
          97     2.96728     2.96713 9.34761e-06
          98     2.96715     2.96713 9.25525e-06
          99     2.96708     2.96713 9.17549e-06
         100     2.96714     2.96713 9.08402e-06
