n_block r_average errore
1 5.20611 0
2 5.12796 0.0781529
3 5.13553 0.0457518
4 5.12047 0.0356837
5 5.06994 0.0575932
6 5.07521 0.0473183
7 5.08343 0.0408275
8 5.08917 0.035821
9 5.05727 0.0448978
10 5.0538 0.040307
11 5.04143 0.0385004
12 5.05723 0.0385332
13 5.03971 0.0395383
14 5.03847 0.0366264
15 5.02677 0.0360493
16 5.02966 0.0338452
17 5.02108 0.0329313
18 5.02314 0.0311161
19 5.02634 0.0296064
20 5.0295 0.0282643
21 5.02289 0.0276837
22 5.03097 0.0276038
23 5.02361 0.0273837
24 5.02734 0.0264821
25 5.02546 0.0254703
26 5.0225 0.0246503
27 5.01559 0.024705
28 5.01173 0.0241165
29 5.00835 0.0235144
30 5.00627 0.0228123
31 5.00944 0.0222898
32 5.00662 0.0217652
33 5.00504 0.0211544
34 5.0096 0.0210237
35 5.0176 0.0219266
36 5.0259 0.0228688
37 5.02181 0.0226161
38 5.01733 0.0224639
39 5.01637 0.0219012
40 5.01568 0.0213578
41 5.0155 0.0208312
42 5.01524 0.0203308
43 5.01275 0.0200083
44 5.0127 0.0195483
45 5.01575 0.0193502
46 5.01665 0.0189461
47 5.0145 0.0186625
48 5.01629 0.0183575
49 5.0157 0.0179886
50 5.01658 0.0176471
51 5.01455 0.0174167
52 5.01515 0.017089
53 5.01313 0.0168841
54 5.01289 0.0165702
55 5.0095 0.016616
56 5.01257 0.016603
57 5.01127 0.0163612
58 5.00698 0.0166394
59 5.00424 0.0165833
60 5.0063 0.0164351
61 5.00788 0.0162403
62 5.01071 0.016225
63 5.01182 0.016004
64 5.01039 0.0158171
65 5.00634 0.0160888
66 5.00348 0.0161005
67 5.00297 0.0158665
68 5.00266 0.0156345
69 5.00369 0.0154406
70 5.00314 0.0152285
71 4.99938 0.0154738
72 5.00037 0.0152892
73 5.00161 0.0151294
74 5.00445 0.015191
75 5.00577 0.0150447
76 5.00788 0.0149946
77 5.00697 0.0148265
78 5.00707 0.0146356
79 5.00755 0.014457
80 5.00768 0.0142757
81 5.00798 0.0141015
82 5.01096 0.0142448
83 5.00892 0.0142193
84 5.00939 0.014057
85 5.00795 0.0139653
86 5.00861 0.0138176
87 5.00995 0.0137235
88 5.01092 0.0136015
89 5.01048 0.013455
90 5.01111 0.0133197
91 5.00934 0.0132918
92 5.00875 0.0131596
93 5.00745 0.0130819
94 5.007 0.0129499
95 5.00708 0.0128131
96 5.00912 0.0128417
97 5.00973 0.012723
98 5.00918 0.0126042
99 5.00789 0.0125435
100 5.00606 0.0125516
101 5.00396 0.0126023
102 5.00266 0.0125458
103 5.00234 0.0124276
104 5.00532 0.0126637
105 5.0042 0.0125924
106 5.0034 0.0124987
107 5.00379 0.0123876
108 5.0028 0.0123122
109 5.00117 0.0123077
110 5.00382 0.0124807
111 5.00262 0.0124259
112 5.00082 0.0124459
113 5.00167 0.012365
114 4.99885 0.0125765
115 4.99779 0.0125115
116 4.99875 0.0124401
117 4.99888 0.012334
118 4.99943 0.0122412
119 5.00127 0.0122772
120 5.00408 0.0124941
121 5.00319 0.0124225
122 5.00139 0.012451
123 5.00029 0.0123979
124 5.00053 0.0122999
125 5.00284 0.0124176
126 5.0025 0.0123233
127 5.00225 0.0122285
128 5.00367 0.0122158
129 5.00402 0.0121257
130 5.00631 0.0122477
131 5.0063 0.0121539
132 5.00664 0.0120662
133 5.00632 0.0119794
134 5.00473 0.0119963
135 5.00395 0.0119322
136 5.00655 0.0121249
137 5.00704 0.0120463
138 5.00736 0.0119629
139 5.00777 0.0118837
140 5.00878 0.0118416
141 5.00902 0.0117597
142 5.01036 0.0117538
143 5.01008 0.0116748
144 5.01054 0.0116027
145 5.0121 0.0116272
146 5.01093 0.0116063
147 5.01182 0.0115615
148 5.01218 0.0114887
149 5.01049 0.0115361
150 5.01034 0.0114599
151 5.00856 0.0115225
152 5.00994 0.0115302
153 5.01127 0.0115309
154 5.01291 0.0115725
155 5.0132 0.0115014
156 5.01163 0.0115354
157 5.01292 0.0115341
158 5.01279 0.0114616
159 5.01428 0.011487
160 5.0133 0.011457
161 5.01331 0.0113856
162 5.01262 0.0113363
163 5.01369 0.0113172
164 5.01325 0.0112565
165 5.01256 0.0112092
166 5.01355 0.0111847
167 5.01277 0.0111449
168 5.01343 0.0110982
169 5.01315 0.0110358
170 5.01374 0.0109863
171 5.01376 0.0109219
172 5.0132 0.0108722
173 5.01412 0.0108475
174 5.01349 0.0108032
175 5.01344 0.0107414
176 5.01442 0.0107252
177 5.01468 0.0106676
178 5.0141 0.0106233
179 5.0137 0.0105717
180 5.0142 0.0105247
181 5.01332 0.0105031
182 5.01221 0.0105038
183 5.01295 0.0104722
184 5.01253 0.0104237
185 5.01147 0.0104206
186 5.01099 0.0103755
187 5.01018 0.0103516
188 5.01036 0.0102979
189 5.00984 0.0102563
190 5.0097 0.0102031
191 5.00887 0.0101841
192 5.00895 0.0101312
193 5.00801 0.0101219
194 5.00885 0.0101043
195 5.00797 0.0100905
196 5.00743 0.0100535
197 5.0074 0.0100024
198 5.00821 0.00998455
199 5.00817 0.00993434
200 5.00828 0.00988511
