n_block r_average errore
1 9.60722 0
2 7.39571 2.21151
3 6.62939 1.48913
4 6.21001 1.13342
5 5.98301 0.906813
6 5.81565 0.759089
7 5.73659 0.6464
8 5.67426 0.563258
9 5.58708 0.504339
10 5.51714 0.456484
11 5.48413 0.414223
12 5.45914 0.378957
13 5.41201 0.351762
14 5.38221 0.327028
15 5.34714 0.30646
16 5.33195 0.287069
17 5.29634 0.271996
18 5.28752 0.256592
19 5.27829 0.242887
20 5.26043 0.231114
21 5.24311 0.220515
22 5.23016 0.210651
23 5.21453 0.201889
24 5.20055 0.193799
25 5.19115 0.186124
26 5.18943 0.17883
27 5.18284 0.172205
28 5.17425 0.166164
29 5.17284 0.160338
30 5.16327 0.155196
31 5.15765 0.150212
32 5.15009 0.145638
33 5.14205 0.141385
34 5.13883 0.137201
35 5.14377 0.133315
36 5.14646 0.129587
37 5.13665 0.126417
38 5.13291 0.123103
39 5.12589 0.120109
40 5.1241 0.117082
41 5.11898 0.114305
42 5.11284 0.11172
43 5.11039 0.109118
44 5.10668 0.106674
45 5.10577 0.10428
46 5.1077 0.102006
47 5.10162 0.0999971
48 5.10197 0.0978923
49 5.10348 0.0958857
50 5.10334 0.0939485
51 5.10031 0.0921377
52 5.09918 0.0903556
53 5.09281 0.0888627
54 5.0901 0.0872437
55 5.08656 0.085716
56 5.08867 0.0841979
57 5.08339 0.0828758
58 5.07864 0.0815728
59 5.07223 0.0804338
60 5.07212 0.079082
61 5.07065 0.0777885
62 5.07036 0.0765241
63 5.06739 0.0753582
64 5.06953 0.0742024
65 5.06481 0.0732042
66 5.06127 0.0721732
67 5.05916 0.0711193
68 5.05966 0.0700674
69 5.0599 0.0690449
70 5.061 0.0680602
71 5.059 0.0671244
72 5.05956 0.0661879
73 5.05682 0.0653324
74 5.05642 0.0644447
75 5.05759 0.0635903
76 5.05702 0.0627506
77 5.0549 0.0619667
78 5.05556 0.0611707
79 5.05481 0.0603961
80 5.05141 0.0597332
81 5.05229 0.0589976
82 5.05224 0.0582737
83 5.04896 0.0576604
84 5.0491 0.05697
85 5.04471 0.0564668
86 5.04432 0.0558078
87 5.04474 0.0551642
88 5.04746 0.0546014
89 5.04728 0.0539847
90 5.04541 0.0534144
91 5.04329 0.0528665
92 5.04285 0.0522905
93 5.04232 0.051728
94 5.04157 0.0511801
95 5.04116 0.0506402
96 5.04171 0.0501131
97 5.03919 0.0496579
98 5.03849 0.0491535
99 5.0379 0.0486581
100 5.03615 0.0482011
101 5.03344 0.047798
102 5.03253 0.0473358
103 5.03264 0.0468741
104 5.03536 0.0465011
105 5.03419 0.046071
106 5.0329 0.0456524
107 5.03255 0.0452251
108 5.0322 0.0448058
109 5.03145 0.0443991
110 5.03466 0.0441104
111 5.03382 0.0437194
112 5.0326 0.0433444
113 5.03253 0.0429591
114 5.0311 0.0426045
115 5.02953 0.0422617
116 5.02785 0.0419296
117 5.02621 0.0416019
118 5.02721 0.04126
119 5.02745 0.0409125
120 5.03025 0.0406668
121 5.02904 0.0403476
122 5.02719 0.0400581
123 5.02663 0.039735
124 5.02818 0.0394434
125 5.03063 0.0392037
126 5.03117 0.0388951
127 5.03095 0.0385883
128 5.03066 0.0382868
129 5.02931 0.0380127
130 5.03043 0.0377359
131 5.03063 0.0374473
132 5.03148 0.0371723
133 5.03124 0.0368925
134 5.0298 0.0366444
135 5.02861 0.0363915
136 5.02926 0.0361288
137 5.0305 0.0358856
138 5.03073 0.0356254
139 5.03182 0.0353848
140 5.03102 0.0351401
141 5.03166 0.0348958
142 5.03211 0.0346521
143 5.03332 0.0344302
144 5.03226 0.0342066
145 5.03355 0.0339944
146 5.03205 0.0337938
147 5.03233 0.0335643
148 5.03242 0.0333368
149 5.03162 0.0331222
150 5.03222 0.0329061
151 5.03023 0.0327481
152 5.03132 0.0325502
153 5.03128 0.0323368
154 5.0317 0.032129
155 5.03219 0.0319247
156 5.03092 0.0317448
157 5.03056 0.031544
158 5.03042 0.0313441
159 5.0313 0.0311588
160 5.03153 0.0309643
161 5.03131 0.0307722
162 5.03136 0.0305817
163 5.03317 0.0304475
164 5.0323 0.0302738
165 5.0324 0.0300899
166 5.03259 0.0299087
167 5.03169 0.0297426
168 5.03195 0.0295661
169 5.03189 0.0293907
170 5.03226 0.0292196
171 5.03242 0.0290487
172 5.03294 0.0288839
173 5.03281 0.0287168
174 5.03238 0.0285544
175 5.03124 0.0284137
176 5.03215 0.0282665
177 5.03228 0.0281066
178 5.0331 0.0279603
179 5.03212 0.0278208
180 5.03267 0.0276712
181 5.03323 0.0275237
182 5.03344 0.0273729
183 5.03293 0.0272277
184 5.03249 0.0270828
185 5.03091 0.0269824
186 5.03082 0.0268371
187 5.03088 0.0266933
188 5.03087 0.0265509
189 5.02948 0.0264468
190 5.02981 0.0263094
191 5.02947 0.0261735
192 5.02956 0.026037
193 5.02886 0.0259111
194 5.02978 0.0257934
195 5.02807 0.0257175
196 5.02819 0.0255862
197 5.028 0.0254567
198 5.02763 0.0253304
199 5.02806 0.0252064
200 5.02817 0.0250803
