n_block r_average errore
1 4.97803 0
2 5.01854 0.040509
3 5.09808 0.0829114
4 5.12979 0.0666553
5 5.08388 0.0690912
6 5.0862 0.0564605
7 5.0757 0.0488599
8 5.0725 0.0424348
9 5.05997 0.0394651
10 5.0511 0.0363962
11 5.05659 0.0333751
12 5.04406 0.03294
13 5.0262 0.0351743
14 5.02261 0.0327622
15 5.02861 0.0310846
16 5.04169 0.031884
17 5.03941 0.0300368
18 5.04517 0.0288982
19 5.03903 0.0280142
20 5.03578 0.0267752
21 5.03012 0.0260902
22 5.03153 0.0249164
23 5.03505 0.0240661
24 5.03716 0.0231381
25 5.03912 0.0222798
26 5.04351 0.0218506
27 5.04382 0.021028
28 5.05065 0.0213852
29 5.0457 0.0212198
30 5.05228 0.0215287
31 5.05216 0.020823
32 5.04554 0.0212195
33 5.04866 0.0208011
34 5.05137 0.0203618
35 5.04537 0.0206626
36 5.03719 0.0216812
37 5.04183 0.0215908
38 5.05046 0.0227175
39 5.04445 0.0229293
40 5.03853 0.023119
41 5.03353 0.0230967
42 5.03158 0.0226236
43 5.03108 0.0220969
44 5.03435 0.0218348
45 5.03525 0.0213631
46 5.03672 0.020945
47 5.04132 0.0210045
48 5.03934 0.0206571
49 5.03739 0.0203253
50 5.04115 0.0202663
51 5.03843 0.0200503
52 5.03488 0.019978
53 5.0337 0.0196331
54 5.03077 0.0194878
55 5.02811 0.0193137
56 5.03086 0.0191636
57 5.03008 0.0188405
58 5.03186 0.0185986
59 5.03112 0.0182959
60 5.03006 0.0180193
61 5.02949 0.0177306
62 5.02835 0.0174792
63 5.02962 0.0172463
64 5.03151 0.0170794
65 5.03171 0.0168157
66 5.02747 0.0170932
67 5.02655 0.0168611
68 5.02198 0.0172288
69 5.0176 0.0175333
70 5.01779 0.0172821
71 5.02221 0.0176
72 5.02486 0.0175545
73 5.02325 0.0173865
74 5.02145 0.0172446
75 5.02293 0.0170778
76 5.02103 0.0169585
77 5.02056 0.0167434
78 5.01737 0.0168327
79 5.02034 0.0168817
80 5.01985 0.0166765
81 5.01909 0.0164868
82 5.0169 0.0164313
83 5.0171 0.0162333
84 5.01555 0.0161134
85 5.01561 0.0159229
86 5.01539 0.0157382
87 5.01175 0.0159764
88 5.01141 0.0157973
89 5.01352 0.0157605
90 5.01081 0.0158187
91 5.01267 0.0157546
92 5.01068 0.0157092
93 5.00832 0.015718
94 5.00728 0.0155843
95 5.00951 0.0155789
96 5.00972 0.0154172
97 5.00746 0.0154237
98 5.00943 0.0153927
99 5.00908 0.0152405
100 5.00968 0.0150989
101 5.00854 0.0149916
102 5.00734 0.0148925
103 5.00445 0.0150284
104 5.00333 0.0149251
105 5.00458 0.014835
106 5.00377 0.0147164
107 5.00192 0.0146957
108 4.9992 0.0148109
109 4.99958 0.0146794
110 4.99855 0.0145815
111 4.99538 0.0147936
112 4.9958 0.014667
113 4.99725 0.0146082
114 4.99478 0.0146885
115 4.9951 0.0145638
116 4.99445 0.0144523
117 4.99617 0.0144318
118 4.9971 0.0143391
119 4.99851 0.0142871
120 4.99694 0.0142542
121 4.99521 0.0142414
122 4.99494 0.0141268
123 4.99805 0.0143524
124 4.9992 0.014283
125 5.00087 0.0142656
126 5.00007 0.0141745
127 4.99828 0.0141756
128 4.9987 0.0140707
129 5.00026 0.0140481
130 4.9988 0.0140159
131 4.99913 0.0139125
132 4.99809 0.0138461
133 4.99837 0.0137446
134 4.99789 0.0136502
135 4.99946 0.0136399
136 4.99716 0.0137325
137 4.99766 0.0136408
138 4.99742 0.0135436
139 4.99817 0.0134666
140 4.99811 0.0133702
141 4.9987 0.0132879
142 4.99735 0.0132629
143 4.99728 0.0131699
144 4.99624 0.0131202
145 4.99781 0.0131237
146 4.99876 0.0130685
147 4.99681 0.0131247
148 4.99757 0.0130576
149 4.99588 0.0130792
150 4.99517 0.0130113
151 4.99547 0.0129284
152 4.99473 0.0128645
153 4.99468 0.0127803
154 4.99411 0.0127101
155 4.99444 0.0126321
156 4.99392 0.0125616
157 4.9946 0.0124999
158 4.99538 0.012445
159 4.99579 0.0123732
160 4.99553 0.0122982
161 4.99631 0.0122463
162 4.9964 0.0121707
163 4.99544 0.0121339
164 4.99491 0.0120712
165 4.99581 0.012031
166 4.99548 0.0119628
167 4.99686 0.0119708
168 4.99765 0.0119254
169 4.99837 0.0118766
170 4.99788 0.0118167
171 4.99608 0.0118853
172 4.99576 0.0118204
173 4.99575 0.0117518
174 4.99651 0.0117087
175 4.99734 0.011671
176 4.99815 0.0116325
177 4.99904 0.011601
178 4.99976 0.0115583
179 4.99989 0.0114943
180 5.00058 0.0114508
181 5.00083 0.0113901
182 5.00083 0.0113273
183 5.0011 0.0112686
184 5.00111 0.0112072
185 5.00163 0.0111586
186 5.00125 0.0111047
187 5.00113 0.0110459
188 4.9993 0.011138
189 4.99796 0.0111589
190 4.99898 0.0111463
191 4.99946 0.0110982
192 5.0007 0.0111094
193 4.99937 0.0111313
194 4.99881 0.011088
195 4.99831 0.0110422
196 4.99761 0.0110077
197 4.99778 0.0109529
198 4.99852 0.0109226
199 4.99658 0.0110394
200 4.99542 0.0110448
