n_block r_average errore
1 11.2909 0
2 8.14167 3.14925
3 7.16268 2.06503
4 6.5935 1.56721
5 6.34501 1.23913
6 6.16895 1.02695
7 5.97146 0.890114
8 5.83811 0.78231
9 5.75146 0.695352
10 5.67952 0.626089
11 5.60396 0.571338
12 5.55283 0.524057
13 5.52218 0.483036
14 5.48546 0.44871
15 5.44254 0.419925
16 5.41527 0.393749
17 5.39175 0.37061
18 5.37414 0.349858
19 5.35978 0.331244
20 5.35894 0.314247
21 5.34186 0.299395
22 5.32829 0.285785
23 5.31843 0.273255
24 5.31408 0.261658
25 5.30858 0.251034
26 5.30706 0.24119
27 5.29693 0.232306
28 5.28829 0.224022
29 5.28066 0.216294
30 5.27734 0.208986
31 5.26724 0.202385
32 5.26359 0.195992
33 5.2592 0.190011
34 5.24857 0.184644
35 5.24283 0.179383
36 5.2363 0.174451
37 5.23313 0.1697
38 5.22264 0.165507
39 5.2184 0.161263
40 5.21934 0.157183
41 5.20805 0.153715
42 5.2011 0.150172
43 5.19869 0.146658
44 5.19261 0.143415
45 5.18763 0.14028
46 5.18565 0.137211
47 5.18651 0.134263
48 5.18215 0.131508
49 5.18269 0.128797
50 5.17863 0.12626
51 5.17296 0.12389
52 5.17417 0.12149
53 5.17106 0.119216
54 5.16957 0.116997
55 5.16427 0.114973
56 5.15997 0.112983
57 5.15806 0.110999
58 5.15636 0.109082
59 5.15382 0.107247
60 5.15407 0.105445
61 5.14939 0.103808
62 5.14847 0.102124
63 5.14551 0.100533
64 5.14197 0.099013
65 5.1375 0.0975805
66 5.14028 0.0961308
67 5.13738 0.0947295
68 5.13421 0.0933798
69 5.12875 0.0921784
70 5.12566 0.0909043
71 5.12208 0.0896864
72 5.11921 0.0884785
73 5.11984 0.0872603
74 5.11847 0.086084
75 5.11736 0.0849357
76 5.11507 0.083842
77 5.11543 0.0827468
78 5.11493 0.0816806
79 5.11145 0.080715
80 5.11058 0.0797044
81 5.11629 0.0789213
82 5.11499 0.0779638
83 5.11082 0.0771313
84 5.10963 0.0762169
85 5.10783 0.0753363
86 5.10794 0.0744553
87 5.1082 0.0735949
88 5.10826 0.0727538
89 5.10446 0.0720322
90 5.1036 0.0712325
91 5.10524 0.0704645
92 5.10178 0.0697804
93 5.10076 0.0690335
94 5.09657 0.0684239
95 5.09281 0.0678038
96 5.09357 0.067098
97 5.09376 0.066403
98 5.09095 0.0657819
99 5.09031 0.0651173
100 5.09169 0.0644776
101 5.09195 0.0638366
102 5.09059 0.0632224
103 5.08849 0.0626407
104 5.08626 0.0620757
105 5.08575 0.0614838
106 5.083 0.0609628
107 5.08395 0.0603977
108 5.08418 0.0598364
109 5.08207 0.0593225
110 5.07779 0.0589358
111 5.07716 0.0584058
112 5.07403 0.0579665
113 5.07033 0.0575701
114 5.06899 0.0570787
115 5.0694 0.0565817
116 5.06743 0.0561263
117 5.06819 0.0556497
118 5.06784 0.0551771
119 5.06679 0.0547217
120 5.06657 0.0542642
121 5.06414 0.0538687
122 5.06466 0.0534278
123 5.06276 0.0530255
124 5.06227 0.0525985
125 5.06452 0.0522247
126 5.0655 0.0518178
127 5.06392 0.0514325
128 5.06131 0.0510961
129 5.05891 0.0507551
130 5.0589 0.0503631
131 5.06034 0.049998
132 5.05934 0.0496276
133 5.05929 0.0492531
134 5.05793 0.0489032
135 5.05763 0.0485405
136 5.05803 0.048184
137 5.05842 0.0478326
138 5.058 0.0474865
139 5.05784 0.047144
140 5.05783 0.046806
141 5.05681 0.046484
142 5.05502 0.0461903
143 5.05608 0.0458782
144 5.05548 0.0455624
145 5.05593 0.0452494
146 5.05579 0.0449386
147 5.05627 0.0446344
148 5.05857 0.0443913
149 5.05553 0.0441974
150 5.0558 0.0439026
151 5.05527 0.0436141
152 5.05515 0.0433264
153 5.05374 0.0430654
154 5.05277 0.0427958
155 5.0543 0.0425463
156 5.05221 0.0423241
157 5.05156 0.0420587
158 5.05227 0.0417977
159 5.05294 0.0415393
160 5.05315 0.0412794
161 5.05345 0.0410234
162 5.0528 0.0407745
163 5.05434 0.0405529
164 5.05475 0.0403069
165 5.05374 0.0400747
166 5.05381 0.0398326
167 5.05461 0.0396013
168 5.05448 0.0393651
169 5.05515 0.0391371
170 5.05475 0.0389083
171 5.05532 0.0386843
172 5.05442 0.0384692
173 5.05357 0.0382557
174 5.05218 0.0380606
175 5.052 0.0378429
176 5.05262 0.0376323
177 5.05252 0.0374192
178 5.05233 0.0372089
179 5.05243 0.0370006
180 5.05332 0.0368052
181 5.05294 0.0366033
182 5.05273 0.0364022
183 5.05257 0.0362031
184 5.05239 0.0360063
185 5.05289 0.0358146
186 5.05261 0.0356226
187 5.05102 0.0354676
188 5.05041 0.0352837
189 5.05015 0.0350974
190 5.0492 0.0349253
191 5.04775 0.034772
192 5.04754 0.0345911
193 5.04713 0.0344138
194 5.04728 0.0342363
195 5.04593 0.0340872
196 5.04527 0.0339192
197 5.04486 0.0337491
198 5.04394 0.0335907
199 5.0439 0.0334215
200 5.0442 0.0332553
