n_block r_average errore
1 1.53978 0
2 1.5335 0.00628129
3 1.50098 0.0327198
4 1.49718 0.0234465
5 1.51479 0.0252995
6 1.51761 0.0208484
7 1.50668 0.0207364
8 1.50285 0.0183605
9 1.49108 0.0200222
10 1.49501 0.0183353
11 1.48935 0.0175224
12 1.49354 0.0165351
13 1.48908 0.0158518
14 1.49756 0.016948
15 1.4891 0.0179026
16 1.48896 0.016747
17 1.49014 0.0157752
18 1.49305 0.0151559
19 1.48808 0.0151738
20 1.49358 0.0154114
21 1.48926 0.0152836
22 1.48724 0.0147115
23 1.48454 0.0143135
24 1.4857 0.0137531
25 1.48967 0.0137762
26 1.48924 0.013243
27 1.49077 0.0128351
28 1.48847 0.0125795
29 1.48558 0.0124773
30 1.48707 0.0121452
31 1.48517 0.0118997
32 1.48452 0.0115397
33 1.48533 0.0112138
34 1.48956 0.0116721
35 1.48685 0.0116548
36 1.4864 0.0113352
37 1.4875 0.0110791
38 1.48713 0.01079
39 1.48537 0.0106554
40 1.48362 0.0105317
41 1.48397 0.0102775
42 1.48381 0.0100312
43 1.48559 0.00995504
44 1.48648 0.00976686
45 1.48698 0.00956033
46 1.48751 0.00936532
47 1.48908 0.0092978
48 1.49141 0.00939628
49 1.49176 0.00920918
50 1.49297 0.00910311
51 1.49207 0.00896813
52 1.49199 0.00879433
53 1.49201 0.00862683
54 1.49319 0.00854755
55 1.49177 0.00851057
56 1.49081 0.00841204
57 1.49001 0.00830174
58 1.49077 0.00819263
59 1.49022 0.00807152
60 1.49056 0.0079435
61 1.49066 0.00781279
62 1.49113 0.00769992
63 1.48972 0.00770667
64 1.48781 0.00782253
65 1.48935 0.00785476
66 1.48958 0.00773829
67 1.49068 0.00770098
68 1.49139 0.00762015
69 1.49069 0.007542
70 1.49083 0.00743477
71 1.49018 0.007358
72 1.49116 0.00732089
73 1.49154 0.00722978
74 1.49235 0.00717733
75 1.49209 0.00708576
76 1.49259 0.00700979
77 1.49268 0.0069188
78 1.49228 0.00684152
79 1.49221 0.00675474
80 1.49243 0.00667358
81 1.4922 0.00659475
82 1.49326 0.00659951
83 1.4927 0.00654326
84 1.49212 0.0064907
85 1.49372 0.006609
86 1.49418 0.00654812
87 1.49445 0.00647786
88 1.4946 0.0064056
89 1.49421 0.00634514
90 1.49365 0.00629886
91 1.49345 0.00623243
92 1.49298 0.00618223
93 1.49323 0.00612037
94 1.49333 0.00605577
95 1.49311 0.00599572
96 1.49318 0.00593338
97 1.4934 0.00587602
98 1.49224 0.00593067
99 1.49265 0.00588453
100 1.49194 0.00586815
101 1.49225 0.00581803
102 1.49396 0.00600769
103 1.49345 0.00597069
104 1.49294 0.00593532
105 1.49275 0.00588153
106 1.49356 0.00588167
107 1.49313 0.0058423
108 1.49514 0.00612715
109 1.49525 0.00607169
110 1.49506 0.00601926
111 1.49526 0.00596832
112 1.49497 0.00592183
113 1.49481 0.00587145
114 1.4946 0.00582342
115 1.49483 0.00577708
116 1.49555 0.00577168
117 1.49575 0.00572565
118 1.49669 0.00575429
119 1.497 0.00571396
120 1.49604 0.00574536
121 1.49595 0.00569841
122 1.49696 0.00574114
123 1.49738 0.00570933
124 1.49698 0.00567731
125 1.49661 0.00564374
126 1.49706 0.00561702
127 1.49717 0.00557376
128 1.49815 0.0056151
129 1.49838 0.00557614
130 1.49851 0.00553468
131 1.49793 0.00552258
132 1.4979 0.00548066
133 1.49816 0.00544519
134 1.49847 0.00541336
135 1.49851 0.00537325
136 1.49815 0.00534527
137 1.49883 0.00534968
138 1.49893 0.0053117
139 1.49911 0.00527634
140 1.49918 0.00523893
141 1.49929 0.00520287
142 1.49943 0.00516796
143 1.49947 0.00513186
144 1.49883 0.0051368
145 1.49913 0.00511031
146 1.49923 0.00507617
147 1.49871 0.00506769
148 1.49879 0.00503389
149 1.49807 0.00505113
150 1.4993 0.00516509
151 1.49904 0.00513718
152 1.49938 0.00511456
153 1.49987 0.00510406
154 1.49933 0.00509902
155 1.49949 0.00506848
156 1.49969 0.00503981
157 1.49975 0.00500798
158 1.49981 0.00497656
159 1.49984 0.00494525
160 1.49958 0.00492087
161 1.50031 0.00494411
162 1.49972 0.00494884
163 1.49934 0.00493316
164 1.49933 0.00490301
165 1.49911 0.00487809
166 1.49952 0.00486661
167 1.49962 0.00483837
168 1.4993 0.0048203
169 1.49953 0.0047972
170 1.49975 0.004774
171 1.49984 0.00474678
172 1.50001 0.00472234
173 1.49965 0.0047086
174 1.50009 0.00470145
175 1.49979 0.00468413
176 1.49965 0.00465952
177 1.4991 0.00466585
178 1.49934 0.00464592
179 1.49946 0.00462136
180 1.49923 0.00460109
181 1.4993 0.00457617
182 1.49915 0.00455361
183 1.4987 0.00455057
184 1.49844 0.00453351
185 1.49794 0.00453575
186 1.49767 0.00451977
187 1.49724 0.0045162
188 1.49672 0.00452143
189 1.49684 0.00449899
190 1.49702 0.00447887
191 1.49694 0.00445602
192 1.49688 0.00443322
193 1.49638 0.00443836
194 1.49679 0.00443396
195 1.4968 0.0044112
196 1.49663 0.00439199
197 1.49684 0.00437473
198 1.49672 0.00435432
199 1.4963 0.004353
200 1.49679 0.00435889
