n_block r_average errore
1 13.5326 0
2 7.50868 6.02396
3 5.51272 4.00997
4 4.51765 3.00501
5 3.93401 2.39973
6 3.52408 2.00179
7 3.22412 1.71821
8 3.00251 1.50442
9 2.83049 1.33788
10 2.70232 1.20348
11 2.58432 1.09497
12 2.49569 1.00349
13 2.41545 0.926554
14 2.35764 0.859768
15 2.29552 0.802807
16 2.24711 0.752516
17 2.20415 0.70817
18 2.16806 0.668644
19 2.13115 0.63355
20 2.10428 0.601639
21 2.07394 0.573076
22 2.04692 0.547074
23 2.02194 0.523344
24 1.99838 0.501617
25 1.97737 0.481593
26 1.95745 0.463128
27 1.94068 0.445961
28 1.92387 0.430067
29 1.90904 0.415237
30 1.89418 0.401433
31 1.87944 0.388547
32 1.86828 0.376374
33 1.85875 0.364915
34 1.84996 0.354129
35 1.83788 0.344074
36 1.82719 0.334551
37 1.81824 0.325507
38 1.80959 0.316943
39 1.79992 0.30886
40 1.79026 0.301195
41 1.7825 0.293859
42 1.77681 0.286834
43 1.77139 0.280136
44 1.76656 0.273738
45 1.76006 0.267665
46 1.75295 0.261878
47 1.748 0.256293
48 1.74431 0.250924
49 1.73949 0.245797
50 1.73586 0.240858
51 1.73125 0.236133
52 1.72796 0.231571
53 1.72367 0.2272
54 1.71989 0.222985
55 1.71482 0.218952
56 1.71095 0.215042
57 1.70673 0.211277
58 1.70277 0.207641
59 1.69935 0.20412
60 1.69649 0.200709
61 1.69387 0.197409
62 1.69069 0.194225
63 1.68611 0.191172
64 1.68224 0.188201
65 1.68099 0.185287
66 1.67896 0.182469
67 1.6769 0.179737
68 1.67551 0.17708
69 1.67242 0.174522
70 1.67005 0.172027
71 1.66784 0.169601
72 1.66536 0.167247
73 1.66327 0.164954
74 1.66198 0.162714
75 1.65901 0.160558
76 1.65733 0.15844
77 1.65551 0.156379
78 1.65259 0.154389
79 1.65108 0.15243
80 1.64969 0.150519
81 1.64716 0.14867
82 1.64567 0.146854
83 1.64402 0.145083
84 1.64154 0.143367
85 1.64128 0.14167
86 1.63928 0.140028
87 1.63758 0.138419
88 1.63669 0.13684
89 1.63421 0.135316
90 1.63261 0.133814
91 1.63061 0.132351
92 1.62938 0.13091
93 1.62873 0.129496
94 1.62727 0.128119
95 1.62622 0.126768
96 1.62497 0.125447
97 1.62365 0.124154
98 1.62143 0.1229
99 1.62017 0.121659
100 1.61785 0.120459
101 1.61623 0.119271
102 1.61603 0.118096
103 1.61452 0.116954
104 1.61316 0.115832
105 1.61217 0.114728
106 1.61159 0.113642
107 1.60991 0.112587
108 1.61117 0.111547
109 1.60996 0.110525
110 1.609 0.10952
111 1.60792 0.108534
112 1.60615 0.107576
113 1.60509 0.106625
114 1.60374 0.105694
115 1.60263 0.104777
116 1.60203 0.103871
117 1.60105 0.102984
118 1.60113 0.102108
119 1.60064 0.101247
120 1.59894 0.100414
121 1.59806 0.0995848
122 1.59766 0.098766
123 1.59724 0.0979606
124 1.59612 0.0971739
125 1.59523 0.0963974
126 1.59509 0.0956294
127 1.59426 0.094877
128 1.59409 0.094133
129 1.59337 0.0934032
130 1.59282 0.0926836
131 1.59184 0.0919786
132 1.59114 0.0912818
133 1.59026 0.0905971
134 1.59031 0.0899185
135 1.58991 0.0892508
136 1.58919 0.088595
137 1.58923 0.087946
138 1.58861 0.0873085
139 1.58803 0.0866801
140 1.58779 0.086059
141 1.58716 0.0854488
142 1.58638 0.0848485
143 1.58619 0.0842532
144 1.5852 0.083672
145 1.58477 0.083094
146 1.58426 0.0825246
147 1.58293 0.0819721
148 1.58274 0.0814165
149 1.58164 0.0808758
150 1.58252 0.0803396
151 1.5817 0.07981
152 1.58156 0.0792834
153 1.58101 0.0787654
154 1.57996 0.0782593
155 1.58003 0.0777528
156 1.57976 0.0772532
157 1.5794 0.0767604
158 1.5793 0.0762731
159 1.57884 0.0757933
160 1.57802 0.0753226
161 1.57795 0.0748533
162 1.57711 0.0743945
163 1.57629 0.0739413
164 1.57568 0.0734916
165 1.57527 0.073046
166 1.57485 0.0726058
167 1.5746 0.0721702
168 1.57395 0.0717422
169 1.57365 0.0713171
170 1.57307 0.0708987
171 1.57284 0.0704832
172 1.57267 0.0700725
173 1.57257 0.0696663
174 1.5728 0.0692651
175 1.57227 0.0688703
176 1.57193 0.0684787
177 1.57098 0.0680973
178 1.57078 0.0677139
179 1.5705 0.0673352
180 1.57015 0.066961
181 1.56999 0.0665902
182 1.56961 0.0662244
183 1.56865 0.0658684
184 1.56802 0.0655125
185 1.56753 0.0651592
186 1.56702 0.06481
187 1.56627 0.0644669
188 1.56584 0.0641245
189 1.56545 0.0637855
190 1.56548 0.0634489
191 1.56552 0.0631158
192 1.56528 0.0627867
193 1.56449 0.0624655
194 1.56465 0.0621429
195 1.56436 0.0618242
196 1.56406 0.0615086
197 1.56394 0.0611957
198 1.56363 0.0608866
199 1.56274 0.0605864
200 1.56288 0.0602829
