n_block r_average errore
1 1.58732 0
2 1.54001 0.047315
3 1.51572 0.0365536
4 1.51161 0.0261718
5 1.53443 0.0305191
6 1.54721 0.028008
7 1.543 0.0240424
8 1.55339 0.0232666
9 1.5457 0.0219112
10 1.53672 0.0215583
11 1.5361 0.0195102
12 1.53667 0.0178198
13 1.53002 0.017693
14 1.52732 0.0166004
15 1.5184 0.0178434
16 1.51474 0.0170889
17 1.51594 0.0160972
18 1.51247 0.0155679
19 1.50826 0.015315
20 1.50959 0.0145896
21 1.51041 0.0139015
22 1.50794 0.0134827
23 1.50832 0.0128887
24 1.50508 0.0127571
25 1.50311 0.0123934
26 1.5019 0.0119691
27 1.50107 0.0115471
28 1.50166 0.0111429
29 1.50101 0.0107713
30 1.49818 0.0107838
31 1.49911 0.0104715
32 1.49834 0.0101682
33 1.49641 0.0100438
34 1.49641 0.00974393
35 1.49665 0.00946459
36 1.49619 0.00920941
37 1.49662 0.00896729
38 1.49601 0.00874987
39 1.49852 0.00888632
40 1.4989 0.00866973
41 1.49566 0.00905709
42 1.49578 0.00883971
43 1.49588 0.00863221
44 1.4976 0.00860829
45 1.4968 0.00845318
46 1.49662 0.00826923
47 1.49873 0.00836033
48 1.49687 0.00839312
49 1.49761 0.0082534
50 1.49815 0.00810458
51 1.49779 0.00795215
52 1.49816 0.00780663
53 1.49996 0.00786673
54 1.50117 0.00781344
55 1.50141 0.0076737
56 1.50122 0.00753761
57 1.5019 0.00743462
58 1.50246 0.00732711
59 1.50414 0.00739454
60 1.50405 0.00727073
61 1.50464 0.00717428
62 1.50446 0.00705992
63 1.50385 0.00697295
64 1.50431 0.00687845
65 1.5032 0.00686224
66 1.50517 0.00703685
67 1.50544 0.00693646
68 1.50575 0.00684052
69 1.50588 0.0067419
70 1.50529 0.00667027
71 1.50453 0.00661996
72 1.50409 0.00654204
73 1.50434 0.00645676
74 1.50623 0.00664224
75 1.50477 0.00671461
76 1.50489 0.00662675
77 1.50529 0.00655256
78 1.50509 0.00647095
79 1.50566 0.00641322
80 1.50517 0.00635155
81 1.50543 0.00627834
82 1.50432 0.00630059
83 1.50478 0.00624155
84 1.50478 0.0061668
85 1.50371 0.00618615
86 1.50476 0.00620304
87 1.50441 0.00614138
88 1.50383 0.00609893
89 1.50391 0.00603047
90 1.5039 0.00596309
91 1.50381 0.00589789
92 1.50376 0.00583366
93 1.50385 0.00577132
94 1.5049 0.00580634
95 1.50507 0.00574731
96 1.50499 0.00568772
97 1.50566 0.00566832
98 1.5058 0.00561217
99 1.50524 0.00558377
100 1.5059 0.0055671
101 1.50634 0.0055293
102 1.50665 0.00548316
103 1.50641 0.0054347
104 1.50587 0.00540906
105 1.50548 0.00537148
106 1.5058 0.00533029
107 1.50667 0.00535012
108 1.50683 0.00530277
109 1.50722 0.00526882
110 1.50707 0.00522287
111 1.50835 0.00533039
112 1.50803 0.00529202
113 1.50769 0.00525637
114 1.50828 0.00524388
115 1.5092 0.00527915
116 1.50979 0.00526637
117 1.50933 0.00524103
118 1.50864 0.00524224
119 1.50901 0.00521082
120 1.50943 0.0051842
121 1.50914 0.00514898
122 1.50892 0.00511156
123 1.50867 0.00507609
124 1.50849 0.00503792
125 1.50878 0.00500565
126 1.5082 0.00500002
127 1.50837 0.00496341
128 1.50744 0.00501051
129 1.50723 0.00497618
130 1.50668 0.00496751
131 1.50713 0.00494975
132 1.50699 0.00491405
133 1.50699 0.00487697
134 1.50733 0.0048524
135 1.50773 0.00483243
136 1.50761 0.0047981
137 1.50719 0.00478207
138 1.5066 0.00478352
139 1.50638 0.0047539
140 1.50551 0.00479912
141 1.50539 0.00476654
142 1.50526 0.00473469
143 1.50492 0.00471412
144 1.50409 0.0047532
145 1.50442 0.00473188
146 1.50358 0.00477375
147 1.50298 0.00477925
148 1.50249 0.00477247
149 1.50341 0.00482977
150 1.50284 0.00483123
151 1.50272 0.00480075
152 1.50261 0.00477024
153 1.50233 0.00474735
154 1.50227 0.00471681
155 1.50277 0.00471277
156 1.50255 0.00468772
157 1.50222 0.00466891
158 1.50206 0.00464216
159 1.50238 0.00462394
160 1.50239 0.00459495
161 1.50219 0.00457036
162 1.50208 0.0045436
163 1.5018 0.00452422
164 1.50227 0.00452082
165 1.50255 0.00450231
166 1.50255 0.00447511
167 1.50277 0.00445355
168 1.50239 0.00444294
169 1.50218 0.0044216
170 1.50232 0.00439773
171 1.50189 0.00439304
172 1.50175 0.00436985
173 1.50197 0.00435032
174 1.50252 0.00435991
175 1.50269 0.00433824
176 1.50286 0.0043171
177 1.50317 0.00430339
178 1.50277 0.00429731
179 1.50236 0.00429268
180 1.50223 0.00427076
181 1.50221 0.00424714
182 1.50269 0.00425086
183 1.5018 0.0043215
184 1.50196 0.00430083
185 1.50191 0.0042778
186 1.50183 0.00425538
187 1.50162 0.00423773
188 1.50128 0.00422873
189 1.50171 0.00422738
190 1.501 0.0042638
191 1.50086 0.00424386
192 1.50099 0.00422373
193 1.50127 0.00421133
194 1.5015 0.00419606
195 1.50123 0.00418327
196 1.50146 0.00416821
197 1.50196 0.00417678
198 1.50238 0.00417696
199 1.50227 0.00415743
200 1.50216 0.0041382
