n_block r_average errore
1 14.1752 0
2 7.87524 6.29996
3 5.73729 4.21908
4 4.68184 3.16454
5 4.0674 2.52708
6 3.64501 2.10614
7 3.33834 1.80624
8 3.12153 1.5792
9 2.94024 1.40447
10 2.79321 1.26478
11 2.67678 1.14994
12 2.58523 1.05373
13 2.50109 0.972939
14 2.42257 0.904182
15 2.35891 0.844151
16 2.3047 0.79149
17 2.26262 0.744665
18 2.22281 0.703205
19 2.18243 0.66639
20 2.15055 0.632996
21 2.12111 0.602819
22 2.08848 0.575691
23 2.06221 0.550719
24 2.03463 0.527993
25 2.0119 0.506943
26 1.99219 0.487454
27 1.97401 0.469405
28 1.95695 0.452652
29 1.94001 0.437093
30 1.92335 0.4226
31 1.90895 0.408994
32 1.89493 0.396255
33 1.88261 0.384257
34 1.87335 0.372899
35 1.86333 0.362227
36 1.85327 0.352165
37 1.84495 0.342616
38 1.8342 0.333651
39 1.82834 0.325036
40 1.8213 0.316884
41 1.81047 0.309248
42 1.80312 0.301885
43 1.7958 0.294872
44 1.79014 0.288148
45 1.78344 0.281751
46 1.7779 0.275614
47 1.77342 0.269723
48 1.76534 0.264168
49 1.76036 0.258768
50 1.75415 0.253616
51 1.74868 0.248654
52 1.74487 0.243855
53 1.74098 0.239241
54 1.73737 0.234797
55 1.73215 0.230547
56 1.72789 0.226433
57 1.72277 0.222484
58 1.71869 0.218652
59 1.71618 0.214929
60 1.71249 0.211349
61 1.70927 0.20788
62 1.70608 0.204525
63 1.70225 0.201288
64 1.69956 0.198137
65 1.69527 0.195112
66 1.69293 0.192147
67 1.69014 0.189278
68 1.68818 0.186484
69 1.68542 0.183782
70 1.68271 0.181158
71 1.67959 0.178616
72 1.67625 0.176149
73 1.67498 0.173724
74 1.67392 0.171363
75 1.67092 0.16909
76 1.66885 0.166863
77 1.66674 0.164695
78 1.66556 0.162574
79 1.66363 0.160515
80 1.66112 0.158515
81 1.65909 0.156559
82 1.65656 0.154659
83 1.65495 0.152793
84 1.65296 0.150976
85 1.65068 0.149207
86 1.64995 0.147463
87 1.64765 0.145777
88 1.64604 0.14412
89 1.64416 0.142503
90 1.64264 0.140919
91 1.64156 0.139366
92 1.63977 0.137855
93 1.63861 0.136369
94 1.63768 0.134914
95 1.63634 0.133493
96 1.63494 0.132103
97 1.63411 0.130736
98 1.63322 0.129398
99 1.63129 0.128099
100 1.6308 0.126813
101 1.62941 0.125558
102 1.62839 0.124326
103 1.62678 0.123123
104 1.62502 0.121946
105 1.62267 0.120802
106 1.62155 0.119662
107 1.62192 0.118539
108 1.62067 0.117443
109 1.61985 0.116364
110 1.6186 0.115308
111 1.61887 0.114265
112 1.61754 0.113248
113 1.61702 0.112242
114 1.61642 0.111255
115 1.6161 0.110284
116 1.61576 0.109329
117 1.61463 0.108397
118 1.61359 0.107479
119 1.61275 0.106576
120 1.61234 0.105684
121 1.61101 0.104816
122 1.60986 0.103959
123 1.60872 0.103117
124 1.60725 0.102293
125 1.60683 0.101472
126 1.60553 0.100672
127 1.60428 0.0998838
128 1.60239 0.0991183
129 1.6014 0.0983519
130 1.59997 0.0976029
131 1.59947 0.0968563
132 1.59866 0.0961231
133 1.59825 0.0953985
134 1.59736 0.0946881
135 1.59717 0.0939843
136 1.59598 0.0932983
137 1.59444 0.0926276
138 1.59344 0.0919594
139 1.59296 0.0912966
140 1.59171 0.0906508
141 1.59154 0.0900058
142 1.59042 0.0893767
143 1.58928 0.0887567
144 1.58816 0.0881454
145 1.58809 0.0875354
146 1.58667 0.0869454
147 1.58543 0.0863607
148 1.58429 0.0857829
149 1.58438 0.0852052
150 1.58316 0.0846441
151 1.58265 0.0840832
152 1.58209 0.0835301
153 1.58139 0.0829853
154 1.58097 0.0824458
155 1.58069 0.0819126
156 1.58037 0.0813864
157 1.57954 0.0808707
158 1.57884 0.0803603
159 1.57858 0.0798537
160 1.57793 0.0793558
161 1.57721 0.0788646
162 1.57683 0.0783771
163 1.57566 0.0779036
164 1.57586 0.0774274
165 1.57586 0.0769567
166 1.57514 0.0764951
167 1.57479 0.0760365
168 1.57375 0.0755897
169 1.57308 0.0751441
170 1.57295 0.0747008
171 1.57213 0.0742673
172 1.57125 0.0738394
173 1.571 0.0734118
174 1.57116 0.0729889
175 1.57077 0.0725716
176 1.57059 0.0721583
177 1.57066 0.0717495
178 1.56995 0.0713488
179 1.56945 0.0709509
180 1.56918 0.0705561
181 1.56903 0.0701654
182 1.56914 0.0697789
183 1.56803 0.0694054
184 1.56777 0.0690277
185 1.56747 0.0686542
186 1.56685 0.0682869
187 1.56658 0.0679213
188 1.5662 0.0675602
189 1.56642 0.0672021
190 1.56552 0.0668535
191 1.56528 0.066503
192 1.5648 0.0661575
193 1.56467 0.0658139
194 1.56452 0.065474
195 1.56415 0.0651384
196 1.56364 0.0648072
197 1.56376 0.0644775
198 1.56382 0.0641511
199 1.56341 0.0638292
200 1.56315 0.0635098
