TEMPERATURE:   ACTUAL_CV:    CV_AVE:      ERROR:
    0.500000    0.219137    0.219137           0
    0.500000     0.29549    0.257314   0.0269949
    0.500000    0.252859    0.255829   0.0180374
    0.500000    0.254407    0.255473   0.0135316
    0.500000    0.358304    0.276039   0.0213437
    0.500000    0.311049    0.281874   0.0185669
    0.500000    0.300476    0.284532   0.0161035
    0.500000    0.226262    0.277248   0.0156514
    0.500000    0.338498    0.284054   0.0153206
    0.500000    0.307706    0.286419     0.01397
    0.500000    0.179627     0.27671   0.0157154
    0.500000    0.345149    0.282414   0.0154059
    0.500000    0.305213    0.284167   0.0143203
    0.500000    0.290838    0.284644   0.0133054
    0.500000    0.407835    0.292857   0.0147366
    0.500000    0.186729    0.286224   0.0152354
    0.500000    0.199256    0.281108   0.0151738
    0.500000     0.25905    0.279883   0.0143802
    0.500000    0.275619    0.279658   0.0136251
    0.500000    0.303269    0.280839   0.0129949
    0.500000    0.286465    0.281107   0.0123788
    0.500000     0.23337    0.278937   0.0120048
    0.500000    0.251385    0.277739   0.0115425
    0.500000    0.244826    0.276367   0.0111427
    0.500000    0.283654    0.276659   0.0107008
    0.500000    0.285204    0.276988   0.0102943
    0.500000    0.179314     0.27337   0.0105295
    0.500000    0.248862    0.272495   0.0101898
    0.500000    0.367473     0.27577   0.0103513
    0.500000    0.224973    0.274077   0.0101438
    0.500000    0.195289    0.271535     0.01013
    0.500000    0.210689    0.269634   0.0099903
    0.500000    0.217088    0.268041  0.00981364
    0.500000    0.205148    0.266192  0.00969777
    0.500000    0.296784    0.267066     0.00946
    0.500000    0.303864    0.268088  0.00925228
    0.500000    0.207287    0.266445  0.00914698
    0.500000    0.148701    0.263346  0.00941647
    0.500000    0.319758    0.264792  0.00928545
    0.500000    0.224547    0.263786  0.00910766
    0.500000    0.229025    0.262938   0.0089249
    0.500000    0.197238    0.261374  0.00884843
    0.500000    0.148659    0.258753  0.00902257
    0.500000    0.283323    0.259311  0.00883478
    0.500000    0.260994    0.259349  0.00863853
    0.500000    0.215959    0.258405  0.00850208
    0.500000    0.180045    0.256738  0.00848308
    0.500000    0.216237    0.255894  0.00834821
    0.500000    0.368132    0.258185  0.00848626
    0.500000    0.314184    0.259305  0.00839011
    0.500000     0.36139    0.261307    0.008461
    0.500000    0.346633    0.262948  0.00845591
    0.500000    0.272986    0.263137  0.00829848
    0.500000    0.191512    0.261811  0.00825013
    0.500000    0.259331    0.261765  0.00810025
    0.500000    0.239263    0.261364  0.00796556
    0.500000    0.295221    0.261958  0.00784793
    0.500000    0.244055    0.261649  0.00771869
    0.500000    0.273965    0.261858  0.00759069
    0.500000    0.260597    0.261837  0.00746421
    0.500000    0.317994    0.262757   0.0073984
    0.500000    0.291364    0.263219  0.00729344
    0.500000    0.331255    0.264299  0.00725719
    0.500000    0.179831    0.262979  0.00726281
    0.500000    0.217219    0.262275  0.00718512
    0.500000    0.167642    0.260841   0.0072179
    0.500000     0.28983    0.261274  0.00712313
    0.500000    0.289628    0.261691  0.00703057
    0.500000    0.147911    0.260042  0.00711943
    0.500000    0.265891    0.260125  0.00701821
    0.500000    0.188615    0.259118  0.00699126
    0.500000     0.20473    0.258363  0.00693485
    0.500000    0.170065    0.257153  0.00694454
    0.500000    0.284319     0.25752  0.00686039
    0.500000    0.165268     0.25629   0.0068783
    0.500000    0.305626    0.256939  0.00681836
    0.500000    0.397836    0.258769  0.00697102
    0.500000    0.288219    0.259147  0.00689186
    0.500000    0.307767    0.259762  0.00683205
    0.500000    0.288143    0.260117  0.00675585
    0.500000    0.149727    0.258754  0.00680852
    0.500000    0.225024    0.258343   0.0067379
    0.500000    0.329628    0.259202  0.00671124
    0.500000    0.254434    0.259145  0.00663158
    0.500000    0.326548    0.259938   0.0066008
    0.500000    0.181478    0.259025   0.0065868
    0.500000    0.190874    0.258242   0.0065575
    0.500000    0.271727    0.258395  0.00648477
    0.500000     0.23099    0.258087  0.00641922
    0.500000    0.286309    0.258401  0.00635555
    0.500000     0.27771    0.258613  0.00628925
    0.500000    0.233375    0.258339  0.00622687
    0.500000    0.345151    0.259272  0.00622948
    0.500000    0.310687    0.259819  0.00618718
    0.500000    0.154175    0.258707  0.00622118
    0.500000     0.21654    0.258268  0.00617187
    0.500000    0.190465    0.257569  0.00614769
    0.500000    0.215496     0.25714  0.00609993
    0.500000    0.334452    0.257921   0.0060881
    0.500000    0.357061    0.258912  0.00610741
