TEMPERATURE:   ACTUAL_X:     X_AVE:       ERROR:
    0.500000     93.6667     93.6667           0
    0.500000     89.0063     91.3365     1.64769
    0.500000     90.0192     90.8974      1.1555
    0.500000     89.3141     90.5016    0.931955
    0.500000     84.6023     89.3217      1.2921
    0.500000     89.6526     89.3769     1.07792
    0.500000     88.4919     89.2505    0.931317
    0.500000     91.7213     89.5593      0.8646
    0.500000     88.1804     89.4061     0.78199
    0.500000     86.8944     89.1549    0.743035
    0.500000     93.7027     89.5684    0.782094
    0.500000     87.4924     89.3954    0.735804
    0.500000     88.7045     89.3422     0.68112
    0.500000     87.3445     89.1995    0.647243
    0.500000     80.2981     88.6061    0.832831
    0.500000     93.5354     88.9142    0.835822
    0.500000     93.7521     89.1988    0.833697
    0.500000     91.1711     89.3083    0.794549
    0.500000     90.9255     89.3935    0.757275
    0.500000     86.4279     89.2452    0.733785
    0.500000     89.0098      89.234    0.698929
    0.500000     91.4712     89.3357    0.674516
    0.500000     90.1289     89.3701    0.646071
    0.500000     90.6053     89.4216    0.621198
    0.500000      89.384     89.4201    0.596352
    0.500000     88.1714     89.3721    0.575346
    0.500000     94.1383     89.5486    0.580486
    0.500000     89.3548     89.5417    0.559796
    0.500000     87.0371     89.4553    0.547114
    0.500000     93.2895     89.5831    0.543599
    0.500000     93.4896     89.7091    0.540473
    0.500000     92.7161     89.8031    0.531689
    0.500000      91.102     89.8425    0.517032
    0.500000     92.6705     89.9256    0.508472
    0.500000     90.5518     89.9435    0.494259
    0.500000     89.9684     89.9442     0.48053
    0.500000       92.67     90.0179    0.473156
    0.500000     94.4266     90.1339    0.474715
    0.500000      87.191     90.0585    0.468502
    0.500000     91.4927     90.0943     0.45816
    0.500000     91.9918     90.1406    0.449317
    0.500000     92.4786     90.1963    0.442054
    0.500000     95.5378     90.3205    0.448888
    0.500000     90.4696     90.3239    0.438699
    0.500000     90.3854     90.3252    0.428952
    0.500000     92.6583      90.376    0.422615
    0.500000     94.7121     90.4682    0.423574
    0.500000     92.9542       90.52    0.417904
    0.500000       82.01     90.3463    0.443999
    0.500000     86.4814      90.269    0.441796
    0.500000     84.5445     90.1568    0.447165
    0.500000     85.5777     90.0687    0.447153
    0.500000     89.7991     90.0636    0.438745
    0.500000     93.1777     90.1213    0.434393
    0.500000      92.206     90.1592    0.428146
    0.500000      91.808     90.1887    0.421511
    0.500000     87.0445     90.1335     0.41771
    0.500000     90.0596     90.1322     0.41051
    0.500000     88.6253     90.1067    0.404346
    0.500000     91.0661     90.1227    0.397923
    0.500000     85.8142      90.052    0.397618
    0.500000     88.1312     90.0211     0.39241
    0.500000      86.189     89.9602    0.390868
    0.500000      94.021     90.0237    0.389876
    0.500000     92.5479     90.0625    0.385807
    0.500000     94.3405     90.1273    0.385368
    0.500000     88.4013     90.1016    0.380476
    0.500000     88.6828     90.0807    0.375453
    0.500000     95.6423     90.1613    0.378564
    0.500000     89.4622     90.1513    0.373288
    0.500000     93.8729     90.2037    0.371692
    0.500000     93.0264     90.2429    0.368592
    0.500000     94.8903     90.3066    0.368999
    0.500000     87.8762     90.2738    0.365472
    0.500000      95.271     90.3404    0.366622
    0.500000     88.0847     90.3107    0.362998
    0.500000     82.6347      90.211     0.37172
    0.500000     88.7921     90.1928    0.367399
    0.500000      86.669     90.1482    0.365446
    0.500000      89.744     90.1432    0.360913
    0.500000      95.413     90.2082    0.362274
    0.500000     92.6613     90.2381    0.359089
    0.500000     86.2234     90.1898    0.358006
    0.500000     88.8598     90.1739    0.354094
    0.500000     88.8553     90.1584    0.350267
    0.500000     94.1437     90.2048    0.349247
    0.500000     94.0542      90.249    0.348024
    0.500000     90.5536     90.2525    0.344086
    0.500000     92.8944     90.2822    0.341498
    0.500000     88.7723     90.2654    0.338115
    0.500000     88.1224     90.2418    0.335219
    0.500000     91.2505     90.2528    0.331755
    0.500000     86.5782     90.2133    0.330532
    0.500000     86.6331     90.1752    0.329203
    0.500000      95.455     90.2308    0.330395
    0.500000     92.4296     90.2537    0.327747
    0.500000     93.4687     90.2868     0.32604
    0.500000     92.7284     90.3117    0.323663
    0.500000     86.0586     90.2688    0.323232
    0.500000     85.4557     90.2207    0.323564
