TEMPERATURE:   ACTUAL_TE:    TE_AVE:      ERROR:
    0.500000     -1.0071     -1.0071           0
    0.500000    -1.00282    -1.00496  0.00151349
    0.500000     -1.0033    -1.00441  0.00110608
    0.500000    -1.00348    -1.00418 0.000853468
    0.500000   -0.997428    -1.00283  0.00138698
    0.500000   -0.998705    -1.00214  0.00131497
    0.500000   -0.999871    -1.00182  0.00116638
    0.500000    -1.00667    -1.00242   0.0011677
    0.500000   -0.998773    -1.00202  0.00110612
    0.500000   -0.999314    -1.00175    0.001028
    0.500000    -1.00933    -1.00244  0.00114245
    0.500000   -0.997623    -1.00203  0.00111543
    0.500000    -1.00024     -1.0019  0.00103816
    0.500000   -0.999853    -1.00175 0.000974214
    0.500000   -0.991462    -1.00106  0.00112512
    0.500000    -1.00808     -1.0015  0.00113694
    0.500000    -1.00836    -1.00191  0.00113933
    0.500000    -1.00436    -1.00204  0.00108417
    0.500000    -1.00441    -1.00217  0.00103424
    0.500000     -1.0007    -1.00209 0.000985119
    0.500000    -1.00264    -1.00212 0.000938548
    0.500000    -1.00417    -1.00221 0.000900504
    0.500000    -1.00431     -1.0023 0.000865975
    0.500000    -1.00431    -1.00239 0.000833897
    0.500000     -1.0024    -1.00239 0.000800542
    0.500000    -1.00088    -1.00233 0.000771849
    0.500000     -1.0094    -1.00259  0.00078646
    0.500000    -1.00355    -1.00263 0.000759122
    0.500000   -0.997352    -1.00244 0.000754421
    0.500000    -1.00783    -1.00262 0.000750327
    0.500000    -1.00832    -1.00281 0.000748256
    0.500000    -1.00756    -1.00296 0.000739449
    0.500000    -1.00577    -1.00304 0.000721931
    0.500000    -1.00725    -1.00317 0.000711209
    0.500000     -1.0014    -1.00311 0.000692665
    0.500000    -1.00213    -1.00309 0.000673963
    0.500000    -1.00767    -1.00321 0.000667022
    0.500000    -1.01075    -1.00341  0.00067832
    0.500000    -1.00061    -1.00334 0.000664727
    0.500000    -1.00566     -1.0034 0.000650647
    0.500000    -1.00645    -1.00347 0.000639037
    0.500000    -1.00732    -1.00356 0.000630358
    0.500000    -1.01059    -1.00373 0.000636543
    0.500000    -1.00138    -1.00367 0.000624312
    0.500000    -1.00365    -1.00367 0.000610439
    0.500000    -1.00668    -1.00374 0.000600672
    0.500000    -1.00955    -1.00386 0.000600504
    0.500000    -1.00702    -1.00393  0.00059159
    0.500000   -0.995219    -1.00375  0.00060562
    0.500000   -0.998594    -1.00365 0.000602219
    0.500000   -0.995102    -1.00348 0.000613271
    0.500000   -0.994986    -1.00332 0.000622845
    0.500000    -1.00335    -1.00332 0.000611093
    0.500000    -1.00874    -1.00342 0.000607987
    0.500000    -1.00641    -1.00347 0.000599357
    0.500000    -1.00554    -1.00351 0.000589798
    0.500000     -1.0001    -1.00345 0.000582476
    0.500000    -1.00362    -1.00345 0.000572441
    0.500000    -1.00286    -1.00344 0.000562827
    0.500000    -1.00467    -1.00346 0.000553817
    0.500000   -0.998867    -1.00339 0.000549836
    0.500000   -0.999139    -1.00332 0.000545217
    0.500000   -0.999816    -1.00326 0.000539388
    0.500000    -1.00861    -1.00335 0.000537383
    0.500000    -1.00755    -1.00341 0.000532988
    0.500000    -1.00984    -1.00351 0.000533737
    0.500000    -1.00057    -1.00346 0.000527567
    0.500000    -1.00241    -1.00345 0.000520035
    0.500000    -1.01088    -1.00356 0.000523521
    0.500000    -1.00262    -1.00354 0.000516214
    0.500000    -1.00756     -1.0036 0.000512031
    0.500000    -1.00741    -1.00365  0.00050765
    0.500000    -1.00989    -1.00374 0.000507848
    0.500000    -1.00068     -1.0037 0.000502661
    0.500000    -1.00954    -1.00377 0.000501969
    0.500000    -1.00131    -1.00374 0.000496409
    0.500000   -0.993817    -1.00361 0.000506418
    0.500000    -1.00149    -1.00359 0.000500655
    0.500000   -0.999783    -1.00354 0.000496625
    0.500000    -1.00272    -1.00353 0.000490522
    0.500000    -1.01088    -1.00362 0.000492788
    0.500000    -1.00698    -1.00366 0.000488484
    0.500000   -0.998715     -1.0036 0.000486217
    0.500000    -1.00314    -1.00359  0.00048046
    0.500000   -0.994078    -1.00348 0.000487674
    0.500000    -1.00941    -1.00355 0.000486851
    0.500000    -1.00912    -1.00361 0.000485447
    0.500000    -1.00358    -1.00361 0.000479931
    0.500000    -1.00658    -1.00365 0.000475691
    0.500000     -1.0017    -1.00363 0.000470899
    0.500000    -1.00201    -1.00361 0.000466059
    0.500000    -1.00424    -1.00362 0.000461044
    0.500000   -0.999247    -1.00357 0.000458472
    0.500000   -0.997421     -1.0035 0.000458235
    0.500000    -1.01066    -1.00358 0.000459555
    0.500000    -1.00679    -1.00361 0.000455987
    0.500000    -1.00789    -1.00366 0.000453414
    0.500000    -1.00734    -1.00369 0.000450344
    0.500000   -0.998201    -1.00364   0.0004492
    0.500000   -0.997102    -1.00357 0.000449437
