TEMPERATURE:   ACTUAL_M:     M_AVE:       ERROR:
    0.500000    0.883952    0.883952           0
    0.500000    0.887052    0.885502  0.00109602
    0.500000     0.93148    0.900828   0.0125349
    0.500000    0.924536    0.906755   0.0107112
    0.500000    0.945184    0.914441   0.0109856
    0.500000    0.953008    0.920869   0.0108738
    0.500000    0.905588    0.918686  0.00953701
    0.500000    0.974452    0.925656   0.0105903
    0.500000     0.88942     0.92163   0.0101502
    0.500000     0.89898    0.919365  0.00938447
    0.500000    0.936348    0.920909   0.0086574
    0.500000    0.795812    0.910484   0.0127514
    0.500000    0.969476    0.915022    0.012552
    0.500000    0.932308    0.916257    0.011716
    0.500000    0.914608    0.916147   0.0109355
    0.500000    0.553156     0.89346   0.0242411
    0.500000    0.927668    0.895472   0.0228985
    0.500000    0.924144    0.897065   0.0216817
    0.500000      0.9297    0.898783   0.0206085
    0.500000    0.924724     0.90008   0.0196189
    0.500000    0.864228    0.898373   0.0187588
    0.500000    0.933876    0.899986   0.0179754
    0.500000       0.941     0.90177   0.0172821
    0.500000     0.95828    0.904124   0.0167216
    0.500000    0.952608    0.906064   0.0161648
    0.500000    0.934512    0.907158   0.0155801
    0.500000    0.918412    0.907575   0.0150086
    0.500000      0.9615      0.9095   0.0145956
    0.500000    0.934544    0.910364   0.0141179
    0.500000    0.796688    0.906575   0.0141466
    0.500000    0.952092    0.908043   0.0137663
    0.500000    0.941572    0.909091   0.0133759
    0.500000    0.945264    0.910187   0.0130154
    0.500000    0.857084    0.908625    0.012726
    0.500000    0.936596    0.909424   0.0123874
    0.500000    0.647284    0.902143   0.0140211
    0.500000    0.924688    0.902752   0.0136554
    0.500000    0.856344    0.901531   0.0133506
    0.500000    0.896884    0.901412   0.0130088
    0.500000    0.910932     0.90165   0.0126857
    0.500000    0.910724    0.901871   0.0123782
    0.500000     0.95596    0.903159   0.0121503
    0.500000    0.977188     0.90488   0.0119891
    0.500000    0.852648    0.903693   0.0117753
    0.500000    0.873756    0.903028   0.0115324
    0.500000    0.979716    0.904695   0.0114015
    0.500000      0.9461    0.905576   0.0111929
    0.500000    0.749348    0.902321   0.0114232
    0.500000    0.935904    0.903007   0.0112106
    0.500000    0.963632    0.904219   0.0110517
    0.500000     0.94992    0.905115   0.0108713
    0.500000    0.850896    0.904073   0.0107121
    0.500000    0.973412    0.905381   0.0105896
    0.500000    0.458368    0.897103   0.0132394
    0.500000     0.96952     0.89842    0.013064
    0.500000    0.951176    0.899362   0.0128646
    0.500000    0.961248    0.900447   0.0126847
    0.500000    0.930072    0.900958   0.0124762
    0.500000    0.885052    0.900689   0.0122677
    0.500000    0.939088    0.901329   0.0120799
    0.500000    0.808852    0.899813   0.0119766
    0.500000     0.81618    0.898464   0.0118592
    0.500000    0.901276    0.898508    0.011671
    0.500000     0.93314    0.899049   0.0115012
    0.500000    0.907752    0.899183    0.011325
    0.500000    0.937412    0.899762   0.0111682
    0.500000    0.416532     0.89255   0.0131254
    0.500000    0.940876    0.893261   0.0129516
    0.500000    0.953652    0.894136   0.0127935
    0.500000    0.968768    0.895202    0.012655
    0.500000    0.643888    0.891663   0.0129624
    0.500000    0.919208    0.892045    0.012788
    0.500000     0.58458    0.887833   0.0132883
    0.500000    0.768796    0.886225   0.0132058
    0.500000    0.990368    0.887613   0.0131025
    0.500000    0.898432    0.887756   0.0129308
    0.500000    0.912848    0.888081    0.012767
    0.500000    0.975732    0.889205   0.0126527
    0.500000    0.955244    0.890041   0.0125201
    0.500000    0.970488    0.891047   0.0124039
    0.500000    0.871352    0.890804   0.0122532
    0.500000    0.920916    0.891171   0.0121093
    0.500000    0.950552    0.891886   0.0119845
    0.500000      0.9736    0.892859   0.0118812
    0.500000    0.692556    0.890502   0.0119729
    0.500000    0.923516    0.890886   0.0118398
    0.500000    0.959912     0.89168   0.0117303
    0.500000    0.879488    0.891541   0.0115978
    0.500000    0.843064    0.890997   0.0114802
    0.500000    0.909032    0.891197   0.0113544
    0.500000    0.915788    0.891467   0.0112329
    0.500000    0.961228    0.892225   0.0111363
    0.500000    0.906756    0.892382   0.0110177
    0.500000    0.932744    0.892811   0.0109088
    0.500000    0.972336    0.893648   0.0108261
    0.500000    0.897052    0.893684   0.0107134
    0.500000     0.87136    0.893453   0.0106054
    0.500000    0.696676    0.891446   0.0106856
    0.500000    0.982692    0.892367   0.0106173
    0.500000    0.920088    0.892644   0.0105148
