TEMPERATURE:   ACTUAL_CV:    CV_AVE:      ERROR:
    0.500000    0.477208    0.477208           0
    0.500000    0.354564    0.415886   0.0433613
    0.500000    0.416391    0.416054   0.0289079
    0.500000    0.356542    0.401176   0.0252206
    0.500000    0.370925    0.395126   0.0208896
    0.500000    0.382977    0.393101   0.0175058
    0.500000     0.30394    0.380364   0.0190844
    0.500000    0.365726    0.378534   0.0167863
    0.500000    0.393085    0.380151   0.0149988
    0.500000    0.369953    0.379131   0.0135336
    0.500000    0.404912    0.381475   0.0125045
    0.500000     0.28509    0.373443   0.0138031
    0.500000    0.311972    0.368714   0.0135271
    0.500000    0.414041    0.371952   0.0129425
    0.500000    0.340015    0.369823   0.0122535
    0.500000    0.221731    0.360567   0.0145699
    0.500000    0.274423      0.3555   0.0145674
    0.500000    0.386719    0.357234    0.013861
    0.500000    0.265113    0.352386   0.0139537
    0.500000    0.334129    0.351473   0.0132858
    0.500000    0.367315    0.352227   0.0126746
    0.500000    0.317982    0.350671   0.0121936
    0.500000    0.355798    0.350894   0.0116655
    0.500000     0.32276    0.349721   0.0112382
    0.500000    0.318064    0.348455   0.0108598
    0.500000    0.360376    0.348914   0.0104518
    0.500000    0.358975    0.349286   0.0100713
    0.500000     0.29335    0.347288  0.00990778
    0.500000     0.31306    0.346108  0.00963618
    0.500000    0.343438    0.346019  0.00931538
    0.500000    0.380862    0.347143  0.00908244
    0.500000     0.25097    0.344138  0.00928255
    0.500000    0.332765    0.343793  0.00900766
    0.500000    0.260084    0.341331  0.00907296
    0.500000    0.435904    0.344033  0.00920731
    0.500000    0.302732    0.342886  0.00902274
    0.500000     0.41646    0.344874  0.00899533
    0.500000    0.287954    0.343376  0.00888245
    0.500000    0.329792    0.343028  0.00866152
    0.500000    0.278186    0.341407  0.00859534
    0.500000    0.328672    0.341096   0.0083913
    0.500000    0.322939    0.340664  0.00820264
    0.500000    0.216146    0.337768  0.00850769
    0.500000    0.324435    0.337465  0.00831973
    0.500000    0.341092    0.337546  0.00813523
    0.500000    0.340978    0.337621  0.00795872
    0.500000    0.287553    0.336555  0.00786036
    0.500000    0.398686     0.33785  0.00780245
    0.500000    0.267929    0.336423   0.0077726
    0.500000    0.314214    0.335979  0.00762983
    0.500000    0.323576    0.335735   0.0074841
    0.500000    0.307558    0.335193  0.00735977
    0.500000    0.334089    0.335173  0.00722093
    0.500000    0.413165    0.336617  0.00723021
    0.500000    0.281786     0.33562  0.00716715
    0.500000    0.333536    0.335583  0.00703926
    0.500000     0.32238    0.335351  0.00691958
    0.500000     0.41653    0.336751  0.00694038
    0.500000    0.384844    0.337566  0.00687045
    0.500000      0.3094    0.337097  0.00677196
    0.500000    0.392358    0.338002  0.00672127
    0.500000    0.394293     0.33891   0.0066739
    0.500000    0.313894    0.338513  0.00657977
    0.500000    0.301574    0.337936  0.00650222
    0.500000    0.244622    0.336501  0.00655876
    0.500000    0.384487    0.337228  0.00649956
    0.500000    0.287371    0.336483    0.006445
    0.500000    0.327731    0.336355  0.00635151
    0.500000    0.318758      0.3361  0.00626458
    0.500000    0.297931    0.335554  0.00619877
    0.500000     0.22421    0.333986  0.00630672
    0.500000    0.316057    0.333737  0.00622404
    0.500000    0.319408    0.333541  0.00614187
    0.500000    0.249762    0.332409  0.00616234
    0.500000     0.26318    0.331486  0.00614891
    0.500000    0.339353    0.331589  0.00606888
    0.500000    0.316056    0.331388  0.00599341
    0.500000    0.391491    0.332158   0.0059659
    0.500000    0.288894     0.33161  0.00591547
    0.500000    0.277504    0.330934  0.00588006
    0.500000    0.391224    0.331678  0.00585439
    0.500000    0.389998     0.33239  0.00582603
    0.500000    0.239198    0.331267  0.00586303
    0.500000    0.241098    0.330193  0.00589068
    0.500000    0.326968    0.330155   0.0058215
    0.500000    0.289645    0.329684  0.00577284
    0.500000    0.335776    0.329754  0.00570691
    0.500000    0.365662    0.330162  0.00565662
    0.500000    0.441782    0.331417  0.00573041
    0.500000     0.33305    0.331435  0.00566677
    0.500000    0.388355     0.33206  0.00563891
    0.500000    0.382443    0.332608  0.00560415
    0.500000    0.265537    0.331887   0.0055901
    0.500000      0.3671    0.332261  0.00554317
    0.500000    0.235807    0.331246  0.00557703
    0.500000    0.339855    0.331336  0.00551965
    0.500000    0.354867    0.331578  0.00546808
    0.500000    0.308074    0.331338  0.00541754
    0.500000    0.272456    0.330744  0.00539537
    0.500000    0.401746    0.331454  0.00538793
