TEMPERATURE:   ACTUAL_X:     X_AVE:       ERROR:
    0.500000     62.4221     62.4221           0
    0.500000     69.8419      66.132      2.6233
    0.500000     70.8424     67.7021     2.16842
    0.500000      70.823     68.4823      1.7611
    0.500000     74.5292     69.6917     1.77624
    0.500000     69.0708     69.5882     1.48321
    0.500000     78.9932     70.9318     1.77863
    0.500000     75.0659     71.4486     1.62965
    0.500000     64.5246     70.6792     1.62002
    0.500000     72.8837     70.8997     1.47294
    0.500000      68.089     70.6442     1.36102
    0.500000     82.9211     71.6672     1.58618
    0.500000     82.5399     72.5036     1.67017
    0.500000       76.07     72.7583     1.57018
    0.500000     79.5862     73.2135     1.53006
    0.500000     88.9457     74.1968     1.72162
    0.500000     83.8092     74.7622     1.71068
    0.500000        67.2     74.3421     1.66644
    0.500000     83.5151     74.8249     1.64718
    0.500000     77.4488     74.9561     1.57004
    0.500000     75.1253     74.9641     1.49529
    0.500000     79.8418     75.1859     1.44367
    0.500000     76.3751     75.2376     1.38183
    0.500000     78.3243     75.3662     1.33022
    0.500000     78.2482     75.4815       1.282
    0.500000      81.652     75.7188     1.25447
    0.500000     71.3201     75.5559     1.21854
    0.500000     80.7875     75.7427     1.18926
    0.500000      86.656      76.119     1.20632
    0.500000     72.2212     75.9891     1.17308
    0.500000     67.3748     75.7112     1.16769
    0.500000     86.9439     76.0623     1.18279
    0.500000     79.5999     76.1695     1.15179
    0.500000     86.6525     76.4778     1.15845
    0.500000     76.6489     76.4827     1.12536
    0.500000     82.1652     76.6405     1.10511
    0.500000     65.8913       76.35     1.11278
    0.500000     81.0082     76.4726     1.09023
    0.500000     75.7881      76.455     1.06241
    0.500000      83.787     76.6383     1.05155
    0.500000     79.2054     76.7009     1.02776
    0.500000      78.095     76.7341     1.00383
    0.500000     90.2755      77.049     1.02869
    0.500000     83.1432     77.1875     1.01459
    0.500000      76.727     77.1773    0.992099
    0.500000     71.7521     77.0594    0.977517
    0.500000     83.9505      77.206    0.967652
    0.500000     73.3061     77.1247    0.950898
    0.500000     84.3364     77.2719    0.942813
    0.500000     81.5962     77.3584    0.927915
    0.500000     76.5719      77.343    0.909848
    0.500000     80.2816     77.3995    0.894105
    0.500000     84.2208     77.5282     0.88645
    0.500000     67.1774     77.3365    0.890517
    0.500000     85.7447     77.4894    0.887351
    0.500000     77.4076     77.4879    0.871507
    0.500000     83.0667     77.5858    0.861695
    0.500000      60.725     77.2951    0.894532
    0.500000     71.4235     77.1956    0.884889
    0.500000     77.9077     77.2075     0.87022
    0.500000     70.3911     77.0957    0.863099
    0.500000     71.5497     77.0063    0.853801
    0.500000     75.3765     76.9804     0.84064
    0.500000     82.6327     77.0687    0.832131
    0.500000     89.0421     77.2529     0.83947
    0.500000     68.9111     77.1265    0.836212
    0.500000     83.6992     77.2246    0.829465
    0.500000     77.9867     77.2358    0.817343
    0.500000     74.5269     77.1966     0.80644
    0.500000     80.6192     77.2455      0.7964
    0.500000     90.9461     77.4384    0.808223
    0.500000     80.9963     77.4879    0.798507
    0.500000     83.9314     77.5761    0.792432
    0.500000     88.3412     77.7216    0.794964
    0.500000     86.0073     77.8321    0.792004
    0.500000     77.7014     77.8303    0.781585
    0.500000     82.5567     77.8917    0.773841
    0.500000       74.72     77.8511    0.764987
    0.500000     85.4444     77.9472    0.761319
    0.500000     83.9669     78.0224    0.755511
    0.500000     67.2304     77.8892    0.757841
    0.500000     68.9482     77.7802    0.756402
    0.500000     90.0839     77.9284    0.761676
    0.500000     86.6988     78.0328    0.759731
    0.500000     81.1082      78.069    0.751654
    0.500000     83.0679     78.1271    0.745158
    0.500000     75.2939     78.0945    0.737304
    0.500000     74.6955     78.0559    0.729937
    0.500000      60.475     77.8584    0.747987
    0.500000     80.3913     77.8865    0.740206
    0.500000     67.1851     77.7689    0.741354
    0.500000     76.8831     77.7593    0.733358
    0.500000     85.4022     77.8415    0.730063
    0.500000     73.7173     77.7976    0.723614
    0.500000     87.4303      77.899    0.723066
    0.500000     79.6681     77.9174    0.715769
    0.500000     81.9617     77.9591    0.709603
    0.500000     80.9085     77.9892       0.703
    0.500000     87.7438     78.0878     0.70277
    0.500000     73.4204     78.0411     0.69729
