TEMPERATURE:   ACTUAL_TE:    TE_AVE:      ERROR:
    0.500000   -0.956264   -0.956264           0
    0.500000   -0.965424   -0.960844  0.00323855
    0.500000   -0.964592   -0.962093  0.00238788
    0.500000   -0.965456   -0.962934  0.00193324
    0.500000   -0.968472   -0.964042  0.00183667
    0.500000   -0.964664   -0.964145  0.00153349
    0.500000   -0.975584   -0.965779  0.00200412
    0.500000   -0.969424   -0.966235  0.00180464
    0.500000   -0.959192   -0.965452  0.00176566
    0.500000   -0.967144   -0.965622  0.00159718
    0.500000   -0.962608   -0.965348  0.00147529
    0.500000   -0.979112   -0.966495  0.00174209
    0.500000   -0.978808   -0.967442  0.00184772
    0.500000    -0.96844   -0.967513  0.00171712
    0.500000   -0.972384   -0.967838  0.00163306
    0.500000   -0.984288   -0.968866  0.00182618
    0.500000   -0.980208   -0.969533  0.00183659
    0.500000   -0.962624   -0.969149  0.00177422
    0.500000    -0.98044   -0.969744  0.00177757
    0.500000   -0.973136   -0.969913  0.00169676
    0.500000   -0.969744   -0.969905  0.00161598
    0.500000   -0.972744   -0.970034  0.00154767
    0.500000   -0.969544   -0.970013  0.00148053
    0.500000    -0.97296   -0.970136  0.00142393
    0.500000   -0.972728   -0.970239  0.00137074
    0.500000   -0.974368   -0.970398  0.00132718
    0.500000   -0.967736     -0.9703  0.00128169
    0.500000    -0.97564    -0.97049  0.00125002
    0.500000    -0.98068   -0.970842  0.00125533
    0.500000    -0.96936   -0.970792  0.00121446
    0.500000   -0.964272   -0.970582  0.00119336
    0.500000   -0.982304   -0.970948  0.00121098
    0.500000   -0.972656      -0.971  0.00117539
    0.500000   -0.981288   -0.971303  0.00117913
    0.500000   -0.970008   -0.971266  0.00114602
    0.500000    -0.97676   -0.971418   0.0011243
    0.500000    -0.96232   -0.971172  0.00112048
    0.500000    -0.97648   -0.971312  0.00109967
    0.500000    -0.97196   -0.971329  0.00107159
    0.500000   -0.979672   -0.971537  0.00106491
    0.500000   -0.973816   -0.971593  0.00104039
    0.500000   -0.972776   -0.971621    0.001016
    0.500000   -0.985592   -0.971946  0.00104303
    0.500000   -0.977984   -0.972083  0.00102831
    0.500000   -0.972112   -0.972084  0.00100546
    0.500000   -0.968984   -0.972016 0.000985858
    0.500000   -0.978304    -0.97215 0.000973917
    0.500000   -0.968208   -0.972068 0.000957083
    0.500000    -0.98044   -0.972239  0.00095268
    0.500000   -0.975984   -0.972314 0.000936566
    0.500000     -0.9726   -0.972319 0.000918219
    0.500000   -0.975984    -0.97239 0.000903261
    0.500000   -0.977416   -0.972485 0.000891183
    0.500000   -0.961984    -0.97229 0.000895643
    0.500000   -0.979832   -0.972427 0.000889794
    0.500000     -0.9716   -0.972413 0.000874027
    0.500000   -0.978056   -0.972512 0.000864283
    0.500000   -0.957488   -0.972253 0.000887349
    0.500000    -0.96476   -0.972126 0.000881349
    0.500000   -0.973736   -0.972152 0.000867069
    0.500000   -0.963976   -0.972018 0.000863153
    0.500000   -0.967656   -0.971948 0.000852094
    0.500000    -0.97164   -0.971943 0.000838582
    0.500000   -0.978312   -0.972043 0.000831363
    0.500000   -0.983336   -0.972216 0.000836531
    0.500000   -0.964944   -0.972106 0.000831082
    0.500000   -0.979048    -0.97221 0.000825111
    0.500000    -0.97284   -0.972219 0.000813029
    0.500000    -0.97036   -0.972192 0.000801692
    0.500000   -0.977016   -0.972261 0.000793196
    0.500000   -0.985176   -0.972443  0.00080261
    0.500000   -0.975976   -0.972492 0.000792961
    0.500000   -0.977392   -0.972559 0.000784935
    0.500000   -0.982496   -0.972693  0.00078573
    0.500000    -0.98324   -0.972834 0.000787736
    0.500000   -0.972568   -0.972831 0.000777379
    0.500000   -0.977136   -0.972886 0.000769292
    0.500000   -0.968216   -0.972827 0.000761756
    0.500000   -0.980096   -0.972919  0.00075765
    0.500000   -0.980048   -0.973008 0.000753403
    0.500000     -0.9622   -0.972874 0.000755824
    0.500000   -0.964168   -0.972768 0.000754027
    0.500000   -0.984544    -0.97291 0.000758173
    0.500000    -0.98252   -0.973024  0.00075773
    0.500000      -0.975   -0.973048 0.000749172
    0.500000   -0.978016   -0.973105 0.000742685
    0.500000   -0.970016    -0.97307 0.000734996
    0.500000   -0.970096   -0.973036 0.000727421
    0.500000   -0.954424   -0.972827 0.000748705
    0.500000   -0.975264   -0.972854 0.000740875
    0.500000   -0.963392    -0.97275 0.000739994
    0.500000   -0.971032   -0.972731 0.000732186
    0.500000   -0.980976    -0.97282 0.000729661
    0.500000   -0.969864   -0.972789 0.000722576
    0.500000   -0.982624   -0.972892 0.000722348
    0.500000   -0.974464   -0.972909 0.000715009
    0.500000   -0.975992    -0.97294 0.000708345
    0.500000   -0.974112   -0.972952 0.000701217
    0.500000   -0.981248   -0.973036 0.000699123
    0.500000   -0.967216   -0.972978  0.00069455
