TEMPERATURE:   ACTUAL_M:     M_AVE:       ERROR:
    0.500000    0.957984    0.957984           0
    0.500000    0.912344    0.935164   0.0161362
    0.500000    0.922516    0.930948   0.0112948
    0.500000    0.906488    0.924833  0.00999022
    0.500000    0.874188    0.914704   0.0120811
    0.500000    0.771264    0.890797   0.0240339
    0.500000    0.774756     0.87422   0.0256891
    0.500000    0.937424    0.882121   0.0236617
    0.500000    0.776652    0.870402   0.0237579
    0.500000    0.892504    0.872612   0.0214847
    0.500000    0.951988    0.879828   0.0207079
    0.500000    0.756744    0.869571   0.0213721
    0.500000    0.813048    0.865223   0.0201655
    0.500000    0.907852    0.868268   0.0189536
    0.500000    0.836284    0.866136   0.0178096
    0.500000    0.956612    0.871791   0.0175713
    0.500000    0.957884    0.876855    0.017252
    0.500000    0.886912    0.877414   0.0163026
    0.500000     0.92364    0.879847   0.0156251
    0.500000    0.883064    0.880007   0.0148447
    0.500000     0.91022    0.881446   0.0142073
    0.500000     0.88652    0.881677   0.0135634
    0.500000    0.924916    0.883557   0.0131033
    0.500000    0.930872    0.885528   0.0127048
    0.500000    0.902968    0.886226   0.0122158
    0.500000    0.899632    0.886741   0.0117568
    0.500000    0.957756    0.889372   0.0116118
    0.500000    0.919304    0.890441   0.0112462
    0.500000    0.793988    0.887115   0.0113396
    0.500000      0.9511    0.889247   0.0111604
    0.500000    0.937436    0.890802   0.0109081
    0.500000    0.946684    0.892548   0.0107061
    0.500000    0.933552    0.893791   0.0104535
    0.500000    0.943884    0.895264   0.0102493
    0.500000     0.78982    0.892251   0.0103899
    0.500000    0.883792    0.892016   0.0101039
    0.500000    0.947416    0.893514  0.00994115
    0.500000    0.958232    0.895217  0.00982434
    0.500000    0.881076    0.894854  0.00957913
    0.500000    0.940772    0.896002  0.00940818
    0.500000    0.939072    0.897053  0.00923717
    0.500000    0.948368    0.898274  0.00909768
    0.500000    0.972368    0.899998  0.00904782
    0.500000    0.824388    0.898279  0.00900389
    0.500000    0.906972    0.898472  0.00880587
    0.500000    0.947824    0.899545  0.00867955
    0.500000     0.96368     0.90091  0.00860148
    0.500000     0.95062    0.901945   0.0084844
    0.500000    0.841356    0.900709  0.00840087
    0.500000    0.823704    0.899169  0.00837283
    0.500000    0.718296    0.895622  0.00892823
    0.500000    0.696484    0.891793  0.00954256
    0.500000    0.912748    0.892188   0.0093707
    0.500000     0.94878    0.893236  0.00925559
    0.500000    0.926664    0.893844  0.00910724
    0.500000    0.933648    0.894555   0.0089723
    0.500000    0.903696    0.894715  0.00881633
    0.500000    0.930492    0.895332  0.00868588
    0.500000    0.901264    0.895432  0.00853924
    0.500000    0.931332    0.896031  0.00841785
    0.500000    0.850128    0.895278  0.00831342
    0.500000    0.730168    0.892615  0.00859529
    0.500000    0.865584    0.892186  0.00846956
    0.500000     0.95666    0.893194  0.00839692
    0.500000    0.940516    0.893922  0.00829924
    0.500000      0.9603    0.894927  0.00823421
    0.500000    0.824568    0.893877    0.008178
    0.500000      0.9122    0.894147  0.00806217
    0.500000     0.97178    0.895272  0.00802346
    0.500000     0.92686    0.895723  0.00792152
    0.500000    0.927448     0.89617  0.00782254
    0.500000    0.952156    0.896947  0.00775244
    0.500000    0.965932    0.897892  0.00770362
    0.500000    0.913664    0.898106  0.00760247
    0.500000    0.895568    0.898072  0.00750118
    0.500000    0.901992    0.898123  0.00740266
    0.500000    0.780848      0.8966  0.00746155
    0.500000    0.911004    0.896785  0.00736818
    0.500000    0.865168    0.896385  0.00728577
    0.500000    0.880532    0.896187  0.00719739
    0.500000    0.965464    0.897042  0.00715917
    0.500000    0.949548    0.897682  0.00710044
    0.500000    0.850144    0.897109  0.00703796
    0.500000    0.907016    0.897227  0.00695516
    0.500000     0.54512    0.893085  0.00801253
    0.500000    0.944504    0.893683  0.00794164
    0.500000    0.954856    0.894386  0.00788142
    0.500000     0.87936    0.894215  0.00779371
    0.500000    0.949228    0.894833  0.00773061
    0.500000     0.90442     0.89494  0.00764545
    0.500000     0.84612    0.894403  0.00758023
    0.500000     0.84122    0.893825  0.00751985
    0.500000    0.875972    0.893633  0.00744144
    0.500000    0.800256     0.89264  0.00742828
    0.500000    0.967964    0.893433  0.00739229
    0.500000    0.944864    0.893969  0.00733467
    0.500000      0.9569    0.894617  0.00728769
    0.500000    0.939468    0.895075  0.00722768
    0.500000     0.86284    0.894749  0.00716201
    0.500000    0.809504    0.893897  0.00714094
