TEMPERATURE:   ACTUAL_CV:    CV_AVE:      ERROR:
    0.500000     0.39143     0.39143           0
    0.500000    0.255418    0.323424   0.0480872
    0.500000    0.321014    0.322621   0.0320649
    0.500000    0.328978     0.32421    0.024088
    0.500000    0.352164    0.329801   0.0199086
    0.500000     0.38336    0.338727   0.0184837
    0.500000    0.366177    0.342649   0.0162538
    0.500000    0.327878    0.340802   0.0143266
    0.500000    0.302481    0.336544   0.0133525
    0.500000    0.342129    0.337103   0.0120289
    0.500000    0.322557    0.335781   0.0110078
    0.500000    0.356289     0.33749   0.0102223
    0.500000    0.350127    0.338462  0.00948211
    0.500000    0.384819    0.341773  0.00936513
    0.500000    0.302796    0.339175  0.00909413
    0.500000    0.319739     0.33796  0.00860649
    0.500000    0.372129     0.33997  0.00833162
    0.500000    0.278208    0.336539  0.00854614
    0.500000    0.292375    0.334214   0.0084065
    0.500000    0.276344    0.331321  0.00846952
    0.500000    0.289797    0.329343  0.00829381
    0.500000    0.282016    0.327192  0.00819106
    0.500000    0.288635    0.325516  0.00800464
    0.500000     0.35844    0.326888  0.00778778
    0.500000    0.343239    0.327542  0.00750368
    0.500000    0.338153     0.32795  0.00722617
    0.500000    0.275225    0.325997  0.00721757
    0.500000    0.379207    0.327897  0.00720563
    0.500000    0.373465    0.329469  0.00712642
    0.500000    0.213014    0.325587  0.00787545
    0.500000    0.300428    0.324775  0.00766311
    0.500000    0.251501    0.322485  0.00775821
    0.500000    0.254633    0.320429  0.00779081
    0.500000    0.274788    0.319087  0.00767645
    0.500000    0.387004    0.321027  0.00769848
    0.500000    0.340731    0.321575  0.00750407
    0.500000    0.289516    0.320708   0.0073511
    0.500000     0.33985    0.321212  0.00717489
    0.500000    0.370903    0.322486  0.00710315
    0.500000    0.366851    0.323595  0.00701163
    0.500000    0.321792    0.323551  0.00684075
    0.500000    0.312299    0.323283  0.00668312
    0.500000    0.316114    0.323117  0.00652978
    0.500000    0.356439    0.323874  0.00642514
    0.500000    0.286005    0.323032  0.00633723
    0.500000    0.387053    0.324424  0.00635045
    0.500000    0.288901    0.323668  0.00626015
    0.500000    0.298247    0.323139  0.00615209
    0.500000    0.368412    0.324063  0.00609553
    0.500000     0.39468    0.325475  0.00613506
    0.500000    0.336686    0.325695   0.0060187
    0.500000    0.354271    0.326244  0.00592799
    0.500000    0.320201     0.32613  0.00581724
    0.500000    0.358021    0.326721  0.00573941
    0.500000    0.332578    0.326827  0.00563604
    0.500000     0.38592    0.327883  0.00563332
    0.500000    0.328244    0.327889  0.00553449
    0.500000    0.315834    0.327681  0.00544297
    0.500000    0.291327    0.327065  0.00538548
    0.500000    0.369754    0.327776  0.00534251
    0.500000    0.351884    0.328172  0.00526953
    0.500000    0.382698    0.329051  0.00525741
    0.500000    0.350432    0.329391  0.00518491
    0.500000     0.29918    0.328918  0.00512533
    0.500000    0.332411    0.328972  0.00504676
    0.500000    0.335903    0.329077  0.00497139
    0.500000    0.287436    0.328456  0.00493589
    0.500000    0.324825    0.328402  0.00486359
    0.500000    0.256874    0.327366  0.00490233
    0.500000    0.361144    0.327848  0.00485599
    0.500000      0.3217    0.327762  0.00478837
    0.500000    0.346719    0.328025   0.0047291
    0.500000    0.319276    0.327905  0.00466583
    0.500000    0.320053    0.327799  0.00460399
    0.500000    0.265097    0.326963  0.00461788
    0.500000    0.364116    0.327452  0.00458292
    0.500000    0.334159    0.327539  0.00452423
    0.500000      0.3708    0.328094   0.0045001
    0.500000    0.332857    0.328154  0.00444354
    0.500000     0.33911    0.328291   0.0043901
    0.500000    0.268777    0.327556  0.00439696
    0.500000    0.318254    0.327443   0.0043448
    0.500000    0.356879    0.327797   0.0043069
    0.500000     0.32738    0.327792  0.00425563
    0.500000    0.328757    0.327804  0.00420558
    0.500000    0.200607    0.326325  0.00440909
    0.500000    0.288337    0.325888  0.00437998
    0.500000    0.293938    0.325525  0.00434523
    0.500000    0.358287    0.325893  0.00431197
    0.500000    0.373482    0.326422  0.00429636
    0.500000     0.30364    0.326171  0.00425643
    0.500000    0.327212    0.326183  0.00421018
    0.500000     0.26277    0.325501  0.00421977
    0.500000    0.390131    0.326188  0.00423052
    0.500000     0.27647    0.325665  0.00421823
    0.500000    0.245964    0.324835  0.00425521
    0.500000    0.310944    0.324692  0.00421375
    0.500000    0.379602    0.325252  0.00420784
    0.500000    0.258679     0.32458  0.00421873
    0.500000    0.342626     0.32476   0.0041804
