TEMPERATURE:   ACTUAL_X:     X_AVE:       ERROR:
    0.500000     70.4999     70.4999           0
    0.500000     86.2668     78.3834     5.57446
    0.500000     81.6693     79.4787      3.8224
    0.500000     76.7657     78.8004     2.92635
    0.500000     75.2859     78.0975     2.42403
    0.500000     75.0034     77.5818     2.07416
    0.500000     72.0379     76.7898     1.92312
    0.500000     79.6407     77.1462     1.71543
    0.500000     82.8254     77.7772     1.63678
    0.500000     77.4174     77.7412      1.4735
    0.500000     76.3777     77.6173     1.34474
    0.500000     77.7076     77.6248      1.2327
    0.500000     77.4595     77.6121     1.13795
    0.500000      69.051     77.0006     1.20986
    0.500000     81.7539     77.3175     1.16997
    0.500000      80.384     77.5091     1.11243
    0.500000      76.822     77.4687     1.04773
    0.500000     85.0286     77.8887      1.0704
    0.500000     81.3276     78.0697     1.02925
    0.500000     85.0987     78.4212     1.03605
    0.500000     84.2787     78.7001     1.02358
    0.500000     83.3068     78.9095    0.998238
    0.500000     84.8718     79.1687    0.987923
    0.500000     73.0955     78.9157    0.978631
    0.500000     76.6004      78.823    0.943858
    0.500000     78.4025     78.8069    0.907694
    0.500000     81.1711     78.8944    0.878289
    0.500000     68.9174     78.5381    0.916357
    0.500000     78.8622     78.5493    0.884826
    0.500000     89.0264     78.8985    0.921679
    0.500000     80.1069     78.9375    0.892772
    0.500000     86.9985     79.1894     0.89971
    0.500000     87.4086     79.4385    0.906265
    0.500000     82.2046     79.5198    0.883254
    0.500000     68.6447     79.2091    0.911034
    0.500000     74.9421     79.0906    0.893405
    0.500000     83.5941     79.2123    0.877511
    0.500000     77.0698     79.1559    0.856228
    0.500000     76.2182     79.0806    0.837581
    0.500000     76.6583       79.02    0.818827
    0.500000     81.0055     79.0685    0.800287
    0.500000     78.9334     79.0653    0.781239
    0.500000     78.8054     79.0592    0.763094
    0.500000     77.9139     79.0332    0.746194
    0.500000     84.1765     79.1475    0.738314
    0.500000     73.3805     79.0221     0.73283
    0.500000     84.2226     79.1328    0.725543
    0.500000     82.2062     79.1968    0.713248
    0.500000     79.4591     79.2021    0.698712
    0.500000     68.3215     78.9845    0.717826
    0.500000     79.0772     78.9863    0.703753
    0.500000     81.4682     79.0341    0.691836
    0.500000        80.4     79.0598    0.679262
    0.500000     78.5709     79.0508    0.666744
    0.500000     80.1362     79.0705    0.654913
    0.500000     73.5579     78.9721    0.650574
    0.500000      77.856     78.9525    0.639455
    0.500000     76.6542     78.9129    0.629657
    0.500000     81.1495     78.9508    0.620125
    0.500000     75.6188     78.8953    0.612271
    0.500000     74.9736      78.831    0.605599
    0.500000     69.7893     78.6851    0.613139
    0.500000     75.9821     78.6422    0.604906
    0.500000     83.6966     78.7212    0.600587
    0.500000     75.8347     78.6768    0.592987
    0.500000     78.9488     78.6809    0.584017
    0.500000     84.5615     78.7687    0.581858
    0.500000     80.6466     78.7963    0.573956
    0.500000     88.9339     78.9432     0.58414
    0.500000     77.6599     78.9249    0.576083
    0.500000     78.7432     78.9223    0.567975
    0.500000     74.5089      78.861    0.563384
    0.500000     80.7879     78.8874    0.556285
    0.500000     80.7851     78.9131    0.549358
    0.500000     85.7837     79.0047    0.549618
    0.500000     77.0506      78.979    0.542988
    0.500000     75.6851     78.9362    0.537618
    0.500000     75.5438     78.8927    0.532482
    0.500000     77.7641     78.8784    0.525933
    0.500000       78.81     78.8776     0.51936
    0.500000     84.2023     78.9433    0.517091
    0.500000     80.5577      78.963     0.51116
    0.500000     74.1247     78.9047    0.508315
    0.500000     77.5742     78.8889     0.50251
    0.500000     81.1374     78.9153    0.497294
    0.500000     90.3467     79.0482    0.508966
    0.500000     81.6179     79.0778    0.503972
    0.500000     80.8093     79.0974    0.498629
    0.500000     75.7023     79.0593    0.494484
    0.500000     75.2289     79.0167    0.490818
    0.500000      79.281     79.0196    0.485433
    0.500000     76.0598     78.9875    0.481221
    0.500000     87.0706     79.0744    0.483832
    0.500000     71.9989     78.9991    0.484505
    0.500000     83.5216     79.0467    0.481738
    0.500000     87.4854     79.1346    0.484673
    0.500000     79.6449     79.1399    0.479705
    0.500000     70.5627     79.0524    0.482728
    0.500000     84.4172     79.1065    0.480884
    0.500000     77.7431     79.0929    0.476269
