TEMPERATURE:   ACTUAL_TE:    TE_AVE:      ERROR:
    0.500000   -0.965304   -0.965304           0
    0.500000   -0.981144   -0.973224  0.00560029
    0.500000   -0.976552   -0.974333  0.00384182
    0.500000   -0.971808   -0.973702  0.00293278
    0.500000   -0.969624   -0.972886  0.00245702
    0.500000     -0.9688   -0.972205  0.00213983
    0.500000    -0.96656   -0.971399  0.00198029
    0.500000   -0.975104   -0.971862  0.00178609
    0.500000   -0.978328    -0.97258   0.0017261
    0.500000   -0.971896   -0.972512  0.00155484
    0.500000   -0.973624   -0.972613  0.00141678
    0.500000    -0.97256   -0.972609  0.00129872
    0.500000   -0.973112   -0.972647  0.00119939
    0.500000   -0.964048   -0.972033  0.00126124
    0.500000   -0.976048   -0.972301  0.00120522
    0.500000   -0.975472   -0.972499  0.00114608
    0.500000   -0.971832    -0.97246  0.00107933
    0.500000    -0.97996   -0.972876  0.00109685
    0.500000   -0.977192   -0.973104  0.00106238
    0.500000     -0.9806   -0.973478  0.00107335
    0.500000   -0.978624   -0.973723  0.00104983
    0.500000   -0.978256   -0.973929  0.00102213
    0.500000   -0.979184   -0.974158   0.0010029
    0.500000   -0.969656    -0.97397 0.000978493
    0.500000   -0.971824   -0.973884 0.000943112
    0.500000   -0.972552   -0.973833  0.00090823
    0.500000    -0.97756   -0.973971 0.000885018
    0.500000   -0.963528   -0.973598 0.000928682
    0.500000   -0.973104   -0.973581 0.000896815
    0.500000   -0.985296   -0.973972 0.000948132
    0.500000   -0.975736   -0.974029 0.000919253
    0.500000   -0.981984   -0.974277 0.000923532
    0.500000   -0.982552   -0.974528 0.000928963
    0.500000    -0.97868    -0.97465 0.000909632
    0.500000   -0.962832   -0.974312 0.000944236
    0.500000   -0.970432   -0.974205 0.000924139
    0.500000   -0.978696   -0.974326 0.000907099
    0.500000    -0.97252   -0.974279 0.000884472
    0.500000    -0.97092   -0.974192 0.000865976
    0.500000   -0.970792   -0.974107 0.000848489
    0.500000      -0.976   -0.974154 0.000829049
    0.500000   -0.974448   -0.974161 0.000809339
    0.500000   -0.974672   -0.974172 0.000790605
    0.500000   -0.972376   -0.974132  0.00077369
    0.500000   -0.978992    -0.97424 0.000763999
    0.500000   -0.967072   -0.974084 0.000763114
    0.500000    -0.97888   -0.974186  0.00075367
    0.500000   -0.976856   -0.974242 0.000740018
    0.500000   -0.972232     -0.9742 0.000726051
    0.500000     -0.9638   -0.973992 0.000740728
    0.500000   -0.973568   -0.973984 0.000726251
    0.500000   -0.975352    -0.97401 0.000712761
    0.500000   -0.975272   -0.974034  0.00069971
    0.500000   -0.973552   -0.974025 0.000686809
    0.500000   -0.974832    -0.97404 0.000674478
    0.500000   -0.968504   -0.973941 0.000669639
    0.500000   -0.973184   -0.973928 0.000658023
    0.500000   -0.972304     -0.9739 0.000647273
    0.500000   -0.976512   -0.973944 0.000637815
    0.500000   -0.970592   -0.973888 0.000629627
    0.500000    -0.97076   -0.973837  0.00062139
    0.500000   -0.965888   -0.973709 0.000624454
    0.500000   -0.971264    -0.97367 0.000615747
    0.500000   -0.978184   -0.973741 0.000610152
    0.500000    -0.97216   -0.973716 0.000601249
    0.500000   -0.975216   -0.973739 0.000592569
    0.500000    -0.97924   -0.973821 0.000589385
    0.500000    -0.97556   -0.973847 0.000581272
    0.500000   -0.983064    -0.97398 0.000587998
    0.500000   -0.972864   -0.973964 0.000579814
    0.500000    -0.97532   -0.973983 0.000571962
    0.500000   -0.969304   -0.973918 0.000567698
    0.500000   -0.976192   -0.973949 0.000560775
    0.500000   -0.975128   -0.973965 0.000553423
    0.500000   -0.981864   -0.974071 0.000555975
    0.500000   -0.972168   -0.974046 0.000549223
    0.500000   -0.970288   -0.973997 0.000544254
    0.500000   -0.969368   -0.973938 0.000540502
    0.500000   -0.973328    -0.97393 0.000533715
    0.500000   -0.972256   -0.973909 0.000527454
    0.500000   -0.980336   -0.973988 0.000526876
    0.500000   -0.975832   -0.974011 0.000520931
    0.500000   -0.968832   -0.973948 0.000518377
    0.500000   -0.973056   -0.973938 0.000512315
    0.500000   -0.975504   -0.973956 0.000506619
    0.500000    -0.98608   -0.974097 0.000519973
    0.500000   -0.977552   -0.974137  0.00051551
    0.500000   -0.976072   -0.974159 0.000510121
    0.500000   -0.971168   -0.974125 0.000505495
    0.500000   -0.969672   -0.974076 0.000502294
    0.500000   -0.975632   -0.974093 0.000497065
    0.500000   -0.971304   -0.974063 0.000492586
    0.500000   -0.981808   -0.974146  0.00049428
    0.500000   -0.965432   -0.974053 0.000497639
    0.500000   -0.979168   -0.974107 0.000495304
    0.500000    -0.98168   -0.974186 0.000496387
    0.500000   -0.975528     -0.9742 0.000491463
    0.500000   -0.964408     -0.9741   0.0004965
    0.500000   -0.981152   -0.974171 0.000496569
    0.500000   -0.972528   -0.974155 0.000491875
