TEMPERATURE:   ACTUAL_M:     M_AVE:       ERROR:
    0.500000    0.920088    0.892676   0.0105145
    0.600000     0.77348     0.65101   0.0120673
    0.700000      0.4072    0.452434  0.00791336
    0.800000    0.307912    0.291969   0.0054365
    0.900000    0.218956    0.204957  0.00380152
    1.000000     0.14568     0.15056  0.00276859
    1.100000     0.13912    0.110872   0.0023773
    1.200000    0.080848   0.0881506  0.00182727
    1.300000    0.058132   0.0707317  0.00136019
    1.400000    0.077736   0.0577665  0.00120393
    1.500000    0.056224   0.0509278 0.000999058
    1.600000    0.045804   0.0419381 0.000848424
    1.700000    0.035472   0.0377833 0.000832506
    1.800000    0.044228   0.0337704 0.000822895
    1.900000    0.029892    0.029823 0.000678994
    2.000000      0.0301   0.0269808 0.000623713
    2.100000    0.019556   0.0243474 0.000577624
    2.200000    0.028836   0.0223173 0.000578126
    2.300000    0.021556    0.021382 0.000560006
    2.400000    0.026992   0.0186434 0.000508622
    2.500000    0.012888   0.0182671 0.000590853
