TEMPERATURE:   ACTUAL_CV:    CV_AVE:      ERROR:
    0.500000    0.401746    0.331314  0.00535172
    0.600000    0.394489    0.418422  0.00256154
    0.700000    0.423708    0.435921  0.00283097
    0.800000    0.422248    0.438719  0.00152959
    0.900000    0.439714    0.436863   0.0015195
    1.000000    0.416662    0.417659 0.000977045
    1.100000    0.392621    0.395963 0.000962485
    1.200000    0.355976    0.371372 0.000844021
    1.300000    0.340683    0.344335 0.000728767
    1.400000    0.320509     0.31864 0.000596181
    1.500000    0.290955    0.292944 0.000452229
    1.600000    0.272688    0.271074 0.000463976
    1.700000    0.253723    0.249873 0.000383222
    1.800000    0.229831     0.22978 0.000397011
    1.900000    0.215243    0.212516  0.00031835
    2.000000    0.195128     0.19666 0.000312403
    2.100000    0.183516    0.182366 0.000268199
    2.200000    0.167766    0.169512 0.000251041
    2.300000     0.16002    0.157389 0.000237776
    2.400000    0.146365     0.14662 0.000210645
    2.500000    0.139989    0.137269 0.000219029
