TEMPERATURE:   ACTUAL_X:     X_AVE:       ERROR:
    0.500000     73.4204     78.0434    0.696784
    0.600000     52.1546     44.6827    0.521964
    0.700000     25.5549     25.2957    0.259344
    0.800000     16.5156     15.3106    0.117437
    0.900000     10.4541     10.2364   0.0798888
    1.000000     7.37822     7.39836   0.0471548
    1.100000     5.07967     5.55312   0.0280184
    1.200000     4.27739     4.39941   0.0210452
    1.300000     3.59366     3.56611   0.0149061
    1.400000     3.08797     2.97992   0.0114841
    1.500000     2.51338     2.53079  0.00868653
    1.600000      2.2527     2.17829  0.00770124
    1.700000     1.94652     1.90335  0.00595888
    1.800000     1.73136     1.68964  0.00524675
    1.900000      1.4827     1.51018  0.00441877
    2.000000     1.30906     1.34935  0.00388114
    2.100000      1.2153     1.23659  0.00329502
    2.200000     1.17736     1.13453   0.0025701
    2.300000     1.03752     1.04082   0.0026057
    2.400000     0.96252    0.958363  0.00236693
    2.500000    0.899936    0.894518  0.00219912
