TEMPERATURE:   ACTUAL_TE:    TE_AVE:      ERROR:
    0.500000   -0.967216   -0.972982 0.000693561
    0.600000      -0.944   -0.935734 0.000669414
    0.700000   -0.890552   -0.892697 0.000444464
    0.800000   -0.851144   -0.848334  0.00036096
    0.900000   -0.807408   -0.804102 0.000292634
    1.000000    -0.75956   -0.761889 0.000289257
    1.100000   -0.722264   -0.720443 0.000248632
    1.200000   -0.677872    -0.68223 0.000229664
    1.300000   -0.645288   -0.646522   0.0002359
    1.400000   -0.615936   -0.613374 0.000229952
    1.500000   -0.583976   -0.582982 0.000196711
    1.600000   -0.553856   -0.554768 0.000190732
    1.700000   -0.527824   -0.528512 0.000187791
    1.800000   -0.504048    -0.50488 0.000195859
    1.900000   -0.483568   -0.482564 0.000171239
    2.000000   -0.462936    -0.46207 0.000151505
    2.100000    -0.44532   -0.443376  0.00018099
    2.200000   -0.428232   -0.425107 0.000190641
    2.300000   -0.408184   -0.409662 0.000166288
    2.400000   -0.394328   -0.394142 0.000177983
    2.500000   -0.380928   -0.380241 0.000186591
