TEMPERATURE:   ACTUAL_M:     M_AVE:       ERROR:
    0.500000    0.809504    0.893891  0.00714044
    0.600000    0.717392    0.668699  0.00882808
    0.700000    0.442308    0.447088   0.0058993
    0.800000    0.311144    0.292552  0.00371167
    0.900000     0.20642    0.204983  0.00279339
    1.000000    0.115216    0.149643  0.00243828
    1.100000     0.12084    0.112634   0.0016267
    1.200000    0.086232   0.0863759  0.00151286
    1.300000    0.069484   0.0725923  0.00124983
    1.400000    0.057584   0.0600298 0.000971413
    1.500000    0.046108   0.0506998 0.000792046
    1.600000     0.04282    0.044593 0.000823019
    1.700000     0.04012   0.0377976 0.000640245
    1.800000    0.038536   0.0343337 0.000636928
    1.900000    0.036124   0.0312421  0.00055252
    2.000000    0.015244   0.0273998 0.000512862
    2.100000     0.02946   0.0249537 0.000488446
    2.200000    0.016124   0.0225387 0.000439422
    2.300000      0.0224   0.0212646 0.000431683
    2.400000    0.017864   0.0189718 0.000439778
    2.500000    0.016272   0.0186067 0.000453435
