TEMPERATURE:   ACTUAL_CV:    CV_AVE:      ERROR:
    0.500000    0.342626    0.324738  0.00417701
    0.600000    0.393164    0.420732  0.00231147
    0.700000    0.447483    0.430735  0.00214147
    0.800000    0.421411    0.438712  0.00147503
    0.900000    0.405184    0.434305   0.0014388
    1.000000    0.431727    0.418552 0.000904634
    1.100000    0.389901    0.398214 0.000809061
    1.200000    0.366619    0.371256 0.000734303
    1.300000    0.338117    0.344808 0.000650777
    1.400000    0.316134    0.317727 0.000552318
    1.500000    0.291649    0.292929 0.000461049
    1.600000     0.27279    0.269356 0.000487456
    1.700000    0.243283    0.249452  0.00039108
    1.800000      0.2281    0.230325 0.000342508
    1.900000    0.214866    0.212801 0.000334321
    2.000000    0.197817    0.196641  0.00026352
    2.100000    0.180525    0.182217 0.000269644
    2.200000    0.172672    0.169156 0.000263907
    2.300000    0.157236    0.157201 0.000254287
    2.400000    0.144951    0.146542 0.000209381
    2.500000    0.137025    0.136999 0.000206278
