TEMPERATURE:   ACTUAL_X:     X_AVE:       ERROR:
    0.500000     77.7431     79.0876    0.477262
    0.600000     48.7906     45.1788    0.357958
    0.700000     24.9908     24.6316    0.185476
    0.800000     14.1093     15.1895   0.0924036
    0.900000      10.908     10.1838   0.0562535
    1.000000     7.12698     7.39739   0.0346846
    1.100000      5.5682     5.64458    0.021476
    1.200000     4.55701     4.40774   0.0141299
    1.300000     3.69324     3.55436   0.0120476
    1.400000      2.9685     2.99636  0.00906086
    1.500000     2.52106     2.52629  0.00677364
    1.600000     2.26698      2.1787  0.00625838
    1.700000     1.86298     1.90191  0.00435047
    1.800000      1.7002     1.68944  0.00424111
    1.900000     1.50541     1.51042  0.00353249
    2.000000     1.38324     1.36091   0.0029679
    2.100000      1.1967     1.23151  0.00274822
    2.200000     1.09749     1.12746  0.00239644
    2.300000     1.03004     1.03603  0.00194251
    2.400000     0.93333     0.95535  0.00175791
    2.500000    0.893626     0.89157  0.00183479
