TEMPERATURE:   ACTUAL_TE:    TE_AVE:      ERROR:
    0.500000   -0.972528   -0.974149 0.000492959
    0.600000   -0.942024   -0.936449 0.000485477
    0.700000   -0.891424   -0.891757 0.000347798
    0.800000   -0.848608   -0.848302  0.00025915
    0.900000   -0.808608   -0.804068 0.000261024
    1.000000    -0.76188   -0.761687 0.000219101
    1.100000   -0.716344   -0.720694 0.000222448
    1.200000   -0.683848   -0.682018 0.000198953
    1.300000   -0.645008   -0.646016 0.000221819
    1.400000   -0.616016   -0.613506 0.000184585
    1.500000   -0.584072   -0.582658 0.000180912
    1.600000   -0.554296   -0.554914 0.000189977
    1.700000   -0.527736   -0.528804 0.000187348
    1.800000   -0.502752    -0.50456  0.00016572
    1.900000   -0.482816   -0.482732 0.000160983
    2.000000   -0.463088    -0.46212 0.000170914
    2.100000    -0.44352   -0.443002 0.000156267
    2.200000   -0.424336   -0.425665 0.000163246
    2.300000   -0.409224   -0.409412  0.00016612
    2.400000   -0.394184   -0.394317 0.000167055
    2.500000   -0.379552   -0.379878 0.000142624
