TEMPERATURE:   ACTUAL_M:     M_AVE:       ERROR:
    0.500000    0.999144    0.998987 2.94284e-05
    0.600000    0.993572    0.994595 7.89426e-05
    0.700000    0.979492    0.980578 0.000193746
    0.800000    0.945572    0.950973 0.000305847
    0.900000    0.905092    0.899488 0.000451423
    1.000000    0.819796    0.829394 0.000621314
    1.100000     0.74616    0.746737 0.000749338
    1.200000    0.664608    0.662769 0.000776995
    1.300000    0.582824    0.582783 0.000835843
    1.400000    0.512536    0.513228 0.000676338
    1.500000    0.462112    0.452506 0.000705483
    1.600000     0.40204    0.401394 0.000631083
    1.700000    0.352276    0.358409  0.00058939
    1.800000    0.310968    0.319687 0.000583388
    1.900000    0.287604    0.289171 0.000512448
    2.000000    0.254516    0.262669 0.000516128
    2.100000    0.241928    0.240316 0.000478545
    2.200000     0.22126    0.220809 0.000493017
    2.300000    0.197924    0.203346 0.000422593
    2.400000    0.193396    0.188972 0.000406844
    2.500000    0.172716    0.175644 0.000369295
