#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.53614    -5.53614           0
           2    -5.58711    -5.56162   0.0180234
           3    -5.53099    -5.55141   0.0146245
           4    -5.51447    -5.54218    0.013575
           5    -5.53075    -5.53989   0.0110506
           6    -5.54393    -5.54057  0.00922928
           7    -5.54925    -5.54181  0.00799366
           8    -5.57131    -5.54549   0.0077989
           9    -5.59709    -5.55123  0.00879057
          10    -5.55473    -5.55158  0.00791848
