TEMPERATURE:   ACTUAL_CV:    CV_AVE:      ERROR:
    0.100000           0 0.000654022 0.000650744
    0.200000           0           0           0
    0.300000           0 7.78311e-06 5.18177e-06
    0.400000           0  0.00167048  0.00023563
    0.500000  0.00857393  0.00548662 0.000247276
    0.600000   0.0069802  0.00764867 0.000157124
    0.700000  0.00790516  0.00841656  0.00013606
    0.800000  0.00838364  0.00856301  9.0225e-05
    0.900000  0.00805748  0.00875623 8.59863e-05
    1.000000  0.00899117  0.00836642 6.38713e-05
    1.100000  0.00840712  0.00796239 5.84122e-05
    1.200000  0.00640906  0.00740294  4.8663e-05
    1.300000  0.00728464  0.00691368 3.98708e-05
    1.400000   0.0063642  0.00631324 3.84856e-05
    1.500000   0.0059904  0.00582246 3.33368e-05
    1.600000  0.00565331  0.00538234 2.86903e-05
    1.700000  0.00487654  0.00498195 2.39766e-05
    1.800000  0.00412326  0.00458084  2.4183e-05
    1.900000  0.00405469   0.0042459 2.15435e-05
    2.000000  0.00394864  0.00393238 1.91173e-05
