TEMPERATURE:   ACTUAL_X:     X_AVE:       ERROR:
    0.100000       25000     24993.5     6.49249
    0.200000       12500       12500           0
    0.300000     8333.33     8333.19    0.108816
    0.400000        6250     6052.55     35.9395
    0.500000     2394.74     3942.12     85.1208
    0.600000     2790.59     2150.37     61.8937
    0.700000     698.309     1258.29     32.7344
    0.800000     944.165     750.968     17.2468
    0.900000     409.107     509.482     10.6732
    1.000000     315.156     365.596     5.26238
    1.100000      219.24     279.883     3.87141
    1.200000     228.117      225.94     2.31748
    1.300000     167.305     179.058      2.0133
    1.400000     143.117     149.843     1.34244
    1.500000     129.635      125.49     1.19143
    1.600000     98.4575     110.188     1.02851
    1.700000     85.7271     97.0145     0.77755
    1.800000     81.8244     85.0406    0.613622
    1.900000     75.2442     76.6898    0.555484
    2.000000      65.018     67.9909    0.504202
