#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.555506    0.555506           0
           2     0.58863    0.572068    0.011711
           3    0.554289    0.566142  0.00918529
           4    0.544794    0.560805  0.00829578
           5    0.553415    0.559327    0.006767
           6    0.562356    0.559832  0.00565796
           7    0.563771    0.560394  0.00487758
           8    0.580661    0.562928  0.00488165
           9    0.595298    0.566525   0.0055071
          10    0.568134    0.566685  0.00495874
