TEMPERATURE:   ACTUAL_TE:    TE_AVE:      ERROR:
    0.100000          -1   -0.999958 4.21875e-05
    0.200000          -1          -1           0
    0.300000          -1   -0.999991 5.86733e-06
    0.400000          -1   -0.996044 0.000616706
    0.500000    -0.93928   -0.973533  0.00177492
    0.600000    -0.95536   -0.934294  0.00155475
    0.700000    -0.87448   -0.892338   0.0011114
    0.800000    -0.85552   -0.848882 0.000882236
    0.900000     -0.8012   -0.803276 0.000889854
    1.000000    -0.74984   -0.761774 0.000871421
    1.100000    -0.71816   -0.720672 0.000754756
    1.200000    -0.67752   -0.682367 0.000693459
    1.300000    -0.64392   -0.646047 0.000764059
    1.400000    -0.61264   -0.613894 0.000602225
    1.500000      -0.576   -0.582214 0.000655635
    1.600000    -0.56208    -0.55498 0.000580569
    1.700000    -0.52352   -0.528832 0.000533712
    1.800000    -0.50408   -0.504436 0.000597102
    1.900000     -0.4776   -0.482742 0.000511602
    2.000000     -0.4648   -0.461704 0.000505806
