DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 6.22473e-05  4.6177e-05
    0.884913  0.00176441 0.000273418
    0.910562   0.0268497   0.0012979
    0.936212     0.16831  0.00319576
    0.961861    0.574212  0.00490366
    0.987511     1.20327  0.00967036
     1.01316     1.85223   0.0109834
     1.03881     2.31758   0.0124695
     1.06446      2.5592   0.0126945
     1.09011     2.54324   0.0124624
     1.11576     2.41621   0.0119963
     1.14141     2.19947   0.0113614
     1.16706     1.97774   0.0109211
     1.19271     1.75652   0.0118315
     1.21836     1.56752   0.0116525
     1.24401     1.39016  0.00960187
     1.26966      1.2488  0.00993083
     1.29531     1.11609  0.00799197
     1.32096      1.0108  0.00788929
     1.34661    0.948153  0.00817333
     1.37226    0.877547  0.00807174
     1.39791    0.823116  0.00704522
     1.42355    0.784241  0.00626131
      1.4492    0.742777  0.00624237
     1.47485    0.713943  0.00573009
      1.5005    0.696161   0.0051396
     1.52615    0.671047  0.00572234
      1.5518    0.669004  0.00600408
     1.57745    0.657173  0.00547655
      1.6031     0.67252  0.00578758
     1.62875    0.689844  0.00519923
      1.6544     0.69888  0.00567174
     1.68005    0.717806  0.00579751
      1.7057    0.746678  0.00506251
     1.73135    0.775057  0.00497675
       1.757    0.813844  0.00566288
     1.78265    0.851475  0.00650981
      1.8083    0.894635  0.00535632
     1.83395    0.934847  0.00513896
      1.8596     0.97555  0.00545295
     1.88525     1.01885  0.00563037
      1.9109     1.05041   0.0050793
     1.93655     1.10016  0.00618584
      1.9622     1.13015  0.00561029
     1.98785     1.15736   0.0051722
      2.0135     1.18403  0.00659325
     2.03915     1.20288  0.00505248
      2.0648     1.22006  0.00578603
     2.09045      1.2248  0.00661277
      2.1161     1.21818   0.0065807
     2.14174     1.19666  0.00529408
     2.16739     1.17267  0.00535888
     2.19304     1.15011  0.00547163
     2.21869      1.1285  0.00510001
     2.24434     1.10582  0.00472122
     2.26999     1.07643  0.00487997
     2.29564     1.04344  0.00439293
     2.32129     1.01561  0.00432321
     2.34694    0.989185  0.00365906
     2.37259    0.964159  0.00383961
     2.39824    0.945408  0.00469639
     2.42389    0.929913  0.00410911
     2.44954    0.914697  0.00431115
     2.47519    0.897339  0.00409998
     2.50084    0.887553  0.00403825
     2.52649    0.883263  0.00419551
     2.55214     0.88682  0.00402293
