BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.44989    -5.44989           0
           2    -5.44657    -5.44823  0.00117351
           3     -5.4504    -5.44895 0.000979709
           4    -5.46172    -5.45214  0.00285999
           5    -5.47346    -5.45641  0.00444706
           6    -5.47651    -5.45976  0.00480459
           7    -5.47922    -5.46254  0.00485664
           8    -5.46906    -5.46335  0.00431746
           9    -5.45933    -5.46291  0.00386078
          10     -5.4745    -5.46407  0.00364463
          11    -5.45353    -5.46311  0.00343685
          12    -5.47082    -5.46375  0.00320997
          13    -5.47614     -5.4647  0.00310137
          14    -5.47256    -5.46527  0.00293012
          15    -5.46505    -5.46525  0.00273481
          16    -5.45272    -5.46447  0.00267364
          17    -5.45857    -5.46412   0.0025388
          18    -5.45049    -5.46336  0.00250812
          19    -5.46946    -5.46368  0.00239653
          20     -5.4715    -5.46408  0.00230836
          21     -5.4601    -5.46389  0.00220619
          22    -5.45478    -5.46347  0.00214436
          23    -5.46916    -5.46372  0.00206533
          24    -5.48582    -5.46464  0.00217495
          25    -5.46587    -5.46469  0.00208851
          26    -5.45471    -5.46431  0.00204312
          27    -5.45275    -5.46388  0.00201181
          28    -5.47537    -5.46429  0.00198136
          29    -5.47532    -5.46467  0.00194924
          30    -5.45341    -5.46429  0.00192007
          31    -5.47191    -5.46454  0.00187378
          32    -5.47513    -5.46487  0.00184423
          33    -5.47105    -5.46506  0.00179784
          34    -5.48069    -5.46552  0.00180278
          35    -5.45588    -5.46524  0.00177218
          36    -5.45257    -5.46489  0.00175759
          37    -5.45809    -5.46471  0.00171967
          38     -5.4785    -5.46507   0.0017123
          39    -5.47842    -5.46541  0.00170225
          40    -5.44823    -5.46498  0.00171303
          41    -5.46518    -5.46499  0.00167126
          42    -5.45544    -5.46476  0.00164686
          43    -5.47434    -5.46498  0.00162357
          44     -5.4595    -5.46486  0.00159144
          45    -5.47228    -5.46502  0.00156459
          46    -5.44288    -5.46454  0.00160293
          47    -5.46732     -5.4646  0.00156992
          48    -5.45658    -5.46443  0.00154608
          49    -5.44385    -5.46401  0.00157056
          50    -5.46247    -5.46398  0.00153945
          51    -5.47359    -5.46417  0.00152075
          52    -5.46878    -5.46426  0.00149409
          53    -5.44506     -5.4639  0.00150919
          54    -5.46057    -5.46384   0.0014825
          55     -5.4583    -5.46373  0.00145895
          56    -5.47614    -5.46396  0.00144962
          57    -5.45989    -5.46389  0.00142594
          58    -5.47376    -5.46406  0.00141148
          59    -5.47581    -5.46425  0.00140155
          60    -5.45094    -5.46403  0.00139566
          61    -5.47653    -5.46424  0.00138774
          62    -5.45904    -5.46415  0.00136789
          63    -5.44886    -5.46391  0.00136756
          64    -5.45936    -5.46384  0.00134804
          65    -5.47249    -5.46397  0.00133386
          66    -5.45114    -5.46378  0.00132775
          67    -5.46278    -5.46376  0.00130802
          68    -5.45956     -5.4637  0.00129025
          69    -5.45819    -5.46362  0.00127402
          70    -5.47703    -5.46381  0.00127014
          71    -5.46171    -5.46378  0.00125259
          72    -5.46723    -5.46383  0.00123611
          73    -5.47474    -5.46398  0.00122818
          74     -5.4854    -5.46427  0.00124522
          75    -5.45453    -5.46414  0.00123538
          76    -5.46446    -5.46414  0.00121913
          77    -5.45914    -5.46408  0.00120503
          78    -5.46872    -5.46414  0.00119105
          79    -5.47515    -5.46428   0.0011841
          80    -5.45037    -5.46411  0.00118199
          81    -5.47227    -5.46421  0.00117168
          82    -5.45065    -5.46404    0.001169
          83    -5.47597    -5.46418  0.00116372
          84    -5.45532    -5.46408  0.00115464
          85    -5.45893    -5.46402  0.00114265
          86    -5.46962    -5.46408  0.00113122
          87    -5.45665      -5.464  0.00112144
          88    -5.46202    -5.46398  0.00110892
          89    -5.46968    -5.46404  0.00109832
          90    -5.47323    -5.46414  0.00109085
          91    -5.47589    -5.46427  0.00108647
          92    -5.47238    -5.46436  0.00107823
          93    -5.44767    -5.46418  0.00108146
          94    -5.44764      -5.464  0.00108417
          95    -5.46256    -5.46399  0.00107287
          96    -5.46333    -5.46398  0.00106171
          97     -5.4686    -5.46403  0.00105183
          98    -5.45933    -5.46398  0.00104219
          99    -5.46262    -5.46397  0.00103176
         100    -5.46225    -5.46395  0.00102158
